auto#,title,amenityfeatures,type,description,streetaddress,city,state,unclear_address,unclear type or question,notes,Year,Last Modified
3098,Mik-N-Mak's,"(MW),(NH),(D),(K),(S)",Bars,"(at Wallace) 208/667-4858 noon- 2am, 2pm-2am Mon-Wed",406 N 4th ,Coeur D'alene,ID,,,,2002,5/20/2024 12:41pm
3100,Davis,,Retail Shops,(at 4th Ave) 208/725-0180 11am-6pm,320 Leadville Ave N,Ketchum,ID,,,,2002,10/20/2023 7:37pm
3102,Aura Soma Lava,,Bookstores,"(at Portneuf River Rd)208/776-5800, 800/757-1233 seasonal, 11am-5pm, metaphysical & Igbt books",97 N 2nd St E,Lava Hot Springs,ID,,,,2002,5/20/2024 11:13am
3105,Bookpeople,,Bookstores,(btwn 5th & 6th) 208/882-7957 9am-8pm,521 S Main,Moscow ,ID,,,,2002,10/20/2023 7:40pm
3106,Charley's,"(MW),(D),(E),(WC)",Nightclubs,"208/232-9606 5pm-2am, 8pm-midnight Sun, clsd Mon",331 E Center,Pocatello,ID,,,,2002,10/20/2023 7:41pm
3107,Main St Coffee & News,,Cafes,"(btwn Lander & Clark) 208/234-9834 7am-8pm, till 4pm Sat, 9am-4pm Sun",234 N Main,Pocatello,ID,,,,2002,5/20/2024 11:13am
3108,Pegasus Book Store,,Erotica,208/232-6493,246 W Center,Pocatello,ID,,,,2002,10/24/2023 12:36am
3109,The Silver Fox,,Erotica,(at Center) 208/234-2477,143 S 2nd St,Pocatello,ID,,,,2002,10/24/2023 12:37am
3116,Illinois Bureau of Tourism,,Info Lines & Services,#108 800/226-6632,310 S Michigan ,Chicago,IL,,,,2002,10/24/2023 12:43am
3118,Southern Illinois Bears,,Info Lines & Services,"(btwn 6th & 7th), Albion 618/445-3529",127 W Cherry St,Albion,IL,,,,2002,10/24/2023 12:44am
3119,Mabel's Budget Beauty Shop & Chainsaw Repair,"(M),(D),(S),(WC)",Nightclubs,"(at 6th) 618/465-8687 5pm-2am, till 3am wknds, go-go boys Sat",602 Belle ,Alton,IL,,,,2002,5/20/2024 11:13am
3120,The Lion's Den Adult Bookstore,,Erotica,"(Exit 27, off I-80) 309/936-7066 24hrs",313 S State St,Atkinson,IL,,,,2002,10/24/2023 12:51am
3121,Denmark Book Store,,Erotica,(2 miles S of Rte 34) 630/898-9838 24hrs,1300 US Hwy 30,Aurora,IL,,,,2002,10/24/2023 12:52am
3122,Connections Community Center,,Info Lines & Services,"(at Monroe St) 309/827-2437 24hr recorded Info, staffed 7pm- 10pm Mon-Sat, Adult Men's Group 7:30pm- 10:30pm Sat (invite-only Fri pm)",313 N Main St,Bloomington,IL,,,,2002,5/20/2024 11:13am
3123,Bistro,"(MW),(D),(WC)",Bars,"(at Jefferson) 309/829-2278 4pm- 1am, till 2am Fri-Sat, from 8pm wknds",316 N Main St,Bloomington,IL,,,,2002,5/20/2024 11:13am
3124,Risque's,,Erotica,(at Division) 309/827-9279 24hrs,1506 N Main ,Bloomington,IL,,,,2002,10/24/2023 12:54am
3126,The Edge,"(MW),(NH),(TG),(S),(WC)",Nightclubs,"(at Grove) 708/597-8379, 8pm-3am, 6pm-2am Sun",13126 S Western,Blue Island,IL,,,,2002,10/24/2023 12:56am
3127,The Lion's Den Adult Bookstore,,Erotica,"(exit 272, off I-57) 217/394-2601, 24 hrs",362 E 800 North Rd,Buckley,IL,,,,2002,5/20/2024 11:13am
3128,Are You Crazy,"(M),(NH)",Bars,"(at Forsythe) 708/862-4605 9pm-2am Mon, from 7pm Tue-Fri, from 3pm wknds",48 154th Pl,Calumet City,IL,,,,2002,10/24/2023 1:00am
3129,John L's Place,"(MW),(NH),(WC)",Bars,"708/862-2386, 7pm-close ",335 154th Pl,Calumet City,IL,,,,2002,10/24/2023 1:01am
3130,Pour House,"(M),(D)",Nightclubs,"(at Forsythe) 708/891-3980, 9:30pm-2am, till 3am Wed, Fri-Sat, clsd Th",103 155th Pl,Calumet City,IL,,,,2002,10/24/2023 1:01am
3134,Club Traz,"(MW),(D),(A),(S),(WC)",Nightclubs,"618/549-4270, 7pm-2am, clsd Mon-Tue",213 E Main St,Carbondale,IL,,,,2002,10/24/2023 1:06am
3136,Boxers 'n' Briefs,"(M),(D),(F),(S),(WC)",Nightclubs,"(next to 'PT's Show Club') 618/332-6141, 6pm-2am, till 6am Fri-Sat, from 7pm Sat, clsd Sun-Mon, nude dancers, drag Wed",Rtes 157 & 13,Centreville,IL,,,,2002,10/24/2023 1:11am
3140,Ruby's,"(MW),(D),(WC)",Bars,"(at State), Champaign 217/359-8644 5pm-1am",207 W Clark,Champaign,IL,,,,2002,5/20/2024 1:16pm
3141,Chester Street,"(MW),(D),(WC),(GO)",Nightclubs,"(at Water St), Champaign, 217/356-5607 5pm-1am",63 Chester St,Champaign,IL,,,,2002,5/20/2024 1:16pm
3142,Espresso Royale,,Cafes,"Champaign, 217/328-1112, 7am-midnight, from 8am wknds",602 E Daniel,Champaign,IL,,,,2002,5/20/2024 1:16pm
3143,Fiesta Cafe,(GO),Restaurants,"(at White, nr U of IL campus), Champaign 217/352-5902 11am-1am, Mexican",215 S 1st St,Champaign,IL,,,,2002,5/20/2024 1:16pm
3144,I-Block Arcade & Theatre,,Erotica,"(btwn White & Clark) 217/351-8897 video booths, basement theater",213 S Neil St,Champaign,IL,,,,2002,5/20/2024 1:18pm
3145,Illini's Video Arcade,,Erotica,"(nr Central Tap, S Neil exit, off I-74), Champaign 217/359-8529 24hrs",33 E Springfield Ave,Champaign,IL,,,,2002,5/20/2024 1:16pm
3146,Urbana News,,Erotica,"(next to Five Points Tavern), Urbana 217/384-0188, 24hrs",602 Cunningham,Urbana,IL,,,,2002,5/20/2024 1:16pm
3147,AA Gay/Lesbian New Town Al-Anon Club,(WC),Info Lines & Services,"2nd flr (btwn Clark & Sheffield) 773/529-0321, 5pm-11pm Mon-Fri from 8:30am wknds",909 W Belmont St,Chicago,IL,,,"Listed under ""Chicago-Overview"".",2002,5/20/2024 1:23pm
3150,The Chicago Area Gay/Lesbian Chamber of Commerce,,Info Lines & Services,"2nd flr, 773/871-4190, drop in or call for maps, member lists & more",3356 N Halstead,Chicago,IL,,,"Listed under ""Chicago-Overview"".",2002,5/20/2024 1:23pm
3154,Gay/Lesbian Visitors Center,,Info Lines & Services,773/871-6240 drop in or call for maps,3713 N Halsted,Chicago,IL,,,"Listed under ""Chicago-Overview"".",2002,5/20/2024 1:23pm
3155,Gerber/Hart Library & Archives,(WC),Info Lines & Services,"(at Broadway) 773/381-8030 6pm-9pm Wed-Th, noon-4pm Fri-Su, lgbt resource center ",1127 W Granville Ave,Chicago,IL,,,"Listed under ""Chicago-Overview"".",2002,5/20/2024 1:23pm
3157,Horizons Community Services,,Info Lines & Services,"(at Fullerton & Sheffield) 773/472-6469 9am-10pm, till 5pm Fri, 11am-3pm Sat, clsd Sun",961 W Montana,Chicago,IL,,,"Listed under ""Chicago-Overview"".",2002,5/20/2024 1:23pm
3160,Bailiwick Arts Center,,Entertainment & Recreation,"773/883-1090 Bailiwick Repertory presents many lgbt-themed productions, including the popular pride series",1229 W Belmont,Chicago,IL,,,"Listed under ""Chicago-Overview"".",2002,5/20/2024 1:23pm
3161,Chicago Neighborhood Towns,(GF),Entertainment & Recreation,(at the Chicago Cultural Ctr) 312/742-1190 the best way to make the Windy City your kind of town,78 E Washington St,Chicago,IL,,,"Listed under ""Chicago-Overview"".",2002,5/20/2024 1:23pm
3162,The Hancock Observatory,,Entertainment & Recreation,(in John Hancock Center) 888/875-8439 renovated 94th flr observatory w/outside 'Skywalk',875 N Michigan Ave,Chicago,IL,,,"Listed under ""Chicago-Overview"".",2002,5/20/2024 1:23pm
3163,Leather Archives & Museum,,Entertainment & Recreation,"773/761-9200, by appt",6418 N Greenview,Chicago,IL,,,"Listed under ""Chicago-Overview"".",2002,5/20/2024 1:24pm
3164,Sears Tower Skydeck,,Entertainment & Recreation,"(center at Jackson blvd), 312/875-9696, see the City from one of the world's tallest buildings",233 S Wacker Dr,Chicago,IL,,,"Listed under ""Chicago-Overview"".",2002,5/20/2024 1:24pm
3180,The Ardmore House,"(M),(GO)",Accommodations,"(at Magnolia) 773/728-5414 Victorian B&B full brkfst, wknds, hot tub",1248 W Ardmore Ave,Chicago–North Side,IL,,,,2002,10/24/2023 2:08am
3181,Gregory House-A Chicago B&B,"(GS),(GO)",Accommodations,"(btwn Clark & Foster) 773/878-3019, 1925 bungalow in charming Andersonville",1718 W Gregory St,Chicago–North Side,IL,,,,2002,10/24/2023 2:09am
3182,Big Chicks,"(MW),(NH),(D),(V),(WC)",Bars,"(btwn Foster & Argyle) 773/728-5511 4pm-2am, from 2pm wknds, patio, Sun bbq",5024 N Sheridan,Chicago–North Side,IL,,,,2002,10/24/2023 2:14am
3183,Charmer's Lounge,"(M),(NH)",Bars,"(at Greenview) 773/465-2811 6pm-2am, 4pm-3am Sat",1502 W Jarvis ,Chicago–North Side,IL,,,,2002,10/24/2023 2:14am
3184,Chicago Eagle,"(MW),(L),(WC)",Bars,"(at Argyle) 773/728-0050 8pm-4am, till 5am Sat",5015 N Clark St,Chicago–North Side,IL,,,,2002,10/24/2023 2:15am
3185,Clark's on Clark,"(*),(M),(NH)",Bars,"(at Argyle) 773/728-2373 4pm-4am, till 5am Sat, from 8pm Sun",5001 N Clark St,Chicago–North Side,IL,,,,2002,10/24/2023 2:16am
3186,Different Strokes,"(M),(NH),(MR),(S)",Bars,"(at Argyle) 773/989-1958 noon-2am, till 3am Sat, dancers 5pm Sat",4923 N Clark St,Chicago–North Side,IL,,,,2002,10/24/2023 2:17am
3187,Granville Anvil,"(M),(NH),(L)",Bars,"(E of Broadway) 773/973-0006, 9am-2am",1137 W Granville,Chicago–North Side,IL,,,,2002,10/24/2023 2:18am
3188,Jackhammer,"(*),(M),(NH),(D),(L),(S),(V)",Bars,"(at Devon), 773/743-5772, 4pm-4am, till 5am Sat, dancers wknds, patio",6406 N Clark St,Chicago–North Side,IL,,,,2002,10/24/2023 2:19am
3189,Legacy,"(M),(NH)",Bars,"(at Kedzie) 773/558-9405 8pm-4am, till 5am Sat, unconfirmed",3042 W Irving Park Rd,Chicago–North Side,IL,,,,2002,10/24/2023 2:19am
3190,Madrigal's,"(MW),(MR-L),(S)",Bars,"(at Balmoral) 773/334-3033 5pm-2am, till 3am Sat, strippers Th-Sun",5316 N Clark St,Chicago–North Side,IL,,,,2002,10/24/2023 2:20am
3191,Scot's,"(MW),(NH)",Bars,"(at Damen) 773/528-3253 3pm-2am, from 11am wknds",1829 W Montrose,Chicago–North Side,IL,,,,2002,10/24/2023 2:21am
3192,Touche,"(*),(M),(L)",Bars,,6412 N Clark St,Chicago–North Side,IL,,,,2002,5/20/2024 11:13am
3193,Chicago Diner,(BW),Restaurants,"773/935-6696 11am-10pm, from 10am wknds, hip & vegetarian",3411 N Halsted St,Chicago–North Side,IL,,,,2002,10/24/2023 2:24am
3194,Fireside,,Restaurants,"(at Rosehill) 773/878-5942, 11am-4am, from 10am Sat, Cajun & pizza, patio, full bar",5739 N Ravenswood ,Chicago–North Side,IL,,,,2002,10/24/2023 2:24am
3195,Julie Mai's,,Restaurants,"(at Winnemac) 773/784-6000, 4pm-10pm, till 11pm Fri-Sat, French/Vietnamese, full bar",5025 N Clark,Chicago–North Side,IL,,,,2002,10/24/2023 2:24am
3196,Lolita's Cafe,"(MW),(MR-L),(TG),(S)",Restaurants,"(at Montrose) 773/561-3356, 5pm-2am, clsd Mon, authentic Mexican, full bar, also club from 11pm Fri-Sat (D,S)",4400 N Clark St,Chicago–North Side,IL,,,,2002,10/24/2023 2:25am
3197,Tendino's,(WC),Restaurants,"(at Broadway) 773/275-8100, 11am-11pm, till midnight wknds, pizzeria, full bar",5335 N Sheridan,Chicago–North Side,IL,,,,2002,10/24/2023 2:26am
3198,Tomboy,"(*),(BYOB),(WC),(GO)",Restaurants,"(at Balmoral) 773/907-0636 5pm-10pm, till 11pm wknds, clsd Mon",5402 N Clark,Chicago–North Side,IL,,,,2002,10/24/2023 2:27am
3200,KOPI: A Traveler's Cafe,(E),Bookstores,"(at Summerdale) 773/989-5674, 8am-11pm, till midnight Fri, from 9am Sat, from 10am Sun",5317 N Clark St,Chicago–North Side,IL,,,,2002,10/24/2023 2:29am
3201,Gay Mart,,Retail Shops,(at Cornelius) 773/929-4272,3457 N Halsted St,Chicago–North Side,IL,,,,2002,10/24/2023 2:29am
3202,Specialty Video Films,(GO),Retail Shops,"(at Foster), 773/878-3434, 10am-10pm, till 11pm Fri-Sat foreign cult, art house, lgbt & erotic videos",5307 N Clark St,Chicago–North Side,IL,,,,2002,10/24/2023 2:30am
3203,Cheetah Gym,,Gyms & Health Clubs,(at Foster) 773/728-7777,5248 N Clark St,Chicago–North Side,IL,,,,2002,10/24/2023 2:31am
3204,Man's Country,(PC),Men's Clubs,(at Argyle) 773/878-2069 24hrs,5107 N Clark St,Chicago–North Side,IL,,,,2002,10/24/2023 2:31am
3205,Man's World,(PC),Men's Clubs,(at Lawrence) 773/728-0400 24hrs Fri-Sat,4862 N Clark St,Chicago–North Side,IL,,,,2002,10/24/2023 2:32am
3206,Admiral Theater,,Erotica,773/478-8111,3940 W Lawrence ,Chicago–North Side,IL,,,,2002,10/24/2023 2:33am
3211,Best Western Hawthorne Terrace,"(GF),(WC)",Accommodations,"(at Hawthorne Pl) 773/244-3434, 888/675-2378 located in the heart of Chicago's gay community",3434 N Broadway ,Chicago–New Town,IL,,,,2002,10/24/2023 2:36am
3212,City Suites Hotel,(GF),Accommodations,"(btwn Clark & Sheffield) 773/404-3400, 800/248-9108 accommodations w/touch of European style",933 W Belmont ,Chicago–New Town,IL,,,,2002,10/24/2023 2:37am
3213,Majestic Hotel,(GF),Accommodations,"(at Addison) 773/404-3499, 800/727-5108, romantic 19th century atmosphere",528 W Brompton Pl,Chicago–New Town,IL,,,,2002,10/24/2023 2:38am
3214,Villa Toscana B&B,"(MW),(GO)",Accommodations,"773/404-2643, 800/404-2643, 1890s coach house",3447 N Halsted St,Chicago–New Town,IL,,,,2002,10/24/2023 2:39am
3215,The Willows,(GF),Accommodations,"(at Broadway) 773/528-8400, 800/787-3108, hotel w/19th century French flare",555 W Surf St,Chicago–New Town,IL,,,,2002,10/24/2023 2:40am
3216,Annex 3,"(MW),(NH),(V),(WC)",Bars,"(at Belmont) 773/327-5969 noon-2am, till 3am Sat, sports bar",3160 N Clark St,Chicago–New Town,IL,,,,2002,10/24/2023 2:42am
3217,Beat Kitchen,"(GF),(F),(E)",Bars,(btwn Hoyne & Damen) 773/281-4444 noon-2am,2100 W Belmont,Chicago–New Town,IL,,,,2002,10/24/2023 2:42am
3218,Berlin,"(*),(MW),(D),(TG),(S),(V),(WC)",Bars,"(at Sheffield) 773/348-4975 5pm-4am, 8pm-5am Sat from 8pm Mon, go-go boys Tue",954 W Belmont,Chicago–New Town,IL,,,,2002,10/24/2023 2:44am
3219,Big Daddies Bar & Grill,"(MW),(NH),(F)",Bars,"(at Oakdale) 773/929-0922 7am-2am, till 3am Sat, from 11 am Sun",2914 N Broadway,Chicago–New Town,IL,,,,2002,10/24/2023 2:45am
3220,Blues,"(*),(GF),(E)",Bars,"773/528-1012, 773/549-9436, 8pm-2am, till 3am Sat, classic Chicago blues spot",2519 N Halsted,Chicago–New Town,IL,,,,2002,10/24/2023 2:45am
3221,Bobby Love's,"(MW),(NH),(E),(WC)",Bars,"(at Waveland) 773/525-1200, 3pm-2am, from noon wknds, till 3am Sat",3729 N Halsted St,Chicago–New Town,IL,,,,2002,10/24/2023 2:47am
3222,Buck's Saloon,"(M),(NH)",Bars,"(btwn Cornelia & Newport) 773/525-1125, 10am-2am, patio",3439 N Halsted St,Chicago–New Town,IL,,,,2002,10/24/2023 2:47am
3223,Buddies,"(*),(MW),(CW),(F)",Bars,"(at Aldine), 773/477-4066, 3pm-2am, from 9pm wknds, till 3am Sat, restaurants from 11am, 9am wknds",3301 N Clark St,Chicago–New Town,IL,,,,2002,10/24/2023 2:48am
3224,Cell Block,"(M),(D),(B),(L),(WC)",Bars,"(at Waveland) 773/665-8064, 4pm-2am, from 2pm wknds, also 'Holding Cell' from 10pm Th-Sun w/strict leather/latex/uniform code, also 'Leather Cell' store",3702 Halsted,Chicago–New Town,IL,,,,2002,10/24/2023 2:49am
3225,Charlie's Chicago,"(M),(D),(CW)",Bars,"(btwn Waveland & Grace), 773/871-8887, 3pm-4am, till 5am Sat",3726 N Broadway ,Chicago–New Town,IL,,,,2002,10/24/2023 2:50am
3226,Circuit/Rehab,"(GS),(D),(MR),(K),(S)",Bars,"(at Addison) 773/325-2233 9pm-4am, till 5am Sat, clsd Mon-Tue, also 'Club Rehab' from 4pm, Latin Wed-Th",3641 N Halsted St,Chicago–New Town,IL,,,,2002,10/24/2023 2:51am
3227,The Closet,"(*),(MW),(NH),(V)",Bars,"(at Buckingham) 773/447-8533 2pm-4am, till 5am Sat, from noon wknds",3325 N Broadway St,Chicago–New Town,IL,,,,2002,10/24/2023 2:52am
3228,Cocktail,"(MW),(NH),(D),(V),(WC)",Bars,"(at Roscoe) 773/447-1420 4pm-2am, from 2pm wknds, till 3am Sat, go-go dancers Tue & Th",3359 Halsted St,Chicago–New Town,IL,,,,2002,10/24/2023 2:54am
3229,Dram Shop,"(GF),(NH)",Bars,(at Barry) 773/525-9885 7am-2am,3040 N Broadway,Chicago–New Town,IL,,,,2002,10/24/2023 2:54am
3230,Gentry on Halsted,"(M),(P),(E)",Bars,"(at Aldine) 773/348-1053 4pm-2am, from 3pm Sun, piano bar",3320 N Halsted,Chicago–New Town,IL,,,,2002,10/24/2023 2:55am
3231,Girlbar,"(W),(D),(E),(WC)",Bars,"(btwn Fullerton & Diversey) 773/871-4210 7pm-2am, from 4pm Sun, till 3am Sat, clsd Mon, Boybar Wed",2625 N Halsted St,Chicago–New Town,IL,,,,2002,10/24/2023 2:56am
3232,Little Jim's,"(*),(M),(NH)",Bars,"(at Cornelia) 773/871-6116, 11am-4am, till 5 am Sat",3501 N Halsted,Chicago–New Town,IL,,,,2002,10/24/2023 2:57am
3233,Lucky Horseshoe,"(M),(NH),(S)",Bars,"(at Briar) 773/404-3169, 800/443-3169 2pm-2am, from noon wknds, dancers, nightly patio",3169 N Halsted St,Chicago–New Town,IL,,,,2002,10/24/2023 2:58am
3234,Manhandler,"(*),(M),(NH),(V)",Bars,"(at Armitage) 773/871-3339 noon-4am, till 5am Sat, patio",1948 N Halsted St,Chicago–New Town,IL,,,,2002,10/24/2023 2:59am
3235,The North End,"(M),(NH),(WC)",Bars,"(at Grace) 773/4777-7999 3pm-2am, till 3am Sat, from 11pm wknds, sports bar",3733 N Halsted St,Chicago–New Town,IL,,,,2002,10/24/2023 3:00am
3236,Roscoe's,"(*),(MW),(NH),(D),(S),(V)",Bars,"(at W Roscoe) 773/281-3355 2pm-2am, noon-3am Sat, 6 bars, patio cafe in summers",3354-56 N Halsted St,Chicago–New Town,IL,,,,2002,10/24/2023 3:01am
3237,Sidetrack,"(*),(M),(NH),(V),(WC)",Bars,"(at Roscoe) 773/477-9189, 3pm-2am, roofop, open in Summer",3349 N Halsted St,Chicago–New Town,IL,,,,2002,10/24/2023 3:20am
3238,Spin,"(GS),(D),(S),(V)",Bars,"(enter on Halsted) 773/327-7711, 4pm-2am, from 2pm wknds, 3 bars, 80s Th",800 W Belmont,Chicago–New Town,IL,,,,2002,10/24/2023 3:20am
3239,Manhole,"(*),(M),(D),(L),(V)",Nightclubs,"(at Cornelia) 773/975-9244 9pm-4am, till 5am Sat",3458 N Halsted St,Chicago–New Town,IL,,,,2002,10/24/2023 3:21am
3240,Smart Bar,"(*),(GF),(D),(A)",Nightclubs,(downstairs at the Metro) 773/549-4140 10pm-4am till 5am Sat,3730 N Clark St,Chicago–New Town,IL,,,,2002,10/24/2023 3:22am
3241,Mike's Broadway Cafe,"(MW),(WC)",Cafes,"(btwn Grace & Halsted) 773/404-2205, 7am-10pm, 24hrs, Fri-Sat, popular brunch, American",3805 N Broadway ,Chicago–New Town,IL,,,,2002,10/24/2023 3:23am
3242,Pick Me Up Cafe & All Nite Express Lounge,,Cafes,"773/248-6613, 5pm-3am, 24hrs Fri-Sat, brkfst all day",3408 N Clark,Chicago–New Town,IL,,,,2002,10/24/2023 3:24am
3243,Angelina Ristorante,(WC),Restaurants,"(at Addison) 773/935-5933 5:30pm-11pm, Sun brunch, Italian, full bar",3561 N Broadway ,Chicago–New Town,IL,,,,2002,10/24/2023 3:25am
3244,Ann Sather's,(*),Restaurants,"(at Sheffield) 773/348-2378 7am-10pm, Swedish diner & New Town fixture",929 W Belmont Ave,Chicago–New Town,IL,,,,2002,10/24/2023 3:26am
3245,Buddies Restaurant & Bar,"(*),(MW),(WC)",Restaurants,"(at Aldine) 773/477-4066, 11am-11pm, from 9am wknds, full bar",3301 N Clark St,Chicago–New Town,IL,,,,2002,10/24/2023 3:27am
3246,Cornelia's,(WC),Restaurants,"(at Halsted). 773/248-8333 clsd Mon, dinner nightly, upscale Italian, full bar)",750 W Cornelia Ave,Chicago–New Town,IL,,,,2002,10/24/2023 3:28am
3247,Deville,,Restaurants,"773/525-2505 5pm-11pm, brunch Sun, upscale",335 N Halsted,Chicago–New Town,IL,,,,2002,10/24/2023 3:28am
3248,Jillian's Bistro & Wine Bar,,Restaurants,"(below street level) 773/529-7010, lunch & dinner, brunch wknds, global cuisine",674 W Diversey Pkwy,Chicago–New Town,IL,,,,2002,10/24/2023 3:29am
3249,Kit Kat Lounge & Supper Club,(GO),Restaurants,"773/525-1111, 8pm-close Tue-Sun, brunch Sun, great martini menu",3700 N Halsted,Chicago–New Town,IL,,,,2002,10/24/2023 3:30am
3250,The Pepper Lounge,(MW),Restaurants,"(btwn Newport & Clark) 773/665-7377 6pm-1:30 am, til midnight Sun, clsd Mon, supper club, Italian",3441 N Sheffield,Chicago–New Town,IL,,,,2002,10/24/2023 3:31am
3251,The Raw Bar & Grill,"(E),(WC)",Restaurants,(at Waveland) 773/348-7291,3720 N Clark St,Chicago–New Town,IL,,,,2002,10/24/2023 3:32am
3252,Technicolor Kitchen,(WC),Restaurants,"(at Belmont & Ashland) 773/665-2111, dinner, clsd Mon, kitschy decor, eclectic fusion menu",3210 N Lincoln Ave,Chicago–New Town,IL,,,,2002,10/24/2023 3:33am
3253,Zoom Kitchen,,Restaurants,"(at Broadway) 773/325-1400 11am-10pm, from 9am-9pm Sun, American, plenty veggie",620 W Belmont ,Chicago–New Town,IL,,,,2002,10/24/2023 3:34am
3254,Unabridged Books,,Bookstores,"(at Aldine) 773/883-9119 10am-10pm, large lgbt section",3251 N Broadway St,Chicago–New Town,IL,,,,2002,10/24/2023 3:34am
3255,Specialty Video Films,(GO),Retail Shops,"(at Belmont) 773/248-3434 10am-10pm, till 11pm Fri-Sat, foreign, cult, art house, lgbt & erotic videos",3221 N Broadway St,Chicago–New Town,IL,,,,2002,10/28/2023 4:05pm
3256,Universal Gear,,Retail Shops,"(at Belmont) 773/296-1090 11am-10pm, till 1pm Fri-Sat, casual, club, athletic, and designer clothing",2153 N Broadway ,Chicago–New Town,IL,,,,2002,10/28/2023 4:07pm
3257,We're Everywhere,(GO),Retail Shops,"(at Newport) 773/404-0590, 800/772-6411 noon-9pm, 11am-8pm wknds, also mail order catalog",3434 N Halsted St,Chicago–New Town,IL,,,,2002,5/20/2024 11:13am
3258,The Body Shop,(MO),Gyms & Health Clubs,(btwn Clark & Belmont) 773/248-7717 24hrs,3246 N Halsted St,Chicago–New Town,IL,,,,2002,10/28/2023 4:09pm
3259,Chicago Sweat Shop,(GF),Gyms & Health Clubs,(at Belmont) 773/871-2789,3215 N Broadway ,Chicago–New Town,IL,,,,2002,10/28/2023 4:09pm
3260,The Sreamworks Gym & Sauna,"(*),(PC)",Men's Clubs,(N of Belmont) 773/929-6080 24hrs,3246 N Halsted St,Chicago–New Town,IL,,,,2002,10/28/2023 4:10pm
3261,Adult Fantasy,,Erotica,(at Oakdale) 773/525-9705 24hrs,2928 N Broadway,Chicago–New Town,IL,,,,2002,10/28/2023 4:11pm
3262,Batteries Not Included,,Erotica,(btwn Roscoe & Addison) 773/935-9900 50% of all profits donated to charity,3420 N Halsted,Chicago–New Town,IL,,,,2002,10/28/2023 4:49pm
3263,Cupid's Leather Sport,,Erotica,(at Cornelia) 773/868-0914 11am-midnight,3505 N Halsted ,Chicago–New Town,IL,,,,2002,10/28/2023 4:50pm
3264,Male Hide Leathers,,Erotica,"(at Diversey) 773/929-0069 noon-8pm, 1pm-5pm, Sun, clsd Mon",2816 N Lincoln Ave,Chicago–New Town,IL,,,,2002,10/28/2023 4:51pm
3265,The Pleasure Chest,,Erotica,(at Belmont Ave) 773/525-7152,3155 N Broadway,Chicago–New Town,IL,,,,2002,10/28/2023 4:51pm
3266,The Ram Bookstore,,Erotica,(at Cornelia) 773/525-9528 24hrs,3511 N Halsted St,Chicago–New Town,IL,,,,2002,10/28/2023 4:52pm
3269,Allegro,"(GF),(E),(F),(WC)",Accommodations,"(at LaSalle) 312/787-3100, 800/557-2378",171 W Randolph ,Chicago–Near North,IL,,,,2002,10/28/2023 5:00pm
3270,Best Western Inn of Chicago,"(GF),(F),(WC)",Accommodations,"(at Michigan Ave) 312/787-3100, 800/557-2378",162 E Ohio St,Chicago–Near North,IL,,,,2002,10/28/2023 5:02pm
3271,Comfort Inn & Suites Downtown,(GF),Accommodations,888/775-4111,15 E Ohio St,Chicago–Near North,IL,,,,2002,10/28/2023 5:02pm
3272,Days Inn Gold Coast,"(GF),(WC)",Accommodations,"(at Lincoln) 312/664-3040, 800/329-7466",1816 N Clark St,Chicago–Near North,IL,,,,2002,10/28/2023 5:03pm
3273,Flemish House of Chicago,"(GS),(GO)",Accommodations,"(btwn Rush & Lake Shore Dr) 312/664-9981 B&B, studios & apts in greystone row house",68 E Cedar St,Chicago–Near North,IL,,,,2002,10/28/2023 5:22pm
3274,Gold Coast Guesthouse,"(GF),(NS)",Accommodations,(btwn Clark & LaSalle) 312/337-0361 also 2 studios available,113 W Elm St,Chicago–Near North,IL,,,,2002,10/28/2023 5:22pm
3275,Hotel Monaco,(GF),Accommodations,"(at S Water & Wacker Pl) 312/960-8500, 800/397-7661 upscale, gym",225 N Wabash,Chicago–Near North,IL,,,,2002,10/28/2023 5:23pm
3276,Hyatt Regency Chicago,(GF),Accommodations,"(at Michigan Ave) 312/565-1234, 800/233-1234, restaurant, cafe & bar",151 E Wacker Dr,Chicago–Near North,IL,,,,2002,10/28/2023 5:26pm
3277,Knickerbocker Hotel,"(GS),(F),(WC)",Accommodations,"(Michigan Ave) 312/751-8100, 800/621-8140",163 E Walton Pl,Chicago–Near North,IL,,,,2002,10/28/2023 5:27pm
3279,Artful Dodger,"(GF),(D)",Bars,"(at Hermitage, in Wicker Park) 773/227-6859 5pm-2am, 8pm-3am Sat",1734 W Wabanisa ,Chicago–Near North,IL,,,,2002,10/28/2023 5:29pm
3280,Club Foot,"(GF),(NH),(D),(A)",Bars,"(in Wicker Park) 773/489-0379, 8pm-2am, till 3am Sat, kitschy",1824 W Augusta,Chicago–Near North,IL,,,,2002,10/28/2023 5:30pm
3281,Gentry on State,"(*),(M),(P),(E),(V)",Bars,"(at Illinois) 312/664-1033 4pm-2am, till 3am Sat",440 N State,Chicago–Near North,IL,,,,2002,10/28/2023 5:31pm
3282,Second Story Bar ,"(M),(NH)",Bars,"(at Michigan) Ave 312/923-9536, noon-2am, till 3am Sat",157 E Ohio St,Chicago–Near North,IL,,,,2002,10/28/2023 5:34pm
3283,Baton Show Lounge,"(MW),(S),(WC)",Nightclubs,,436 N Clark St,Chicago–Near North,IL,,,,2002,5/20/2024 11:13am
