Auto#,title,unclear_address,streetaddress,description,amenityfeatures,type,city,state,notes,unclear type or question,Year,Last Modified
4722,Christ the King Agape Church,,515 Hickman Ave,443-5316 10:45am Sun & 6:30pm Wed,,Spiritual Groups,Columbia,MO,,,1998,7/2/2024 3:53pm
7988,Napalese Lounge ,,515 S Broadway ,432-9646 3pm-2am,"(M),(WC)",Bars & Nightclubs,Green Bay,WI,,,1998,7/2/2024 3:53pm
3799,M.R.B. ,,515 St Phillip,"524-2558 24hrs, patio","(M),(NH),(S)",Bars & Nightclubs,New Orleans,LA,,,1998,7/2/2024 3:53pm
3855,The Club New Orleans,,515 Toulouse St,581-2402 24hrs,"(*),(MO),(PC)",Men's Clubs,New Orleans,LA,,,1998,7/2/2024 3:53pm
5529,Roxy,,515 W 18th St,"rollerskating. 645-5156, 8pm-2am Tue, dance floor Sat 11 pm (at 10th ave)","(GF),(D),(A),(S),(*)",Bars & Nightclubs,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,7/2/2024 3:53pm
5616,Travel Inn,,515 W 42nd St,(at 10th Ave.) 695-7171,"(GF),(TA)",Accommodations,New York City,NY,"Listed under ""N.Y.C. -- Midtown""",,1998,7/2/2024 3:53pm
4573,The Magazine Rack,,515 West Cross,482-6944,,Erotica,Ypsilanti,MI,,,1998,
4419,The Nectarine ,,516 E Liberty ,994-5835 9pm-2am Tue & Fri only ,"(MW),(D),(V),(YC)",Bars & Nightclubs,Ann Arbor,MI,,,1998,7/2/2024 3:53pm
5281,Video Expo,,516 River St,Troy 434-2324,,Erotica,Troy,NY,"Listed under ""Albany, NY""",,1998,7/2/2024 3:53pm
193,Crescent Dragonwagon's Dairy Hollow House B&B,,516 Spring St ,"253-7444/(800)562-8650 full brkfst, hot tub",(GF),Accommodations,Eureka Springs,AR,,,1998,2/8/2024 10:54am
87,Fairbanks Hotel,,517 3rd Ave,"Box Q, 99701 456-6411/(888) 329-4685 ",(GF),Accommodations,Fairbanks,AK,,,1998,7/2/2024 4:28pm
6239,L.B. Burger Travel,,517 Bank One Building, 744-5035/(800) 625-5035,(TA),Travel Agents,Youngstown ,OH,,,1998,
1222,The Sausage Factory,,517 Castro St,"Pizza and pasta, some veggie, 626-1250, noon-1am",(MW),Restaurants,San Francisco,CA,"Listed under ""S.F.-Castro & Noe Valley""",,1998,2/8/2024 10:54am
7087,Casino El Camino ,,517 E 6th St ,"4pm-2am, psychedelic punk jazz lounge ","(GF),(NH),(F)",Bars & Nightclubs,Austin,TX,,,1998,7/2/2024 3:53pm
5933,Innovations,,517 Hillsborough St,"833-4833 fetish wear, piercings",,Erotica,Raleigh,NC,,,1998,7/2/2024 3:53pm
5939,Blue Heaven B&B,,517 Orange St,772-9929/(800) 338-1748 full brkfst,"(GF),(NS)",Accommodations,Wilmington,NC,,,1998,7/2/2024 3:53pm
2722,Respectable Street Cafe,,518 Clematis St,"9pm-2am, clsd Sun-Tue",(E),Bars & Nightclubs,West Palm Beach ,FL,,,1998,2/8/2024 11:05am
7842,Beyond the Closet Bookstore ,,518 E Pike ,"322-4609 10am-10pm, til 11pm Fri-Sat, lesbigay","(*),(NS)",Bookstores & Retail Shops,Seattle,WA,,,1998,7/2/2024 3:53pm
4027,Louie's the Bookstore Cafe,,518 N Charles,962-1224 full bar,"(E),(WC)",Cafes,Baltimore,MD,,checked,1998,7/2/2024 3:53pm
5259,JD’s Playhouse,,519 Central Ave,"446-1407, 4pm-4am, clsd Mon","(MW),(NH),(D)",Bars & Nightclubs,Albany,NY,,,1998,7/2/2024 3:53pm
7057,Classifieds ,,519 E 10th St ,"374-2435 noon-2am, clsd Mon","(MW),(D),(E),(WC)",Bars & Nightclubs,Amarillo,TX,,,1998,7/2/2024 3:53pm
7863,Sunshine Travel ,,519 N 85th St ,784-8141,(TA),Travel Agents,Seattle,WA,,,1998,7/2/2024 3:53pm
538,Mani’s Bakery,,519 S Fairfax Ave,"(213) 938-8800 6:30am-midnight, 7:30am-lam wknds, coffee & dessert bar",(WC),Cafes,West Hollywood,CA,"Listed under ""LA-West Hollywood""",,1998,2/8/2024 10:54am
1556,Pacific Harbor Travel ,,519 Seabright Ave,427-5000/(800)435-9463,(TA),Travel Agents,Santa Cruz,CA,,,1998,2/8/2024 10:54am
1164,The Parker House ,,520 Church St,621-3222,"(M),(TA)",Accommodations,San Francisco,CA,"Listed under ""S.F.-Castro & Noe Valley""",,1998,2/8/2024 10:54am
1397,Beyond the Bay,,520 Davis St,421-7721/(800) 542-1991,(TA),Travel Agents,San Francisco,CA,"Listed under ""S.F.-Downtown & North Beach""",,1998,2/8/2024 10:54am
1637,Syzygy,,520 E Hyman,"925-3700 seasonal, 5pm-10pm, bar til 2am","(E),(WC)",Restaurants,Aspen,CO,,,1998,2/8/2024 10:54am
4563,Side Traxx Nite Club,,520 Franklin,"935-1666 6pm-2am, from 2pm wknds","(MW),(D),(S),(WC)",Bars & Nightclubs,Traverse City,MI,,,1998,
1374,The Pacific Bay Inn,,520 Jones St,"673-0234, also 'Dottie's True Blue Cafe'",(GF),Accommodations,San Francisco,CA,"Listed under ""S.F.-Downtown & North Beach""",,1998,2/8/2024 10:54am
1929,Mrs. Robion's ,,520 N Union,"652-9223 family-style Italian, full bar",(WC),Restaurants,Wilmington,DE,,,1998,2/8/2024 10:54am
4120,Boston Eagle,,520 Tremont St,"542-4494 3pm-2am, from noon Sun","(M),(NH),(L),(*)",Bars & Nightclubs,Boston,MA,,,1998,7/2/2024 3:53pm
8030,Piercing Lounge ,,520 University Ave ,#120 284-0870,"(*),(NS)",Erotica,Madison,WI,,,1998,7/2/2024 4:15pm
6567,Lucille's,,520 Washington St,"539-4448 9pm-2am, clsd Sun-Mon","(MW),(D),(E),(S)",Bars & Nightclubs,Johnstown,PA,,,1998,7/2/2024 3:53pm
5835,521 Cafe,,521 N College,"377-9100 lunch Tue-Fri, dinner nightly, Italian, full bar",(WC),Restaurants,Charlotte,NC,,,1998,7/2/2024 3:53pm
3865,Seconf Skin Leather,,521 St Phillip St,561-8167 also piercing studio,,Erotica,New Orleans,LA,,,1998,7/2/2024 3:53pm
7122,Austin Six,,521 Thompson Ln,385-5328 24hrs ,"(*),(NS)",Erotica,Austin,TX,,,1998,
2308,The Pines Key West,,521 United St,296-7467/(800) 282-7463,"(*),(M),(SW),(N),(TA)",Accommodations,Key West,FL,,,1998,1/29/2024 2:51pm
5731,Anthony's 522,,522 E Main St,"325-2060, noon-2am","(MW),(NH),(K)",Bars & Nightclubs,Rochester ,NY,,,1998,7/2/2024 3:53pm
5929,Atlantis Video & News,,522 E Main St,682-7469,,Erotica,Durham,NC,,,1998,7/2/2024 3:53pm
2349,Fausto's Food Palace,,522 Fleming St,"296-5663 8am-8pm, til 7pm Sun, cruisy grocery store",,Bookstores & Retail Shops,Key West,FL,,,1998,1/29/2024 3:14pm
5570,Sacred Chow,,522 Hudson St,(at 10th St.) 337-0863 (WC),,Restaurants,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,
1385,Dottie's True Blue Cafe,,522 Jones St,"885-2767, 7:30am-2pm, clsd Tue, plenty veggie, great brkfst",,Cafes,San Francisco,CA,"Listed under ""S.F.-Downtown & North Beach""",,1998,2/8/2024 10:54am
5733,Avenue Pub,,522 Monroe Ave,"244-4960, 4pm-2am","(*),(M),(NH),(D)",Bars & Nightclubs,Rochester ,NY,,,1998,
6774,Silhouette Lounge,,523 Linden St,"344-4259 10am-2am, clsd Sun","(M),(NH),(L)",Bars & Nightclubs,Scranton,PA,,,1998,7/2/2024 3:53pm
1029,Pannikin,,523 University Ave ,"295-1600 6am-11-m, til midnight wknds",,Cafes,San Diego,CA,,,1998,2/8/2024 10:54am
2325,One Saloon,,524 Duval St,"(enter on Appelrouth Ln.) 296-8118 9pm-4am, 3 bars, patio","(*),(M),(D),(WC)",Bars & Nightclubs,Key West,FL,,,1998,1/29/2024 3:01pm
2336,La Trattoria Venezia,,524 Duval St,"296-1075 6pm-11pm, Italian, full bar",(MW),Restaurants,Key West,FL,,,1998,1/29/2024 3:07pm
6179,What You Eat,,524 E 5th St,"225-3855 11am-9pm, til 10pm Fri-Sat, clsd Sun-Mon, vegetarian",(BW),Restaurants,Dayton,OH,,,1998,7/2/2024 3:53pm
8026,We Are Family ,,524 E Wilson ,"(at the 'Wilson Hotel') 258-9006 noon-9pm, from 8am Sat, pride gifts & espresso","(*),(NS)",Bookstores & Retail Shops,Madison,WI,,,1998,7/2/2024 3:53pm
2352,Key West Alow,,524 Front St,(800) 445-2563 mail order avail.,,Bookstores & Retail Shops,Key West,FL,,,1998,1/29/2024 3:15pm
6495,Rosebud & Fish ,,524 State St,"399-9960 10am-7pm, noon-5pm Sun, alternative bookstore","(*),(NS)",Bookstores & Retail Shops,Salem,OR,,,1998,7/2/2024 3:53pm
1358,Cartwright Hotel,,524 Sutter St,"983-6243/(800) 227-3844, free gym passes, afternoon tea, wine hour","(GF),(TA)",Accommodations,San Francisco,CA,"Listed under ""S.F.-Downtown & North Beach""",,1998,2/8/2024 10:54am
1340,Spuntino,,524 Van Ness Ave,"861-7772, 7am-8pm, Italian; also cafe and desserts",(BW),Restaurants,San Francisco,CA,"Listed under ""S.F.-Polk Street Area""",,1998,2/8/2024 10:54am
3710,Images,,524 W Jefferson,"233-0070 9pm-2am, clsd Mon-Tue","(MW),(D),(F),(S),(WC)",Bars & Nightclubs,Lafayette,LA,,,1998,7/2/2024 3:53pm
1278,Sound Factory,,525 Harrison St,"9:30am-6pm Fri & Sat only, 979-8686","(M),(D)",Bars & Nightclubs,San Francisco,CA,"Listed under ""S.F.-South of Market""",,1998,2/8/2024 10:54am
1000,Park Manor Suites,,525 Spruce St,291-0999/(800) 874-2649 1926 hotel,"(GF),(TA)",Accommodations,San Diego,CA,,,1998,2/8/2024 10:54am
1055,Midas Travel,,525 University Ave,298-1160,(TA),Travel Agents,San Diego,CA,,,1998,2/8/2024 10:54am
1415,Cafe Istanbul,,525 Valencia St,"863-854, noon-11pm, Fri-Sat til midnight, Mediterranean, some veggie, authentic Turkish coffee, bellydancers Sat",(WC),Restaurants,San Francisco,CA,"Listed under ""S.F.-Mission District""",,1998,2/8/2024 10:54am
787,El Mirasol Villas,,525 Warm Sands Dr,"327-5913/(800) 327-2985 private , hot tub","(*),(M),(F),(SW),(N),(TA)",Accommodations,Palm Springs,CA,,,1998,2/8/2024 10:54am
5525,The Playhouse,,526 Canal St,(at Washington) 358-5715 9pm Wed-Sat,(TG),Bars & Nightclubs,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,7/2/2024 3:53pm
6909,Rascal's Deli & Lounge,,526 S Irby St,"665-2555 til 5pm Mon-Fri, 7pm-2am Sat, 3pm-2am Sun","(MW),(S),(PC)",Bars & Nightclubs,Florence,SC,,,1998,
796,InnTrigue,,526 Warm Sands Dr ,"323-7505/(800) 798-8781 hot tub, intimate & secluded resort, kitchens, spa","(*),(MO),(SW),(N),(TA)",Accommodations,Palm Springs,CA,,,1998,2/8/2024 10:54am
5666,Discretion,,527 W 143rd St ,#44 368-0717,(TA),Travel Agents,New York City,NY,"Listed under ""N.Y.C. -- Uptown""",,1998,7/2/2024 4:15pm
2364,Key West Videos,,528 Duval St,292-4113 24hrs,,Erotica,Key West,FL,,,1998,1/29/2024 3:20pm
1284,Cyberworld Cafe,,528 Folsom St,278-9669,"(F),(S)",Cafes,San Francisco,CA,"Listed under ""S.F.-South of Market""",,1998,2/8/2024 10:54am
3193,Park Brompton Inn,,528 W Brompton Pl ,404-3499/(800) 727-5108,(GF),Accommodations,Chicago,IL,"Listed under ""Chicago - New Town""",,1998,7/2/2024 3:53pm
1810,Reader's Feast Bookstore Cafe,,529 Farmington Ave,"232-3710 10am-9pm, til 10pm Fri-Sat, til 2:30pm Sun, progressive",(E),Bookstores & Retail Shops,Hartford,CT,,,1998,2/8/2024 10:54am
4870,Second Thought,,529 S Higgins,"6:30am-10pm, bookstore & cafe",(WC),Bookstores & Retail Shops,Missoula,MT,,,1998,7/2/2024 3:53pm
4747,Ted's Bar & Grill,,529 Walnut,"472-0569 7am-1:30am, 11am-midnight Sun, lunch daily",,Bars & Nightclubs,Kansas City,MO,,,1998,
4413,The Office of Lesbian/Gay/Bisexual/Transgender Affairs ,,530 S State St,"3116 Michigan Union, 763-4186 8am-5pm ",,Info Lines & Services,Ann Arbor,MI,,,1998,7/2/2024 5:01pm
5634,Twilo,,530 W 27th St,"(at 10th Ave.) 268-1600, 1 lpm-7am Fri-Sat","(*),(GF),(D),(E)",Bars & Nightclubs,New York City,NY,"Listed under ""N.Y.C. -- Midtown""",,1998,
1220,Patio Cafe,,531 Castro St,Enclosed patio dining,(MW),Restaurants,San Francisco,CA,"Listed under ""S.F.-Castro & Noe Valley""",,1998,2/8/2024 10:54am
5530,Rubyfruit Bar,,531 Hudson St,"(at Charles St.) 929-3343, (3pm-4am)","(W),(F)",Bars & Nightclubs,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,7/2/2024 3:53pm
6785,Danca Travel,,531 N York Rd, 443-5030/(800) 443-5039 ,(TA),Travel Agents,Warminster,PA,,,1998,
6187,Saloon Bar,,531 W State,"334-9340 2pm-2:30am, from 4pm wknds,clsd Mon",,Bars & Nightclubs,Fremont,OH,,,1998,7/2/2024 3:53pm
2354,Lido,,532 Duval St,294-5300 clothing & gifts,,Bookstores & Retail Shops,Key West,FL,,,1998,1/29/2024 3:15pm
5120,First Choice,,533 Ferry St,"465-1944 8pm-2am, til 3am Th-Sat, unconfirmed","(MW),(D),(MR-AF)",Bars & Nightclubs,Newark,NJ,,,1998,7/2/2024 3:53pm
5572,Sazerac House Bar & Grill,,533 Hudson,"(at Charles) 989-0313 noonI lpm, Cajun",,Restaurants,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,
6412,Coffee People ,,533 NW 23rd St,"221-0235 6am-10pm, from 7am Sun ",(*),Cafes,Portland,OR,,,1998,7/2/2024 3:53pm
7759,Ravenscroft Inn,,533 Quincy St ,385-2784 full brkfst ,(GF),Accommodations,Port Townsend,WA,,,1998,7/2/2024 3:53pm
3818,Gram's Cafe Creole,,533 Toulouse,524-1479 11:30am-?,(WC),Restaurants,New Orleans,LA,,,1998,6/5/2024 8:45pm
4130,Joy Boy,,533 Washington St,338-6999 10pm Fri only,"(M),(D),(A)",Bars & Nightclubs,Boston,MA,,,1998,7/2/2024 3:53pm
2268,The Artist House,,534 Eaton St,"296-3977/(800) 593-7898 Victorian guesthouse, full brkfst (seasonal), patio",(GF),Accommodations,Key West,FL,,,1998,1/29/2024 2:08pm
3824,Nola,,534 St Louis St,"522-6652 lunch & dinner, Creole",,Restaurants,New Orleans,LA,,,1998,7/2/2024 3:53pm
7315,O.T.’s,,534 Westheimer ,"529-8813 8am-2am, rom noon Sun ","(M),(NH),(S),(YC)",Bars & Nightclubs,Houston,TX,,,1998,
327,Club Triangle (Club West),,535 5th St,"444-2582 8pm-2am, gay Sun","(GF),(D),(A),(F),(18+),(WC)",Bars & Nightclubs,Eureka,CA,Check amenities -18+,checked,1998,2/8/2024 10:54am
1735,Travel 16th St.,,535 16th St ,#250 595-0007/ (800) 222-9229,(TA),Travel Agents,Denver,CO,,,1998,7/2/2024 4:15pm
1636,The Tippler,,535 E Dean,925-4977 11:30am-2am (seasonal),"(GF),(D),(F),(E),(WC)",Bars & Nightclubs,Aspen,CO,,,1998,2/8/2024 10:54am
1035,City Deli,,535 University Ave,"295-2747 7am-midnight, til 2am Fri-Sat, NY deli, plenty veggie",(BW),Restaurants,San Diego,CA,,,1998,
2515,Cafe Flamingo,,536 9th St N,262-8181 7:30am-2:30pm,(MW),Cafes,Naples,FL,,,1998,2/8/2024 9:47am
7680,Club Colors ,,536 N Harrison St ,353-9776 10pm-3am Fri-Sat,"(MW),(D),(MR),(F),(WC)",Bars & Nightclubs,Richmond,VA,,,1998,7/2/2024 3:53pm
2271,Banana's Foster Bed,,537 Caroline St,294-9061/(800) 653-4888 historic Conch house B&B,"(GF),(WC)",Accommodations,Key West,FL,,,1998,1/29/2024 2:10pm
781,Columns Resort,,537 Greenfall Rd ,"325-0655/(800) 798-0655 studios, full brkfst, hot tubs, kitchens, sauna, spa","(*),(MO),(SW),(N),(TA)",Accommodations,Palm Springs,CA,,,1998,2/8/2024 10:54am
2554,Le Cordon Bleu,,537 W Fairbanks Ave,Winter Park 647-7575 French,,Restaurants,Orlando,FL,,,1998,2/8/2024 10:10am
1229,Books Etc.,,538 Castro St,"Mostly used, 621-8631, 11am-10pm, til midnight Fri-Sat",,Bookstores & Retail Shops,San Francisco,CA,"Listed under ""S.F.-Castro & Noe Valley""",,1998,2/8/2024 10:54am
1693,The Grand,,538 E 17th Ave,"839-5390 3pm-2am, upscale piano bar","(MW),(E),(WC)",Bars & Nightclubs,Denver,CO,,,1998,2/8/2024 10:54am
4395,The Casual Cafe ,,538 Main St ,"347-2281 5pm-9pm, clsd Sun-Mon, Italian/Japanese ","(BYOB),(WC)",Restaurants,Sturbridge,MA,,,1998,7/2/2024 3:53pm
3834,Sebastian's,,538 St Phillip St,"524-2041 5:30pm-10pm, Creole plus",,Restaurants,New Orleans,LA,,,1998,7/2/2024 3:53pm
4366,Pucci's Harborside ,,539 Commercial St ,"487-1964 seasonal, full bar ","(*),(WC)",Restaurants,Provincetown,MA,,,1998,7/2/2024 3:53pm
3021,Dignity Honolulu,,539 Kapahulu Ave,(St.Mark's Church) 536-5536 7:30pm Sun,,Spiritual Groups,"Honolulu, Oahu",HI,"Listed under ""Oahu""",,1998,7/2/2024 3:28pm
5523,Opera,,539 W 21st St,(at 10th Ave.) 229-1618,"(GF),(A),(S),(WC)",Bars & Nightclubs,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,7/2/2024 3:53pm
414,Farenheit 451 Booksellers & Coffeehouse,,540 S Coast Hwy Ste 100,"376-3451 10am-10pm, readings, patio",,Bookstores & Retail Shops,Laguna Beach,CA,,,1998,2/8/2024 10:54am
7409,Arbor House at La Villita,,540 S St Mary's St,472-2005/(888) 272-6700,"(GF),(TA)",Accommodations,San Antonio,TX,,,1998,7/2/2024 6:24pm
4156,We Think The World of You,,540 Tremont St,"423-1965 daily, lesbigay",(*),Bookstores & Retail Shops,Boston,MA,,,1998,7/2/2024 3:53pm
5982,540 Club,,540 Walnut Ave NE,"456-8622 9pm-2:30am, clsd Sun-Mon","(M),(D),(S),(YC),(WC)",Bars & Nightclubs,Canton,OH,,,1998,7/2/2024 3:53pm
1232,Don't Panic,,541 Castro St,"T-shirts, gifts & more, 553-8989, 10am-9pm",,Bookstores & Retail Shops,San Francisco,CA,"Listed under ""S.F.-Castro & Noe Valley""",,1998,2/8/2024 10:54am
3831,Praline Connection,,542 Frenchmen St,"943-3934 till 10pm, soul food",,Restaurants,New Orleans,LA,,,1998,7/2/2024 3:53pm
3801,Mother Bob's,,542 N Rampart,586-1300 24 hrs,"(MW),(NH)",Bars & Nightclubs,New Orleans,LA,,,1998,7/2/2024 3:53pm
2097,Hot Nights,,542-U Seabreeze Blvd,257-4020 3pm-3am,"(MW),(D),(S)",Bars & Nightclubs,Daytona Beach,FL,,,1998,2/8/2024 10:54am
2127,King Henry Arms Motel,,543 Breakers Ave,561-0039/(800) 205-5464 smll & friendly motel just steps from the ocean,"(MW),(SW),(TA)",Accommodations,Fort Lauderdale,FL,,,1998,2/8/2024 10:54am
849,Palm Springs Athletic Club,,543 S Palm Canyon,323-7722 ,(GF),Gyms & Health Clubs,Palm Springs,CA,,,1998,2/8/2024 10:54am
386,U.S.J. Video & Books,,544 Pacific Coast Hwy,374-9207,,Erotica,Hermosa Beach,CA,,,1998,2/8/2024 10:54am
2092,Coquina Inn,,544 S Palmetto Ave,"254-4969/(800) 805-7533 full brkst, hot tub, fireplace","(GF),(NS),(TA)",Accommodations,Daytona Beach,FL,,,1998,2/8/2024 10:54am
2156,Jungle,,545 S Federal Hwy,832-9550 patio,"(M),(V)",Bars & Nightclubs,Fort Lauderdale,FL,,,1998,2/8/2024 10:54am
793,Inn Exile,,545 Warm Sands Dr,"327-6413/(800) 962-0186 resort, hot tub, gym","(*),(MO),(F),(SW),(N),(TA)",Accommodations,Palm Springs,CA,,,1998,2/8/2024 10:54am
5606,Gay Pleasures,,546 Hudson St,(at Charles) 255-5756,,Erotica,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,
3978,The Old Granite Inn,,546 Main St,594-9036/(800) 386-9036,"(GF),(WC)",Accommodations,Rockland,ME,,,1998,7/2/2024 3:53pm
6183,Community Gospel Church,,546 Xenia Ave,252-8855 10am Sun & 7pm Wed,,Spiritual Groups,Dayton,OH,,,1998,7/2/2024 3:53pm
1230,Does Your Father Know?,,548 Castro St,"Lesbigay gifts & videos, 241-9865",,Bookstores & Retail Shops,San Francisco,CA,"Listed under ""S.F.-Castro & Noe Valley""",,1998,2/8/2024 10:54am
2868,Misty Mountain Inn B&B,,548 Nicholson Trl,"896-5619/(770) 977-8270 seasonal, hot tub",(M),Accommodations,Hiawassee,GA,,,1998,7/2/2024 3:53pm
3302,South Holland Travel & Cruise,,550 E 162nd St,C-East 333-0360,(TA),Travel Agents,South Holland,IL,,,1998,7/2/2024 3:53pm
429,Syd's Bagelry,,550 North Lake Rd, Tahoe City 583-2666 583-2666 6:30-6:30pm,,Cafes,Tahoe City,CA,"Listed under ""Lake Tahoe, CA""",,1998,7/2/2024 6:19pm
5105,Dignity Metro New Jersey,,550 Ridgewood Rd,(St. George's Episcopal Church) 857-4040 8pm 1st Sun (mtg.) & 4pm 3rd Sun (service),,Spiritual Groups,Maplewood,NJ,,,1998,7/2/2024 3:53pm
1089,Gay Mart,,550 University Ave,543-1221,,Erotica,San Diego,CA,,,1998,2/8/2024 10:54am
771,The 550,,550 Warm Sands Dr,"320-7144/(800) 669-0550 hot tubs, kitchen, videos, waterfall spa","(*),(MO),(SW),(N)",Accommodations,Palm Springs,CA,,,1998,2/8/2024 10:54am
2775,March ,,550-C Amsterdam Ave ,call for events ,"(M),(D)",Bars & Nightclubs,Atlanta,GA,,,1998,2/8/2024 10:54am
1690,Denver Detour,,551 E Colfax Ave,"(back entrance) 861-1497 11am-2am, lunch & dinner served","(*),(MW),(E),(WC)",Bars & Nightclubs,Denver,CO,,,1998,2/8/2024 10:54am
4514,Triangle World,,551 Portage St,373-4005,(WC),Erotica,Kalamazoo,MI,,,1998,7/2/2024 3:53pm
1490,Greg's Ballroom,,551 W Julian,"286-4388 noon-2am, leather night Th","(MW),(D)",Bars & Nightclubs,San Jose,CA,,,1998,1/16/2024 10:33am
5597,David Barton Gym,,552 6th Ave,"727-0004, day passes avail.",(MW),Gyms & Health Clubs,New York City,NY,"Listed under ""N.Y.C. -- Soho, Greenwich & Chelsea""",,1998,7/2/2024 3:53pm
6997,Alternative Restaurant ,,553 S Cooper,"725-7922 11am-8pm, til midnight Fri-Sat, clsd Sun, homecooking
",(BYOB),Restaurants,Memphis,TN,,,1998,7/2/2024 3:53pm
2800,Pleasant Peasant ,,555 Peachtree St,"lunch & dinner, full bar ",,Restaurants,Atlanta,GA,,,1998,2/8/2024 11:06am
835,Bloomsbury Books,,555 S Sunrise Wy,"325-3862 11am-9pm, clsd Sun, lesbigay",,Bookstores & Retail Shops,Palm Springs,CA,,,1998,2/8/2024 10:54am
800,Triangle Inn,,555 San Lorenzo Rd,322-7993/(800) 732-7555 hot tub,"(*),(MO),(SW),(N),(TA)",Accommodations,Palm Springs,CA,,,1998,2/8/2024 10:54am
5628,Octagon,,555 W 33rd St,"947-0400,  Fri","(M),(D),(MR-AF)",Bars & Nightclubs,New York City,NY,"Listed under ""N.Y.C. -- Midtown""",,1998,
1659,Quality Inn--Garden of the Gods,,555 W Garden of the Gods,593-9119,"(GF),(TA)",Accommodations,Colorado Springs,CO,,,1998,2/8/2024 10:54am
3194,Surf Hotel,,555 W Surf St ,528-8400/(800) 787-3108 1920s hotel,(GF),Accommodations,Chicago,IL,"Listed under ""Chicago - New Town""",,1998,7/2/2024 3:53pm
805,Warm Sands Villas,,555 Warm Sands Dr,"323-3005/(800) 357-5695 hot tub, full brkfst","(*),(MO),(SW),(N),(TA)",Accommodations,Palm Springs,CA,,,1998,2/8/2024 10:54am
6097,The Gardener's House,,556 Frebis Ave,444-5445 hot tub,"(MW),(NS)",Accommodations,Columbus,OH,,,1998,7/2/2024 3:53pm
6545,La Bella Bistro,,556 W 4th,454-3616 clsd Sun-Mon,(BYOB),Restaurants,Erie,PA,,,1998,7/2/2024 3:53pm
795,Inntimate,,556 Warm Sands Dr,"778-8334/(800) 695-3846 kitchens, non-smoking rm. avail., under new ownership","(MW),(SW),(N)",Accommodations,Palm Springs,CA,,,1998,2/8/2024 10:54am
1233,Headlines,,557 Castro St,"Clothes, cards, novelties, 626-8061, 10am-9pm",,Bookstores & Retail Shops,San Francisco,CA,"Listed under ""S.F.-Castro & Noe Valley""",,1998,2/8/2024 10:54am
1462,Noc Noc,,557 Haight St,861-5811 5pm-2am,"(GF),(BW)",Bars & Nightclubs,San Francisco,CA,"Listed under ""S.F.-Haight, Fillmore & West""",,1998,1/16/2024 9:39am
3628,Alfalfa,,557 S Limestone,"253-0014 11am-9pm, til 5pm Mon, 10am-2pm Sun, plenty veggie, healthy multi-ethnic, folk music Fri-Sat",(E),Restaurants,Lexington,KY,,,1998,6/5/2024 6:01pm
1205,Caffe Luna Piena,,558 Castro St,"621-2566 lunch & dinner, patio",(MW),Restaurants,San Francisco,CA,"Listed under ""S.F.-Castro & Noe Valley""",,1998,2/8/2024 10:54am
7539,Mischievous ,,559 S 300 W ,530-3100,"(*),(NS)",Erotica,Salt Lake City,UT,,,1998,7/2/2024 3:53pm
4177,Mike’s Gym,,560 Harrison Ave,338-6210 gay-owned/run,(*),Gyms & Health Clubs,Boston,MA,,,1998,7/2/2024 3:53pm
5756,Dundalk News,,561 State St,325-2248 24hrs,,Erotica,Rochester,NY,,,1998,7/2/2024 3:53pm
1366,The Hotel Rex,,562 Sutter St,"433-4434/(800) 433-4434, full bar","(GF),(WC)",Accommodations,San Francisco,CA,"Listed under ""S.F.-Downtown & North Beach""",,1998,2/8/2024 10:54am
756,The Clock Garden Restaurant,,565 Abrego,"375-6100 11am-mid-night, American/cont'l, patio",(WC),Restaurants,Monterey,CA,,,1998,1/9/2024 3:21pm
1390,Mario's Bohemian Cigar Store Cafe,,566 Columbus Ave,"362-0536, great foccacia sandwiches, some veggie",,Restaurants,San Francisco,CA,"Listed under ""S.F.-Downtown & North Beach""",,1998,2/8/2024 10:54am
2782,Phoenix,,567 Ponce de Leon ,"9am-4am,patio","(M),(NH)",Bars & Nightclubs,Atlanta,GA,,,1998,
1289,Fringale,,570 4th St,"Lunch & dinner, Mediterranean, 543-0573",(WC),Restaurants,San Francisco,CA,"Listed under ""S.F.-South of Market""",,1998,2/8/2024 10:54am
4321,Sandbars,,570 Shore Rd,"487-1290 seasonal, oceanfront rms, private beach",(MW),Accommodations,Provincetown,MA,,,1998,6/16/2024 9:26pm
804,Vista Grande Villa/Atrium/Mirage,,574 Warm Sands Dr ,"322-2404/(800) 669-1069 private men's resort, kitchens","(*),(MO),(SW),(N),(TA)",Accommodations,Palm Springs,CA,,,1998,2/8/2024 10:54am
6525,Bristol News World ,,576 Bristol Pike ,(Rte 13 N)  785-4770 24hrs ,"(*),(NS)",Erotica,Bristol,PA,,,1998,7/2/2024 4:27pm
1597,Paddy McDermott's,,577 E Main St,65201071 2pm-2am,"(MW),(D),(K),(S)",Bars & Nightclubs,Ventura,CA,,,1998,2/8/2024 10:54am
