"title","streetaddress","unclear_address","description","city","state","amenityfeatures","type","Year","full.address","lon","lat","geoAddress","status","notes","ID"
"Olivier's","911 Decatur St.",NA,"525-7734 Creole, 10am-10pm, til 11pm Fri & Sat","New Orleans","LA","(MX)","Restaurants & Cafes",1993,"911 Decatur St. ,  New Orleans ,  LA",-90.061295,29.958684,"911 decatur st, new orleans, la 70116, usa","Geocoded",NA,"1993-LA-2976"
"Petunia's","817 St. Louis",NA,"522-6440 Cajun & Creole, 8am-midnight","New Orleans","LA","(*),(MX)","Restaurants & Cafes",1993,"817 St. Louis ,  New Orleans ,  LA",-90.0673229,29.9573461,"817 st louis st, new orleans, la 70112, usa","Geocoded",NA,"1993-LA-2977"
"Presley's Heartbreak Cafe","625 St. Philip St.",NA,"568-1631 5pm-5am, 24hrs weekends; Cajun, Mexican, Italian; full bar","New Orleans","LA","(MX),(AH)","Restaurants & Cafes",1993,"625 St. Philip St. ,  New Orleans ,  LA",-90.0620611,29.9603657,"625 st philip st, new orleans, la 70116, usa","Geocoded",NA,"1993-LA-2978"
"Quarter Scene","900 Dumaine",NA,"522-6533 homecookin', 24hrs (clsd Tues 11pm-8:30am only)","New Orleans","LA","(MX)","Restaurants & Cafes",1993,"900 Dumaine ,  New Orleans ,  LA",-90.0652429,29.9608254,"900 dumaine st, new orleans, la 70116, usa","Geocoded",NA,"1993-LA-2979"
"Sammy's Seafood","627 Bourbon St.",NA,"525-8442 Creole & Cajun cuisine, 11am-midnight","New Orleans","LA","(MX)","Restaurants & Cafes",1993,"627 Bourbon St. ,  New Orleans ,  LA",-90.0661187,29.9584309,"627 bourbon st, new orleans, la 70130, usa","Geocoded",NA,"1993-LA-2980"
"Scotty's Toulouse House","607 Dauphine St.",NA,"523-9300 deli fare, 6am-midnight, til 1am Fri &  Sat","New Orleans","LA","(MX)","Restaurants & Cafes",1993,"607 Dauphine St. ,  New Orleans ,  LA",-90.0672556,29.9586614,"607 dauphine st, new orleans, la 70112, usa","Geocoded",NA,"1993-LA-2981"
"St. Ann's Cafe & Deli","800 Dauphine",NA,"529-4421 24hrs","New Orleans","LA","(MX)","Restaurants & Cafes",1993,"800 Dauphine ,  New Orleans ,  LA",-90.0656078,29.9601025,"800 dauphine st, new orleans, la 70116, usa","Geocoded",NA,"1993-LA-2982"
"Tortilla Flats","437 Esplanade Ave.",NA,"948-2381 Mexican, 11:30am-10pm Tues-Sat, til 9pm Sun","New Orleans","LA","(*),(MX)","Restaurants & Cafes",1993,"437 Esplanade Ave. ,  New Orleans ,  LA",-90.0574714,29.9619583,"437 esplanade ave, new orleans, la 70116, usa","Geocoded",NA,"1993-LA-2983"
"Vera Cruz","1141 Decatur St.",NA,"561-8081 Mexican, 11:30am-10:30pm Wed-Sun","New Orleans","LA","(MX)","Restaurants & Cafes",1993,"1141 Decatur St. ,  New Orleans ,  LA",-90.0595145,29.9606926,"1141 decatur st, new orleans, la 70116, usa","Geocoded",NA,"1993-LA-2984"
"Club Body Center","515 Toulouse St.",NA,"581-2402 24hrs, spa, gym, sauna, sundeck, men-only","New Orleans","LA","(*),(PC)","Gyms/Health Clubs",1993,"515 Toulouse St. ,  New Orleans ,  LA",-90.0638563,29.9562637,"515 toulouse st, new orleans, la 70130, usa","Geocoded",NA,"1993-LA-2985"
"Midtowne Spa","700 Baronne St.",NA,"566-1442 24hrs, jacuzzi, steam & sauna, men-only","New Orleans","LA","(*),(V)","Gyms/Health Clubs",1993,"700 Baronne St. ,  New Orleans ,  LA",-90.073527,29.9477659,"700 baronne st, new orleans, la 70113, usa","Geocoded",NA,"1993-LA-2986"
"Faubourg Marigny Bookstore","600 Frenchmen St.",NA,"943-9875 gay/lesbian, 11am-8pm, 10am-6pm Sat, from noon Sun","New Orleans","LA","","Bookstores/Retail Shops",1993,"600 Frenchmen St. ,  New Orleans ,  LA",-90.057872,29.963616,"600 frenchmen st, new orleans, la 70116, usa","Geocoded",NA,"1993-LA-2987"
"Sidney's New Stand","917 Decatur St.",NA,"542-6872, 8am-9pm","New Orleans","LA","","Bookstores/Retail Shops",1993,"917 Decatur St. ,  New Orleans ,  LA",-90.0611928,29.9587946,"917 decatur st, new orleans, la 70116, usa","Geocoded",NA,"1993-LA-2988"
"Nitelife Companions","","checked","889-8646","New Orleans","LA","","Men's Services",1993,", LA",-90.071532,29.951066,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-LA-2989"
"Hickory Travel Systems","3636 St. Charles Ave.",NA,"586-9156/891-8400","New Orleans","LA","(IGTA)","Travel/Tour Operators",1993,"3636 St. Charles Ave. ,  New Orleans ,  LA",-90.0942859,29.9269119,"3636 st charles ave, new orleans, la 70115, usa","Geocoded",NA,"1993-LA-2990"
"Dignity","2048 Camp St.",NA,"(Casa Maria) 522-6059, 4pm Sun","New Orleans","LA","","Religious Organizations",1993,"2048 Camp St. ,  New Orleans ,  LA",-90.076346,29.9310683,"2048 camp st, new orleans, la 70130, usa","Geocoded",NA,"1993-LA-2991"
"Vieux Carre MCC","1128 St. Roch",NA,"945-5390, 10am & 7pm Sun, 7pm Wed","New Orleans","LA","","Religious Organizations",1993,"1128 St. Roch ,  New Orleans ,  LA",-90.0536592,29.9827143,"st. roch, new orleans, la, usa","Geocoded",NA,"1993-LA-2992"
"AMbush","P.O. Box 71072-1291","checked","522-8049 bi-weekly","New Orleans","LA","","Publications",1993,"P.O. Box 71072-1291, LA",-90.071532,29.951066,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-LA-2993"
"Impact","P.O. Box 52079, 70152","checked","948-9244 bi-monthly","New Orleans","LA","","Publications",1993,"P.O. Box 52079, 70152, LA",-90.071532,29.951066,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-LA-2994"
"Second Stone","P.O. Box 8340, 70182","checked","nat'l paper for gay/lesbian Chrsitians","New Orleans","LA","","Publications",1993,"P.O. Box 8340, 70182, LA",-90.071532,29.951066,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-LA-2995"
"Airline Bookstore","1824 Airline Hwy., Kenner",NA,"468-2931, 24hrs","New Orleans","LA","","Erotica",1993,"1824 Airline Hwy., Kenner ,  New Orleans ,  LA",-90.2471148,29.9804717,"1824 airline dr, kenner, la 70062, usa","Geocoded",NA,"1993-LA-2996"
"Second Skin Leather","521 St. Philip St.",NA,"561-8167 noon-10pm, til 6pm Sun","New Orleans","LA","","Erotica",1993,"521 St. Philip St. ,  New Orleans ,  LA",-90.0610828,29.9594694,"521 st philip st, new orleans, la 70116, usa","Geocoded",NA,"1993-LA-2997"
"Belle Promanade","","checked","","New Orleans","LA","Cruisy Area","Cruisy Areas",1993,", LA",-90.09842,29.879073,"unclear_coded_by_hand","Found",NA,"1993-LA-2998"
"Bourbon St. btwn. Toulouse & Ursulines","","checked","","New Orleans","LA","Cruisy Area","Cruisy Areas",1993,", LA",-90.069155,29.954712,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-LA-2999"
"Corner of Bourbon & St. Ann","","checked","","New Orleans","LA","Cruisy Area","Cruisy Areas",1993,", LA",-90.064894,29.959472,"unclear_coded_by_hand","Found",NA,"1993-LA-3000"
"Oakwood Shopping Center","","checked","(AYOR)","New Orleans","LA","Cruisy Area,(AYOR)","Cruisy Areas",1993,", LA",-90.053547,29.911991,"unclear_coded_by_hand","Found",NA,"1993-LA-3001"
"'Rest Stop' E. on I-10","","checked","(both sides)","New Orleans","LA","Cruisy Area","Cruisy Areas",1993,", LA",-90.071532,29.951066,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-LA-3002"
"Riverwalk - 'very interesting'","","checked","","New Orleans","LA","Cruisy Area","Cruisy Areas",1993,", LA",-90.071532,29.951066,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-LA-3003"
"YMCA, Lee Circle Branch","","checked","(AYOR)","New Orleans","LA","Cruisy Area,(AYOR)","Cruisy Areas",1993,", LA",-90.071532,29.951066,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-LA-3004"
"'Rest Stop' on I-20 E.","","checked","","Ruston","LA","Cruisy Area","Cruisy Areas",1993,", LA",-92.473759,32.531825,"unclear_coded_by_hand","Found",NA,"1993-LA-3005"
"Baja Beach Club","1605 Marshall at Creswell St.","checked","226-9084 9pm-2am Wed-Sat, progressive music","Shreveport","LA","(D),(PC)","Bars",1993,"1605 Marshall at Creswell St., LA",-93.740283,32.504189,"unclear_coded_by_hand","Found",NA,"1993-LA-3006"
"Central Station","1025 Marshall",NA,"222-2216 9pm-2am","Shreveport","LA","(D),(PC),(S)","Bars",1993,"1025 Marshall ,  Shreveport ,  LA",-93.745215,32.5087326,"1025 marshall st, shreveport, la 71101, usa","Geocoded",NA,"1993-LA-3007"
"Korner Lounge","800 Louisiana",NA,"222-9796 3pm-2am Mon-Sat, some straights","Shreveport","LA","(NH)","Bars",1993,"800 Louisiana ,  Shreveport ,  LA",-93.7492024,32.5088129,"800 louisiana ave, shreveport, la 71101, usa","Geocoded",NA,"1993-LA-3008"
"MCC Shreveport","9449 Ellerbe Rd.",NA,"(Unitarian Center) 226-8749, 6pm Sun","Shreveport","LA","","Religious Organizations",1993,"9449 Ellerbe Rd. ,  Shreveport ,  LA",-93.7277265,32.3983881,"9449 ellerbe rd, shreveport, la 71106, usa","Geocoded",NA,"1993-LA-3009"
"Fun Shop","103 Texas St.",NA,"226-1308","Shreveport","LA","","Erotica",1993,"103 Texas St. ,  Shreveport ,  LA",-93.7440179,32.516932,"103 texas st, shreveport, la 71101, usa","Geocoded",NA,"1993-LA-3010"
"Fun Shop Two","9434 Mansfield Rd.",NA,"688-2482","Shreveport","LA","","Erotica",1993,"9434 Mansfield Rd. ,  Shreveport ,  LA",-93.8127854,32.3940871,"9434 mansfield rd, shreveport, la 71118, usa","Geocoded",NA,"1993-LA-3011"
"Fannin btwn. Edwards & Marshall","","checked","","Shreveport","LA","Cruisy Area","Cruisy Areas",1993,", LA",-93.746259,32.510375,"unclear_coded_by_hand","Found",NA,"1993-LA-3012"
"'Rest Stop' on I-20 E. in Minden","","checked","","Shreveport","LA","Cruisy Area","Cruisy Areas",1993,", LA",-93.286835,32.615428,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-LA-3013"
"Old Lyons House","1335 Horridge St.",NA,"589-2903 B&B, full brkfst, hot tub","Vinton","LA","(MX)","Accommodations",1993,"1335 Horridge St. ,  Vinton ,  LA",-93.580765,30.1892071,"1335 horridge st, vinton, la 70668, usa","Geocoded",NA,"1993-LA-3014"
"Papa Joe's","80 Water St.",NA,"623-4041 7pm-1am Tues-Sat","Augusta","ME","(*),(MW),(D),(CW)","Bars",1993,"80 Water St. ,  Augusta ,  ME",-69.7735956,44.3191249,"80 water st, augusta, me 04330, usa","Geocoded",NA,"1993-ME-3015"
"Integrity","18 Union St. Hallowell",NA,"(St. Matthew's Church), 623-3041, 1st Fri 8pm","Augusta","ME","","Religious Organizations",1993,"18 Union St. Hallowell ,  Augusta ,  ME",-69.7932105,44.2855532,"18 union st, hallowell, me 04347, usa","Geocoded",NA,"1993-ME-3016"
"'Rest Stop' I-95 N.","","checked","(AYOR)","Augusta","ME","Cruisy Area,(AYOR)","Cruisy Areas",1993,", ME",-69.77949,44.310624,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3017"
"AA Gay/Lesbian","Main St.","checked","Unitarian Church, 941-8326 (AA#) 7:30pm Th","Bangor","ME","","Info Lines & Services",1993,"Main St., ME",-68.771226,44.801613,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3018"
"Riverfront, The","123 Franklin St.",NA,"947-1213 7pm-1am, til midnight Sun","Bangor","ME","(MW),(D)","Bars",1993,"123 Franklin St. ,  Bangor ,  ME",-68.7717688,44.803549,"123 franklin st, bangor, me 04401, usa","Geocoded",NA,"1993-ME-3019"
"Dignity-Bangor","300 Union St.",NA,"2nd & 4th Sun 6pm","Bangor","ME","","Religious Organizations",1993,"300 Union St. ,  Bangor ,  ME",-68.7802169,44.8022518,"300 union st, bangor, me 04401, usa","Geocoded",NA,"1993-ME-3020"
"Valley Avenue Park, along river bank","","checked","(AYOR)","Bangor","ME","Cruisy Area,(AYOR)","Cruisy Areas",1993,", ME",-68.796526,44.822211,"unclear_coded_by_hand","Found",NA,"1993-ME-3021"
"Manor House Inn","106 West St.",NA,"288-3759 B&B, priv. baths, open May-Nov.","Bar Habor","ME","(MX)","Accommodations",1993,"106 West St. ,  Bar Habor ,  ME",-68.208795,44.3903644,"106 west st, bar harbor, me 04609, usa","Geocoded",NA,"1993-ME-3022"
"Northport House","197 Northport Ave.",NA,"338-1422 B&B","Belfast","ME","(MX)","Accommodations",1993,"197 Northport Ave. ,  Belfast ,  ME",-68.9896268,44.4025344,"197 northport ave, belfast, me 04915, usa","Geocoded",NA,"1993-ME-3023"
"College Gay/Lesbian/Straight Alliance","","checked","Hubbard Hall 2nd flr., Bowdoin College 725-3620, 9pm Wed","Brunswick","ME","","Info Lines & Services",1993,", ME",-69.963196,43.907586,"unclear_coded_by_hand","Found",NA,"1993-ME-3024"
"'Rest Stop' on US 1 btwn. Bath & Brunswick, southbound","","checked","(AYOR)","Brunswick","ME","Cruisy Area,(AYOR)","Cruisy Areas",1993,", ME",-69.966996,43.914016,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3025"
"Old Massachusetts Homestead Campground, The","Rte. 1 Lincolnville Beach","checked","789-5135 cabins available May-Nov.","Camden","ME","","Accommodations",1993,"Rte. 1 Lincolnville Beach, ME",-69.00814,44.28222,"unclear_coded_by_hand","Found",NA,"1993-ME-3026"
"Gay/Lesbian Phoneline","","checked","498-2088, 7pm-9pm Wed","Caribou","ME","","Info Lines & Services",1993,", ME",-67.998036,46.864,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3027"
"Northern Lambda Nord","P.O. Box 990, 04930","checked","498-2088 social/networking org. for northern ME & western Brunswick","Caribou","ME","","Info Lines & Services",1993,"P.O. Box 990, 04930, ME",-67.998036,46.864,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3028"
"Westman House, The","P.O. Box 1231, 04736","checked","896-5726 B&B","Caribou","ME","(MW)","Accommodations",1993,"P.O. Box 1231, 04736, ME",-67.998036,46.864,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3029"
"'Rest Stop' 1 mi. on US 1 (aka 'The Country Store')","","checked","","Caribou","ME","Cruisy Area","Cruisy Areas",1993,", ME",-67.998036,46.864,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3030"
"Brewster Inn","37 Zions Hill",NA,"924-3130 B&B, 19 rm historic mansion","Dexter","ME","(MX)","Accommodations",1993,"37 Zions Hill ,  Dexter ,  ME",-69.2947005,45.0232317,"37 zions hill rd, dexter, me 04930, usa","Geocoded",NA,"1993-ME-3031"
"Video Expo","Rte. 236","checked","439-6285","Kittery","ME","","Erotica",1993,"Rte. 236, ME",-70.755272,43.116947,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3032"
"Bates Gay/Lesbian/Straight Alliance","","checked","Hirasawa Lounge, Chase Hall, Bates College, 786-6255 social group 8:30pm Sun","Lewiston","ME","","Info Lines & Services",1993,", ME",-70.203833,44.104506,"unclear_coded_by_hand","Found",NA,"1993-ME-3033"
"Sportsman's Club","2 Bates St.",NA,"784-2251 8pm-1am","Lewiston","ME","(*),(MW),(D)","Bars",1993,"2 Bates St. ,  Lewiston ,  ME",-70.2173331,44.1018535,"2 bates st, lewiston, me 04240, usa","Geocoded",NA,"1993-ME-3034"
"Max Travel Agency","One Wakefield St.","checked","783-7399","Lewiston","ME","","Travel/Tour Operators",1993,"One Wakefield St., ME",-70.210716,44.107313,"unclear_coded_by_hand","Found",NA,"1993-ME-3035"
"Paris Book Store","297 Lisbon St.",NA,"783-6677","Lewiston","ME","","Erotica",1993,"297 Lisbon St. ,  Lewiston ,  ME",-70.2157343,44.0937788,"297 lisbon st, lewiston, me 04240, usa","Geocoded",NA,"1993-ME-3036"
"'Rest Stop' on Rte. 3","","checked","","Liberty","ME","Cruisy Area","Cruisy Areas",1993,", ME",-69.302651,44.389369,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3037"
"Sign of the Owl","Rte. 2 Box 85","checked","338-4669 B&B","Lincolnville Beach","ME","(MX)","Accommodations",1993,"Rte. 2 Box 85, ME",-69.00814,44.28222,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3038"
"Global Real Estate Referrals","","checked","(800)346-5592 gay realtor at your service","Ogunquit","ME","","Info Lines & Services",1993,", ME",-70.598622,43.246835,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3039"
"Admiral's Inn","70 S. Main St.",NA,"646-7093 year-round","Ogunquit","ME","(MX),(SW)","Accommodations",1993,"70 S. Main St. ,  Ogunquit ,  ME",-70.6021314,43.2425376,"70 main st, ogunquit, me 03907, usa","Geocoded",NA,"1993-ME-3040"
"Grenadier Motor Inn","64 S. Main St.",NA,"646-3432 April-October only","Ogunquit","ME","(MX)","Accommodations",1993,"64 S. Main St. ,  Ogunquit ,  ME",-70.601725,43.2419694,"64 main st, ogunquit, me 03907, usa","Geocoded",NA,"1993-ME-3041"
"Inn at Tall Chimney, The","37 Main St.",NA,"646-8974 seasonal","Ogunquit","ME","","Accommodations",1993,"37 Main St. ,  Ogunquit ,  ME",-70.6022728,43.2401816,"37 main st, ogunquit, me 03907, usa","Geocoded",NA,"1993-ME-3042"
"Inn at Two Village Square, The","135 Main St.",NA,"646-5779 B&B","Ogunquit","ME","","Accommodations",1993,"135 Main St. ,  Ogunquit ,  ME",-70.6013003,43.2464092,"135 main st, ogunquit, me 03907, usa","Geocoded",NA,"1993-ME-3043"
"Leisure Inn","6 School St.",NA,"646-2737 B&B, seasonal","Ogunquit","ME","(MX)","Accommodations",1993,"6 School St. ,  Ogunquit ,  ME",-70.5983398,43.2475498,"6 school st, ogunquit, me 03907, usa","Geocoded",NA,"1993-ME-3044"
"Ogunquit House","7 Kings Hwy.",NA,"646-2967 B&B and cottages, year round","Ogunquit","ME","(MW)","Accommodations",1993,"7 Kings Hwy. ,  Ogunquit ,  ME",-70.6023327,43.2649541,"7 kings hwy, ogunquit, me 03907, usa","Geocoded",NA,"1993-ME-3045"
"Yellow Monkey Guest Houses & Hotel","44 Main St.",NA,"646-9056","Ogunquit","ME","(MW)","Accommodations",1993,"44 Main St. ,  Ogunquit ,  ME",-70.6010695,43.2408018,"44 main st, ogunquit, me 03907, usa","Geocoded",NA,"1993-ME-3046"
"Club, The","13 Main St.",NA,"646-6655 seasonal, 4pm-1am","Ogunquit","ME","(*),(D),(F),(V),(YC)","Bars",1993,"13 Main St. ,  Ogunquit ,  ME",-70.6018405,43.2387123,"13 main st, ogunquit, me 03907, usa","Geocoded",NA,"1993-ME-3047"
"Arrows","Berrick Rd.","checked","(1.8 mi. W. of Center) 361-1100 seasonal","Ogunquit","ME","(MX)","Restaurants & Cafes",1993,"Berrick Rd., ME",-70.621817,43.248343,"unclear_coded_by_hand","Found",NA,"1993-ME-3048"
"Ogunquit Beach, 200 yards N. of beach entrance","","checked","(AYOR)","Ogunquit","ME","Cruisy Area,(AYOR)","Cruisy Areas",1993,", ME",-70.59172,43.25592,"unclear_coded_by_hand","Found",NA,"1993-ME-3049"
"'Rest Stop' on I-95 S.","","checked","(AYOR)","Ogunquit","ME","Cruisy Area,(AYOR)","Cruisy Areas",1993,", ME",-70.598622,43.246835,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3050"
"Wilde-Stein Club","","checked","U. of Maine, Sutton Lounge, Memorial Union 581-1731 social group, 6pm Th","Orono","ME","","Info Lines & Services",1993,", ME",-68.667872,44.899192,"unclear_coded_by_hand","Found",NA,"1993-ME-3051"
"U. of M. Library","","checked","(AYOR)","Orono","ME","Cruisy Area,(AYOR)","Cruisy Areas",1993,", ME",-68.668825,44.901867,"unclear_coded_by_hand","Found",NA,"1993-ME-3052"
"Gay/Lesbian Alliance","","checked","U. of S. Maine, The Powers House 874-6596 various meetings & groups","Portland","ME","","Info Lines & Services",1993,", ME",-70.275079,43.66174,"unclear_coded_by_hand","Found",NA,"1993-ME-3053"
"Gays in Sobriety","32 Thomas St.",NA,"(Williston W. Church) 774-4060, 6:30pm Sun & 8pm Th","Portland","ME","","Info Lines & Services",1993,"32 Thomas St. ,  Portland ,  ME",-70.2709772,43.6480178,"32 thomas st, portland, me 04102, usa","Geocoded",NA,"1993-ME-3054"
"Global Real Estate Referrals","","checked","(800)346-5592 gay realtor at your service","Portland","ME","","Info Lines & Services",1993,", ME",-70.256819,43.659099,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3055"
"Blackstones","6 Pine St.",NA,"775-2885 4pm-1am","Portland","ME","(NH)","Bars",1993,"6 Pine St. ,  Portland ,  ME",-70.266826,43.6526354,"6 pine st, portland, me 04101, usa","Geocoded",NA,"1993-ME-3056"
"Chart Room, The","117 Spring St.",NA,"774-9262 4pm-1am, from 1pm Sat & Sun","Portland","ME","(MW),(D)","Bars",1993,"117 Spring St. ,  Portland ,  ME",-70.2624351,43.6529547,"117 spring st, portland, me 04101, usa","Geocoded",NA,"1993-ME-3057"
"Limelight, The","3 Spring St.",NA,"773-3315 4pm-1am","Portland","ME","(*),(MW),(D),(S)","Bars",1993,"3 Spring St. ,  Portland ,  ME",-70.2574098,43.6562263,"3 spring st, portland, me 04101, usa","Geocoded",NA,"1993-ME-3058"
"Raoul's Roadside Attraction","865 Forest Ave.",NA,"773-6886 11:30am-1am","Portland","ME","(MX),(E),(F)","Bars",1993,"865 Forest Ave. ,  Portland ,  ME",-70.2871563,43.6772788,"865 forest ave, portland, me 04103, usa","Geocoded",NA,"1993-ME-3059"
"Unicorn, The","57 Center St.",NA,"879-0645 3pm-1am, late brkfst & Sun brunch","Portland","ME","(MW),(D),(F),(NH),(AH)","Bars",1993,"57 Center St. ,  Portland ,  ME",-70.2574496,43.6552997,"57 center st, portland, me 04101, usa","Geocoded",NA,"1993-ME-3060"
"Cafe Always","47 Middle St.",NA,"774-9399 dinner Tues-Sat","Portland","ME","(MX)","Restaurants & Cafes",1993,"47 Middle St. ,  Portland ,  ME",-70.2505037,43.6602292,"47 middle st, portland, me 04101, usa","Geocoded",NA,"1993-ME-3061"
"Walter's Cafe","15 Exchange St.",NA,"871-9258 11am-9pm","Portland","ME","(MX)","Restaurants & Cafes",1993,"15 Exchange St. ,  Portland ,  ME",-70.2534878,43.6569016,"15 exchange st, portland, me 04101, usa","Geocoded",NA,"1993-ME-3062"
"Westside","58 Pine St.",NA,"773-8223 7am-9pm","Portland","ME","(MX)","Restaurants & Cafes",1993,"58 Pine St. ,  Portland ,  ME",-70.2684424,43.6510679,"58 pine st, portland, me 04102, usa","Geocoded",NA,"1993-ME-3063"
"Woodford's Cafe","129 Spring St.",NA,"772-1374 11am-11pm, til 2am Fri & Sat","Portland","ME","(MX)","Restaurants & Cafes",1993,"129 Spring St. ,  Portland ,  ME",-70.2630257,43.6526079,"129 spring st, portland, me 04101, usa","Geocoded",NA,"1993-ME-3064"
"Communiques","3 Moulton St.",NA,"773-5181, 10am-6pm, cards, gifts & clothing","Portland","ME","","Bookstores/Retail Shops",1993,"3 Moulton St. ,  Portland ,  ME",-70.2526999,43.6564851,"3 moulton st, portland, me 04101, usa","Geocoded",NA,"1993-ME-3065"
"Drop Me A Line","144 High St.",NA,"773-5547, 11am-6pm, clsd Sun","Portland","ME","","Bookstores/Retail Shops",1993,"144 High St. ,  Portland ,  ME",-70.2637709,43.6541383,"144 high st, portland, me 04101, usa","Geocoded",NA,"1993-ME-3066"
"Congregation Bet Ha'am","111 Wescott Rd.",NA,"879-0028 gay-friendly synagogue","Portland","ME","","Religious Organizations",1993,"111 Wescott Rd. ,  Portland ,  ME",-70.303837,43.628078,NA,"Geocoded",NA,"1993-ME-3067"
"Dignity Maine","425 Congress",NA,"(First Parish Church) 773-5747 Mass 5:30pm Sun","Portland","ME","","Religious Organizations",1993,"425 Congress ,  Portland ,  ME",-70.258224,43.6586131,"425 congress st, portland, me 04101, usa","Geocoded",NA,"1993-ME-3068"
"Maine Progressive","387 Goram Rd., Scarborough, 04074",NA,"725-7675 monthly","Portland","ME","","Publications",1993,"387 Goram Rd., Scarborough, 04074 ,  Portland ,  ME",-70.3834818,43.6329521,"387 gorham rd, scarborough, me 04074, usa","Geocoded",NA,"1993-ME-3069"
"Our Paper","P.O. Box 737, 04104","checked","761-0733 monthly","Portland","ME","","Publications",1993,"P.O. Box 737, 04104, ME",-70.256819,43.659099,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3070"
"Video Expo","666 Congress St.",NA,"774-1377","Portland","ME","","Erotica",1993,"666 Congress St. ,  Portland ,  ME",-70.2663095,43.6529972,"666 congress st, portland, me 04101, usa","Geocoded",NA,"1993-ME-3071"
"Deering Oaks Park off Park Ave.","","checked","(AYOR)","Portland","ME","Cruisy Area,(AYOR)","Cruisy Areas",1993,", ME",-70.271888,43.658839,"unclear_coded_by_hand","Found",NA,"1993-ME-3072"
"Maine Mall","","checked","(AYOR)","Portland","ME","Cruisy Area,(AYOR)","Cruisy Areas",1993,", ME",-70.334805,43.633455,"unclear_coded_by_hand","Found",NA,"1993-ME-3073"
"Gay/Lesbians United Potluck","Lebanon St. & Main St.","checked","(Stanford Unitarian Church) last Wed 7pm, check","Sanford","ME","","Info Lines & Services",1993,"Lebanon St. & Main St., ME",-70.777496,43.44075,"unclear_coded_by_hand","Found",NA,"1993-ME-3074"
"Our Paper","","checked","for contact number","Sanford","ME","","Info Lines & Services",1993,", ME",-70.77428,43.439163,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3075"
"'Rest Stop' on Rte. 3","","checked","","South China","ME","Cruisy Area","Cruisy Areas",1993,", ME",-69.570923,44.394979,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3076"
"Eastwind Inn","P.O. Box 149, 04860","checked","372-6366 year round","Tenants Harbor","ME","(MX)","Accommodations",1993,"P.O. Box 149, 04860, ME",-69.208286,43.966272,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3077"
"Colby College Bi/Lesbian/Gay Community","","checked","Bridge Room 877-7089, 7:30pm Mon","Waterville","ME","","Info Lines & Services",1993,", ME",-69.662636,44.563869,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3078"
"Chip & Dale's","Pine Square Mall, Main St.","checked","873-5610 8pm-1am Wed-Sun","Waterville","ME","(D)","Bars",1993,"Pine Square Mall, Main St., ME",-69.641032,44.56809,"unclear_coded_by_hand","Found",NA,"1993-ME-3079"
"Pricilla's Book Store","18 Water St.",NA,"873-2774","Waterville","ME","","Erotica",1993,"18 Water St. ,  Waterville ,  ME",-69.6322093,44.545024,"18 water st, waterville, me 04901, usa","Geocoded",NA,"1993-ME-3080"
"Treasure Chest","25 College Ave.",NA,"","Waterville","ME","","Erotica",1993,"25 College Ave. ,  Waterville ,  ME",-69.6233793,44.5665982,"25 college ave, waterville, me 04901, usa","Geocoded",NA,"1993-ME-3081"
"Global Real Estate Referrals","","checked","(800)346-5592 gay realtor at your service","York Harbor","ME","","Info Lines & Services",1993,", ME",-70.645608,43.136755,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-ME-3082"
"Canterbury House","432 York St.",NA,"363-3505 year round","York Harbor","ME","(MX)","Accommodations",1993,"432 York St. ,  York Harbor ,  ME",-70.6415927,43.1349181,"432 york st, york, me 03909, usa","Geocoded",NA,"1993-ME-3083"
"Remmus on the Rocks","167 Numble Rd.",NA,"363-6048 open May-Oct","York Harbor","ME","(MW)","Accommodations",1993,"167 Numble Rd. ,  York Harbor ,  ME",-70.597164,43.164564,NA,"Geocoded",NA,"1993-ME-3084"
