"title","status","description","streetaddress","city","Year","state","amenityfeatures","type","notes","unclear_address","full.address","lon","lat","geoAddress"
"Chapultepec Park","General City Coordinates Used","","","Calexico",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"San Diego St. U.","Found","Old Library Art Dept. 2nd & 3rd floors","","San Diego ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"'Truck Stop'","General City Coordinates Used","on US 101, just SO. of Burlingame- east side","","Redwood City",1978,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Tattoo Lagoon","Found","(Disco)","8th & Howard","San Francisco",1978,"CA","(D) - Dancing","Bars/Clubs,Restaurant","",NA,NA,NA,NA,NA
"Broadway","Found","Plaza to Y.M.C.A.","","San Diego ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Acacia","General City Coordinates Used","Inquire locally","","Fontana",1978,"CA","""(G) - Girls, but seldom exclusively""","Bars/Clubs","",NA,NA,NA,NA,NA
"Yerba Buena Village","Found","Taylor & Washington","","San Francisco",1978,"CA","","Restaurant","",NA,NA,NA,NA,NA
"West Hollywood- 'Boys Town'","Found","area off Santa Monica Blvd. nr. The Rascals","","Hollywood",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Art Museum","Found","","","Long Beach",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Wildwood Ranch","Found","(Resort) 69 mi. No. of San Francisco Write P.O. Box 31384 S.F., Ca. 94131, or call 415-824-7642","","Sonoma",1978,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"S.F. State U.","Found","Library & Creative Arts Bldg.","","San Francisco",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"The Lido Bar","General City Coordinates Used","(Across the border in Mexicali, Mexico, friends have suggested. Ask cab driver for locations.)","","Calexico",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"U.C.S.D.","Found","Sauna, Fine Arts Bldg., & Library (3rd floor)","","San Diego ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Manola's","General City Coordinates Used","(Across the border in Mexicali, Mexico, friends have suggested. Ask cab driver for locations.)","","Calexico",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"'Rest Stop'","General City Coordinates Used","on US 101 1 mi. No. of Malibu (Lost Hills exit)","","Santa Monica",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Alondra Park","Found","","","Redondo Beach",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Central Park","Found","Fair Oaks & Del Mar","","Pasadena",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Church Street Station","Found","(Breakfast served 24 hours) 14th & Market at Church","","San Francisco",1978,"CA","""(C) - Coffee, soft drinks and sometimes snacks"",(*) - Very popular","Restaurant","",NA,NA,NA,NA,NA
"Cahuenga 'hustlers'","Found","betw, Hollywood & Sunset","","Hollywood",1978,"CA","Cruisy Area","Cruisy Area","Approximate. Pin in the middle of the block on Cahuenga between Hollywood Blvd and Sunset.",NA,NA,NA,NA,NA
"Chicago Saloon","Found","","17th & Capp","San Francisco",1978,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"'Polk Strasse'","Found","Polk St. betw. Post & Union","","San Francisco",1978,"CA","Cruisy Area,(*) - Very popular","Cruisy Area","",NA,NA,NA,NA,NA
"Hideaway ","Found","(Good afternoons- adj. to Church St. Station)","14th & Market","San Francisco",1978,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Club  House","General City Coordinates Used","(may be closing) (Guerneville)","Casadero Rd.","Russian RIver",1978,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Fremont Park","Found","","","Sacramento ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"L.A.C.C.","Found","Da Vinici Hall- downstairs T-Room","","Hollywood",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Griffith Park","Found","nr. Golf Course E. of Greek Theatre and Ferndale Loop parking lot (HOT)","","Hollywood",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Sunset Blvd.","Found","'hitch-hikers' W. of Highland","","Hollywood",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Beach nr. Power Plant","Found","","","Manhattan Beach ",1978,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Phillip's 66 Truck Stop","General City Coordinates Used","So. on US 101","","Eureka",1978,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"'Sin Jose'","Found","1st St. betw. San Salvador & Santa Clara (Hustlers)","","San Jose",1978,"CA","Cruisy Area","Cruisy Area","Approximate. Location halfway between San Salvador and Santa Clara on 1st.",NA,NA,NA,NA,NA
"M.C.C.","Found","","34th at Broadway","Sacramento ",1978,"CA","M.C.C. - Metropolitan Community Church","Church","",NA,NA,NA,NA,NA
"Eden Square","Found","","","Stockton",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Vista Theatre ","Found","Sunset at Hollywood","","Hollywood",1978,"CA","","Theatre","",NA,NA,NA,NA,NA
"21st & 'K' Sts.","Found","","","Bakersfield",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Warf No. 2","Found","","","Monterey",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Bidwell Park","Found","Cedar Grove Area","","Chico",1978,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Barnsdale Park","Found","(HOT)","","Hollywood",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Ganesha Park","Found","(HOT)","","Pomona",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Beach Park","Found","21st & Oak Sts. ","","Bakersfield",1978,"CA","(*) - Very popular,Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"San Gregorio","Found","'B.A.' Beach SP. on Hwy. 1","","San Francisco",1978,"CA","Cruisy Area,(*) - Very popular","Cruisy Area","",NA,NA,NA,NA,NA
"Cal. State Long Beach","Found","SC 1 (2nd Floor) & LA 5 (2nd floor)","","Long Beach",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Ranch","Found","","13452 Ventura Blvd.","Sherman Oaks",1978,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Valley Fair Shopping Center","Found","(HOT)","","San Jose",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"'B.A.' Beach on Russian River","General City Coordinates Used","1 1/2 mi. from Mirabelle park","","Russian RIver",1978,"CA","Cruisy Area","Cruising Areas,Cruisy Area","",NA,NA,NA,NA,NA
"'Muscle Beach'","Found","","","Santa Monica",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Fairmont Park","Found","","","Riverside",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Westside","Found","(Open for lunch- patio- good days) (W. L.A.)","6112 Venice Blvd.","Los Angeles ",1978,"CA","(D) - Dancing,(*) - Very popular","Restaurant","",NA,NA,NA,NA,NA
"Garfield Park","Found","","","Pomona",1978,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Fashion Valley Shopping Center","Found","","","San Diego ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"The Grove","Found","So. End of Evans Lake","","Riverside",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Del Paso Park","Found","parking area off Auburn Blvd.","","Sacramento ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"The Bluffs","Found","On beach betw. Gaviota & Redondo","","Long Beach",1978,"CA","Cruisy Area","Cruisy Area","Location here is approximate for the middle of the beach between Gaviota st and Redondo. ",NA,NA,NA,NA,NA
"Lucky Leone's ","Found","(Some G)","1700 Placentia at 17th","Costa Mesa",1978,"CA","(PT) - Pool Table,(D) - Dancing,(*) - Very popular","Restaurant,Bars/Clubs","",NA,NA,NA,NA,NA
"Paradise Beach on American River","Found","","","Sacramento ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Diamond Horseshoe","Found","(Disco) (Liquor) (Wilmington)","2523 E. Anaheim","Long Beach",1978,"CA","(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Lake Merritt","Found","","","Oakland",1978,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"'Miracle Mile'","Found","Folsom St. betw. 6th & 12th Sts.","","San Francisco",1978,"CA","Cruisy Area","Cruisy Area","Approximate. Location for the middle of this stretch on Folsom between 6th & 12th.",NA,NA,NA,NA,NA
"'Tenderloin' hustlers at Flagg Bros.","Found","'corner' Mason & Market Sts.","","San Francisco",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Griffith Park","Found","Sonora at Victory Blvd.","","Los Angeles ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Baths","Found","(Closes 10:30 p.m.) 7th & 'A' Sts.","","Eureka",1978,"CA","(M) - Mixed Crowds - Some Straights","Baths","",NA,NA,NA,NA,NA
"Lake Temescal Park & Beach","Found","","","Berkeley",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Ruth Hardee Park","Found","","","Palm Springs",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Memorial Park","Found","","","Pasadena",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Oz's Books","General City Coordinates Used","(Cruisy arcade)","5th St","San Diego ",1978,"CA","Cruisy Area","Book Store","",NA,NA,NA,NA,NA
"Y.M.C.A.","Found","(Armed Services)","","San Diego ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Cafe El Taurino","Found","Tijuana, B.C.","","Tijuana",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Eddie's ","Found","Franklin & Tyler","","Monterey",1978,"CA","(M) - Mixed Crowds - Some Straights,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours","Restaurant","",NA,NA,NA,NA,NA
"Echo Park","Found","(HOT)","","Los Angeles ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Oak Park","Found","","","Stockton",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Radio Park","Found","1st & Clinton","","Fresno ",1978,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Raven","Found","Polk & California","","San Francisco",1978,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Twin Peaks Tavern","Found","Castro & Market Sts.","","San Francisco",1978,"CA","(OC) - Older/More Mature Crowd,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"'Rest Stop' ","General City Coordinates Used","on No. side of I-10 betw. Fontana & Rialto","","San Bernardino",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Dolores Park","Found","(HOT)","","San Francisco",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Santa Rosa Park","Found","","","San Luis Obispo",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Devil's Slide","General City Coordinates Used","'B.A.' Beach So. on Hwy 1","","San Francisco",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Arthur J's","Found","Highland& Santa Monica Blvd.","","Hollywood",1978,"CA","(M) - Mixed Crowds - Some Straights,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours","Restaurant,Bars/Clubs","",NA,NA,NA,NA,NA
"Whispering Pines","Found","20 mi. W. on Hwy. 140 in Begintown. P.O. Box 90, Midpines, Ca.","","Yosemite ",1978,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"Lafayette Park","Found","","","San Francisco",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Magnolia Park","Found","(HOT)","","Los Angeles ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Union 76 Truck Stop","Found","I- 10 opp. Ontario Speedway","","Ontario",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Balboa Park","Found","","","San Diego ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Beau Geste Cinema","Found","17th & Market at Castro","17th & Market","San Francisco",1978,"CA","","Theatre","",NA,NA,NA,NA,NA
"Pier 54","Found","China Basin at Pier 54","","San Francisco",1978,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Seawall ","Found","","","San Francisco",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Desert Palms Inn","General City Coordinates Used","","67-680 Hwy. 111","Palm Springs",1978,"CA","""(H) - Hotel, motel, or other overnight accomodations"",(*) - Very popular","Hotels","",NA,NA,NA,NA,NA
"El Capitan","Found","","13825 So. Hawthorne","Hawthorne",1978,"CA","(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Caravan","Found","(Latins) Greyhound Bus Depot, Gabilon & Salinas","","Salinas",1978,"CA","(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent,Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Paris Magazine Shop","Found","","30th & University","San Diego ",1978,"CA","(M) - Mixed Crowds - Some Straights","Book Store","",NA,NA,NA,NA,NA
"Selma Ave nr. Y.M.C.A.","Found","(sure suicide- avoid)","","Hollywood",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Land's End","Found","","","San Francisco",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Santa Monica Blvd.","Found","'hitch-hikers' from La Brea to Beverly Hills","","Hollywood",1978,"CA","Cruisy Area","Cruisy Area","Approximate.",NA,NA,NA,NA,NA
"'The Strip'","Found","Market St. from Van Ness to Castro 'Hitch-hikers' or by car","","San Francisco",1978,"CA","Cruisy Area","Cruisy Area","Approximate. Location for the middle of this stretch from Van Ness to Castro.",NA,NA,NA,NA,NA
"Coyote Point","Found","Beach & parking lot ff US 101 betw, San Mateo & Burlingame","","Redwood City",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Febe's ","Found","(Leather & 'toy' shop upstairs)","11th & Folsom Sts.","San Francisco",1978,"CA","(OC) - Older/More Mature Crowd,(W) - Western or coyboy types,(*) - Very popular","Bars/Clubs,Business","",NA,NA,NA,NA,NA
"Weill Park","Found","26th & 'Q' Sts.","","Bakersfield",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Central Park","Found","21st & 'R' Sts.","","Bakersfield",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Maze Stone County Park","Found","41/2 Mi. W. on Hwy. 74","","Hemet",1978,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Buena Vista Park","Found","","","San Francisco",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Taste of Leather","Found","(Leather & 'toy' shop up stairs at Fbe's)","11th & Folsom St.","San Francisco",1978,"CA","(*) - Very popular","Business","",NA,NA,NA,NA,NA
"Brass Rail","Found","(Liquor) (Cruisy) ","5th & Robinson","San Diego ",1978,"CA","(D) - Dancing,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Pacific Beach ","Found","nr. Diamond St.","","San Diego ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Electric Banana ","Found","(Disco) (WE*)
Paradise Shopping Center- Just off 101, Corte Madera exit (May be changing name)","","Corte Madera",1978,"CA","(D) - Dancing,(PT) - Pool Table,(WE) = Weekends,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Stanford Shopping Mall","Found","","","Palo Alto",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"West St. Beach nr. Laguna Royal Motel","General City Coordinates Used","(So. Laguna)","","Laguna Beach ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"'Castro Village'","Found","Castro betw. 18th & Market Sts.","","San Francisco",1978,"CA","(*) - Very popular,Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Roeding Park","Found","","","Fresno ",1978,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Sukker's Liqours ","Found","Pine & Polk","","San Francisco",1978,"CA","","Business","",NA,NA,NA,NA,NA
"M.C.C.","General City Coordinates Used","","18th & Arizona","Venice",1978,"CA","M.C.C. - Metropolitan Community Church","Church","",NA,NA,NA,NA,NA
"Robertson Blvd.","Found","'the bushes' betwen. Beverly & Melrose (HOT)","","Hollywood",1978,"CA","Cruisy Area","Cruisy Area","Approximate. Pin for middle of Robertson between Melrose and Beverly.",NA,NA,NA,NA,NA
"Discovery Park","Found","(Bryte)","","Sacramento ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Vicinity of City Hal","Found","","","Pasadena",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Club","Found","(Sunday Brunch) Kettner & Laurel","","San Diego ",1978,"CA","(YC) - Young and/or collegiate types,(D) - Dancing,(PT) - Pool Table,(W) - Western or coyboy types,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Shuff'In Beaver","General City Coordinates Used","(Some G) 3 mi W. on Hwy 299","","Redding",1978,"CA","(D) - Dancing,(PT) - Pool Table,(*) - Very popular,""(G) - Girls, but seldom exclusively""","Bars/Clubs","",NA,NA,NA,NA,NA
"Torry Pines Beach St. Park","Found","Blacks' 'B.A.' Beach- a half hour walk from parking lot to base of gold course","","San Diego ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Beach opp. City Hall","General City Coordinates Used","","","Redondo Beach",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Squoia Park","Found","T- Rooms","","Eureka",1978,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Beach & Steps by Coast Inn","Found","","","Laguna Beach ",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"Downtown Airlines Bus Terminal","General City Coordinates Used","downstairs T-Room","","San Francisco",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"S.J. State College","Found","Journalism Bldg. & Library 3rd floor T-Room","","San Jose",1978,"CA","Cruisy Area","Cruisy Area","",NA,NA,NA,NA,NA
"'Rest Stop'","Found","on I-280, just No. of Blackland Road exit","","Hillsborough",1978,"CA","","Cruising Areas","",NA,NA,NA,NA,NA
"Main St.","Found","'Hustlers'- betw. 4th & 6th Sts.","","Los Angeles ",1978,"CA","Cruisy Area","Cruisy Area","Approximate. Pin in middle of block between 4th and 6th on main.",NA,NA,NA,NA,NA
"Alhambra Park","Found","Palm Rd. at Larch nr. tennis courts","","Alhambra",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Wellington Club Baths","Found","('Tops' in area)","1202 E. Anaheim ","Wilmington",1979,"CA","(P) - Private club - Inquire locally to admission,(YC) - Young and/or collegiate types,(*) - Very popular","Baths","",NA,NA,NA,NA,NA
"'Polkstrasse'","Found","","Polk St. betw. Post & Union","San Francisco",1979,"CA","(*) - Very popular,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Camp Curry","Found","T-Rooms","","Yosemite ",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"St. James Sq. ","Found","(Late nights)","","San Jose",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"M.C.C.","General City Coordinates Used","","18th & Arizona","Venice",1979,"CA","","Church","",NA,NA,NA,NA,NA
"Positively Fourth Street","Found","","4th St. nr. Lincoln","San Rafael",1979,"CA","(M) - Mixed Crowds - Some Straights","Bars/Clubs","",NA,NA,NA,NA,NA
"Greyhounds Bus Depot","General City Coordinates Used","","","Santa Barbara",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Yerba Buena Village","Found","","Taylor & Washington","San Francisco",1979,"CA","","Restaurant","",NA,NA,NA,NA,NA
"Happy's Lucky Dog Saloon ","Found","(Some G)","25430 Baseline at Del Rosa","San Bernardino",1979,"CA","""(G) - Girls, but seldom exclusively"",(D) - Dancing,(PT) - Pool Table","Bars/Clubs","",NA,NA,NA,NA,NA
"Griffith Park","Found","nr. Gold Course E. of Greek Theatre & Ferndale Loop parking lot (HOT)","","Hollywood",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Brass Rail","Found","(Liquor) (Cruisy) ","5th and Robinson","San Diego ",1979,"CA","(*) - Very popular,(D) - Dancing","Cruising Areas,Bars/Clubs","",NA,NA,NA,NA,NA
"Esplanade Shopping Center","Found","Upstairs T-Room
","","Ventura",1979,"CA","Cruisy Area","Cruising Areas,Business","",NA,NA,NA,NA,NA
"A Little More","Found","(WE-only*)","15th & Potrero","San Francisco",1979,"CA","""(G) - Girls, but seldom exclusively"",(D) - Dancing,(WE) - Weekends,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"The Bluffs","Found","on beach betw. Gaviota & Redondo","","Long Beach",1979,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,Cruisy Area","Cruising Areas","Location here is approximate for the middle of the beach between Gaviota st and Redondo. ",NA,NA,NA,NA,NA
"Twin Peaks Tavern","Found","('Mixed bag')
 ","Castro & Market Sts.","San Francisco",1979,"CA","(OC) - Older/More Mature Crowd","Bars/Clubs","",NA,NA,NA,NA,NA
"New York City Deli","Found","","15th & Market","San Francisco",1979,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Fashion Valley Shopping Center","Found","","","San Diego ",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"MazeStoneCounty Park","Found","4 1/2 mi. W. on Hwy. 74
","","Hemet",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Endup","Found","(Disco)
","6th & Harrison","San Francisco",1979,"CA","(D) - Dancing,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Vista Theatre","Found","Sunset at Hollywood
","","Hollywood",1979,"CA","","Theatre","",NA,NA,NA,NA,NA
"Babe's 540 Club","Found","(Good days) 'C'

","540 W. St","San Diego ",1979,"CA","(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Fogg's","Found","","2nd & 'E' Sts.","Eureka",1979,"CA","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Restaurant","",NA,NA,NA,NA,NA
"Baths","Found","(Closes 10:30 PM) ","7th & 'A' Sts.","Eureka",1979,"CA","(M) - Mixed Crowds - Some Straights","Baths","",NA,NA,NA,NA,NA
" Seven Committee","Found","('Flicks' & other action-enter thru Adonis Book Store)","384 Ellis St.","San Francisco",1979,"CA","(P) - Private club - Inquire locally to admission","Organizations","",NA,NA,NA,NA,NA
"Pirates Cove","Found","'B.A.' Beach-left turn off Avila","","San Luis Obispo",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Magnolia Park","Found","(HOT)","","Los Angeles ",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"San. Onofre Beach St. Park","Found","'B.A' area at N. end of Camp Pendelton","","San Clemente",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Beach","Found","Beach nr. power plant","","Manhattan Beach ",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Vasona Lake County Park","Found","","","Los Gatos",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Robertson Blvd.","Found","'The Bushes' betw. Beverly & Melrose (HOT)","","Hollywood",1979,"CA","Cruisy Area","Cruising Areas","Approximate. Pin for middle of Robertson between Melrose and Beverly.",NA,NA,NA,NA,NA
"Beach Park","Found","","21st and Oak Sts.","Bakersfield",1979,"CA","(*) - Very popular,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Downtown Airline Bus Terminal","General City Coordinates Used","downstairs T-Room","","San Francisco",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Bidwell Park","Found","Cedar Grove","","Chico",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Sunset Blvd.","Found","'Hitch-hikers' W. of Highland","","Hollywood",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Recreation Park","Found","at 7th & Park Ave","","Long Beach",1979,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Presidio Park","Found","","","San Diego ",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Heisler Park","Found","(HOT)","","Laguna Beach ",1979,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Febe's","Found","(Leather & 'toy' shop up-stairs)","11th & Folsom","San Francisco",1979,"CA","(W) - Western or coyboy types,(OC) - Older/More Mature Crowd","Business","",NA,NA,NA,NA,NA
"'Tenderloin' hustlers","Found","at Flagg Bros. 'corner'-","Mason & Market Sts.","San Francisco",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Lion Pub","Found","(Opens 12 noon-good afternoons) ","Corner of Sacramento & Divisadero Sts.","San Francisco",1979,"CA","(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Whispering Pines","Found","20 mi. W. on Hwy. 140 in Begintown. P.O. Box 90, Midpines, Ca","","Yosemite ",1979,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","P.O box",NA,NA,NA,NA,NA
"Roeding Park","Found","","","Fresno ",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Sin Jose' ","Found","1st. St. betw. San Salvador & Santa Clara ('Hustlers')","","San Jose",1979,"CA","Cruisy Area","Cruising Areas","Approximate. Location halfway between San Salvador and Santa Clara on 1st.",NA,NA,NA,NA,NA
"Y.M.C.A","Found","(Armed Services)","","San Diego ",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Alondra Park","Found","","","Redondo Beach",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Elephant Walk","Found","","18th & Castro","San Francisco",1979,"CA","","Restaurant","",NA,NA,NA,NA,NA
"Ninth St. Beach (the 'Thousand Steps')","Found","S. Laguna","","Laguna Beach ",1979,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Valley Fair Shopping Center","Found","(HOT)","","San Jose",1979,"CA","Cruisy Area","Cruising Areas,Business","",NA,NA,NA,NA,NA
"Wildwood Ranch","General City Coordinates Used","(Resort) P.O. Box 78, Guerneville, CA 95446 (707 632-5321","","Russian River",1979,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
