"title","status","description","streetaddress","notes","city","state","amenityfeatures","type","Year","unclear_address","full.address","lon","lat","geoAddress"
"downtown betw. Greyhound Depot and Y.M.C.A.","General City Coordinates Used","","","","Miami","FL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Coconut Grove","General City Coordinates Used","especially afternoons near the Hamlet","","","Miami","FL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Camelot Dining Room ","Found","8000 Club (Liquor) ","80th & Biscayne Blvd ","","Miami","FL","(R),(*)","Restaurant",1978,NA,NA,NA,NA,NA
"Virginia Beach -  Virginia Key nr. Key Biscayne   ","General City Coordinates Used","","","","Miami","FL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Sebastian’s ","Found","(many G) (disco) (Liquor) ","2490 S.W. 17th Ave. at US Hwy 1 ","","Miami","FL","(M),(R),(C),(AH)","Restaurant",1978,NA,NA,NA,NA,NA
"Mathiewson Hammock  Park Cutler Ridge Rd.   ","Found","(Beach) ","","","Miami","FL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Downtown betw.  & Greyhound Bus Depot   ","General City Coordinates Used","","","","Miami","FL","Cruisy Area,(RT)","Cruising Areas",1978,NA,NA,NA,NA,NA
"‘The Block’ -  around the Cactus   ","General City Coordinates Used","","","","Miami","FL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Coconut Grove, nr. the  Hamlet   ","General City Coordinates Used","(afternoons) ","","","Miami","FL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Biscayne Blvd – ‘Hitch-hikers’  ","General City Coordinates Used","","","","Miami","FL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Pleasure Chest ","General City Coordinates Used","At club Miami Baths & the Double ‘R’ Ranch (‘Toys’, leather & things)     
","","","Miami","FL","","Baths",1978,NA,NA,NA,NA,NA
"Unique Escort & Models Miami","General City Coordinates Used","(305)-891-7133 Ft. Lauderdale (305) 463-1366","","","Miami","FL","","Business",1980,NA,NA,NA,NA,NA
"Coconut Grove","General City Coordinates Used","near Hamlet (afternoons)","","","Miami","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Biscayne Blvd","General City Coordinates Used","Hitch-hikers
","","","Miami","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"U. of Miami- Learning Center Bldg.","Found","T-Room (Coral Gables)","","","Miami","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Bayfront Park T-Room","Found","","","","Miami","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"The Block near Cactus Lounge","General City Coordinates Used","off Biscayne Blvd.","","","Miami","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Downtown near Y.M.C.A.","General City Coordinates Used","","","","Miami","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"M.C.C.","General City Coordinates Used","305-6335733","","","Miami","FL","","Church",1980,NA,NA,NA,NA,NA
"Virginia Beach","General City Coordinates Used","Virginia Key near Key Biscayne","","","Miami","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Burdine's T-Room","General City Coordinates Used","Dadeland","","","Miami","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Matheson Hammock Beach","Found","on Old Cutler Rd. Turn right at fork","","","Miami","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"The Boardwalk","Found","","","","Jacksonville Beach","FL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Eye Club","General City Coordinates Used","","","","Jacksonville Beach","FL","(P),(D),(S),(*)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"El-Bo Room","Found","","","","Jacksonville Beach","FL","(M)","Bars/Clubs",1968,NA,NA,NA,NA,NA
"Kon Tiki","General City Coordinates Used","","","","Jacksonville Beach","FL","(PE),(M)","Bars/Clubs",1966,NA,NA,NA,NA,NA
"Kon Tiki","General City Coordinates Used","","","","Jacksonville Beach","FL","(PE),(M)","Bars/Clubs",1965,NA,NA,NA,NA,NA
"The Boardwalk","Found","","","","Jacksonville Beach","FL","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"The Boardwalk","Found","","","","Jacksonville Beach","FL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"
  The Boardwalk
  ","Found","","","","Jacksonville Beach","FL","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"The Boardwalk","Found","","","","Jacksonville Beach","FL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Friendship Park","Found","","","","Jacksonville","FL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Hemming Park","Found","","","","Jacksonville","FL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Circus Bar","General City Coordinates Used","inquire locally
","","","Jacksonville","FL","","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Red Fez","General City Coordinates Used","","","","Jacksonville","FL","(P),(D),(YC),(*)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Circus Bar","General City Coordinates Used","(Inquire locally)","","","Jacksonville","FL","","Bars/Clubs",1968,NA,NA,NA,NA,NA
"Friendship Park ","Found","","","","Jacksonville","FL","Cruisy Area,(HOT)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Hemming Park ","Found","","","","Jacksonville","FL","Cruisy Area,(HOT)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Pheonix ","Found","(Men only – leather shops) (Opens 10 p.m.) (Cruisy) ","2069 Phoenix Ave. at 11th ","","Jacksonville","FL","(W),(*)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"M.C.C. ","Found","","Laura & Union Sts. ","","Jacksonville","FL","(MCC)","Church",1979,NA,NA,NA,NA,NA
"My Little Dude ","Found","(Some G)","2952 Roosevelt, under Hwy. 17","","Jacksonville","FL","(S)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Den","Found","","Adams at Florida","","Jacksonville","FL","(P),(BYOB),(D)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Friendship Park","Found","","","","Jacksonville","FL","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Hemming Park ","Found","","","","Jacksonville","FL","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Circus Bar","General City Coordinates Used","(inquire locally)","","","Jacksonville","FL","","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Other Dimension","Found","(mayflower hotel)","Julia St","","Jacksonville","FL","","Hotels,Bars/Clubs",1976,NA,NA,NA,NA,NA
"Friendship ","Found","(HOT!!!)","","","Jacksonville","FL","(HOT),Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Hemming Park","Found","","","","Jacksonville","FL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"M.C.C","Found","","Laura & Union","","Jacksonville","FL","","Church",1976,NA,NA,NA,NA,NA
"Male Box","Found","","10th & Hubbard","","Jacksonville","FL","","Bars/Clubs",1976,NA,NA,NA,NA,NA
"Denny's","General City Coordinates Used","","Beach Blvd","","Jacksonville","FL","(R),(M),(C),(AH)","Restaurant",1976,NA,NA,NA,NA,NA
"
  Friendship Park 
  ","Found","","","","Jacksonville","FL","Cruisy Area,(H)","Cruising Areas,Hotels",1977,NA,NA,NA,NA,NA
"
  Denny’s
  ","General City Coordinates Used","","Beach Blvd. ","","Jacksonville","FL","(M),(R),(C),(AH)","Restaurant",1977,NA,NA,NA,NA,NA
"
  M.C.C. 
  ","Found","","Laura & Union Streets ","","Jacksonville","FL","","Bars/Clubs",1977,NA,NA,NA,NA,NA
"
  Hemming Park 
  ","Found","","","","Jacksonville","FL","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"B.J.'s Prudential Drive","General City Coordinates Used","","","","Jacksonville","FL","","Bars/Clubs",1975,NA,NA,NA,NA,NA
"Friendship Park","Found","","","","Jacksonville","FL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Inferno","General City Coordinates Used","","Mayflower Hotel - Julia St.","","Jacksonville","FL","(D)","Bars/Clubs",1975,NA,NA,NA,NA,NA
"Hemming Park","Found","","","","Jacksonville","FL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"My Little Dude ","Found","(Male ‘Drags’) ","2952 Roosevelt, under Hwy 17 ","","Jacksonville","FL","(G),(S)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Producers ","Found","(Disco) (open Sundays) (S – Wed. & Sun.) (R – snacks) (use elevator) Top floor of Mayflower Hotel Bldg. ","311 W. Bay Street at Julia ","","Jacksonville","FL","(*),(YC)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Denny's ","General City Coordinates Used","","Beach Blvd ","","Jacksonville","FL","(M),(R),(C),(AH)","Restaurant",1978,NA,NA,NA,NA,NA
"Hemming Park ","Found","","","","Jacksonville","FL","Cruisy Area,(AYOR)","Cruising Areas",1978,NA,NA,NA,NA,NA
"Friendship Park ","Found","","","","Jacksonville","FL","Cruisy Area,(HOT)","Cruising Areas",1978,NA,NA,NA,NA,NA
"M.C.C. ","Found","","Laura & Union Sts. ","","Jacksonville","FL","(MCC)","Church",1978,NA,NA,NA,NA,NA
"Jacksonville St. U. Ayers Hall T-Room","Found","","","split into 2 listings","Jacksonville","AL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Phoenix ","Found","(Men only – levis or leather – opens 10 p.m.)","2069 Phoenix Ave at 11th ","","Jacksonville","FL","(W)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Odyssey","General City Coordinates Used","(Some military) (Disco)
","So Pelham Rd.","","Jacksonville","AL","(M),(YC),(D)","Bars/Clubs",1980,NA,NA,NA,NA,NA
"Hemming Park","Found","","","","Jacksonville","FL","(AYOR),Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Jacksonville St. U. - Ayers Hall T-Room","Found","","","split into 2 listings","Jacksonville","AL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"M.C.C.","Found","","Laura & Union St.","","Jacksonville","FL","","Church",1980,NA,NA,NA,NA,NA
"Friendship Park","Found","","","","Jacksonville","FL","(AYOR),Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Ellwest Cinema","Found","(Flicks)","Clay & Adams St.","","Jacksonville","FL","","Theatre",1980,NA,NA,NA,NA,NA
"Jacksonville St. U. - Bibb Graves Hall ","Found","","","split into 2 listings","Jacksonville","AL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Jacksonville St. U. - Bibb Graves Hall","Found","","","split into 2 listings","Jacksonville","AL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"State Bar","General City Coordinates Used","","","","Clearwater","FL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Clearwater Public Beach","Found","(betw. the water towers)","","","Clearwater","FL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"State Bar","General City Coordinates Used","","","","Clearwater","FL","(M)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"State Bar","General City Coordinates Used","","","","Clearwater","FL","(M)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"State Bar","General City Coordinates Used","","","","Clearwater","FL","(M)","Bars/Clubs",1968,NA,NA,NA,NA,NA
"408 Club","Found","(Executive)","US 19 at Fla. 60","","Clearwater","FL","(P),(BYOB),(D)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Clearwater Public Beach ","Found","between the Water Towers only","","","Clearwater","FL","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"State Bar","General City Coordinates Used","","S. Garden Ave.","","Clearwater","FL","(M)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Clearwater Public Beach","Found","bet. the water towers","","","Clearwater","FL","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"State Bar","General City Coordinates Used","","S. Garden Ave.","","Clearwater","FL","(M)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"State Bar","General City Coordinates Used","","S. Garden Ave","","Clearwater","FL","(M)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Clearwater Public Beach - betw. the water towers","Found","","","","Clearwater","FL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Clearwater Public Beach – between the water towers","Found","","","","Clearwater","FL","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Clearwater Public Beach - between the Water Towers","Found","","","","Clearwater","FL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"The Boardwalk","Found","","","","Daytona Beach","FL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Der Keller","Found","(afternoons only)
","","coordinates for boardwalk generally.","Daytona Beach","FL","(YC)","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Beach in front of Boardwalk","Found","","","coordinates for boardwalk generally.","Daytona Beach","FL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Vagabond Hut","Found","North end of Boardwalk","","coordinates for boardwalk generally.","Daytona Beach","FL","(M)","Bars/Clubs",1968,NA,NA,NA,NA,NA
"Castle Club","Found","Inquire locally","","","Daytona Beach","FL","(D),(P)","Bars/Clubs",1968,NA,NA,NA,NA,NA
"Vagabond Hut","Found","","","coordinates for boardwalk generally.","Daytona Beach","FL","","Bars/Clubs",1966,NA,NA,NA,NA,NA
"Boardwalk & beach  in front ","Found","","","","Daytona Beach","FL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Der Keller","Found","(Beach Bar) (Days) ","On the Boardwalk ","","Daytona Beach","FL","(M)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Der Keller","Found","on the Boardwalk near Bandstand (afternoons only)","","","Daytona Beach","FL","(YC)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Mary’s","Found","on the boardwalk","","coordinates for boardwalk generally.","Daytona Beach","FL","","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Beach in front of the Boardwalk","Found","","","","Daytona Beach","FL","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"The Boardwalk","Found","","","","Daytona Beach","FL","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"The Boardwalk","Found","","","","Daytona Beach","FL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Beach in front of boardwalk","Found","","","","Daytona Beach","FL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Der Keller","Found","(afternoons only)","Onboard walk nr. bandstand","","Daytona Beach","FL","(YC)","Bars/Clubs",1976,NA,NA,NA,NA,NA
"Mary's","Found","On the Boardwalk","On boardwalk","","Daytona Beach","FL","(M),(YC)","Bars/Clubs",1976,NA,NA,NA,NA,NA
"Sea Mist Hotel ","Found","(Daytona Beach Stores) ","2657 S. Atlantic","","Daytona Beach","FL","(H)","Hotels",1977,NA,NA,NA,NA,NA
"Beach in front of Boardwalk ","Found","","","","Daytona Beach","FL","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"The Boardwalk","Found","","","","Daytona Beach","FL","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Der Keller ","Found","(Days only) ","On Boardwalk near Bandstand","","Daytona Beach","FL","(YC)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Beach in front of Boardwalk","Found","","","","Daytona Beach","FL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Der Keller","Found","(afternoons only","On Boardwalk near bandstand","","Daytona Beach","FL","(YC)","Bars/Clubs",1975,NA,NA,NA,NA,NA
"The Boardwalk","Found","","","","Daytona Beach","FL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Mary's ","Found","(afternoons only)","On the Boardwalk","","Daytona Beach","FL","","Bars/Clubs",1975,NA,NA,NA,NA,NA
"Der Keller ","Found","","","","Daytona Beach","FL","(M),(YC)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"The Boardwalk","Found","","","","Daytona Beach","FL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Adult Newsstand  ","Found","At Damien’s Yum Yum Tree (G-only*) ","711 No. Ridgewood","","Daytona Beach","FL","","Book Store",1978,NA,NA,NA,NA,NA
"Beach in front of Boardwalk","Found","","","","Daytona Beach","FL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Branch ","General City Coordinates Used","(S-WE) (Cruisy) (Showers too)","","","Daytona Beach","FL","","Bars/Clubs,Cruising Areas",1978,NA,NA,NA,NA,NA
"Der Keller","Found","(Beach bar) (Days)","On the Boardwalk","","Daytona Beach","FL","(M)","Bars/Clubs",1980,NA,NA,NA,NA,NA
"Boardwalk & Beach in front","Found","","","","Daytona Beach","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Dania 'B.A.' Beach","General City Coordinates Used","","","coordinates for Dania Beach","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Saloon","Found","(thru arcade)","","","Ft. Lauderdale","FL","(*)","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Stranahan Park","Found","","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Ruthie's Golden Garter","Found","","","","Ft. Lauderdale","FL","(D)","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Metropolitan Community Church","Found","(Church of Holy Spirit)","","","Ft. Lauderdale","FL","","Church",1974,NA,NA,NA,NA,NA
"Spanish River Park","Found","Boca Raton
","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Palace Club","General City Coordinates Used","(maybe opening soon) ","","","Ft. Lauderdale","FL","(P)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Golden Garter","Found","","","","Ft. Lauderdale","FL","(D),(G)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Everglades","General City Coordinates Used","","","","Ft. Lauderdale","FL","","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Copa ","Found","(Disco) (Liquor) (Open until 5 a.m.) ( 3 bars – The Pits in back- (Some W) & and Wiz Boutique nr. front door)","624 S.E. 28th St. at US 1","","Ft. Lauderdale","FL","(*),(YC),(D),(PT)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Spanish River Park ","Found","Boca Raton","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Beach & street opp. Marlin Beach Hotel ","Found","","","","Ft. Lauderdale","FL","Cruisy Area,(AYOR),(HOT)","Hotels,Bars/Clubs",1979,NA,NA,NA,NA,NA
"Grenell Arms ","Found","","2926 Cortez St. at Ocean ","","Ft. Lauderdale","FL","(H)","Hotels",1979,NA,NA,NA,NA,NA
"Stranahan Beach Park ","Found","","","","Ft. Lauderdale","FL","Cruisy Area,(AYOR)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Waynesart ","General City Coordinates Used","(Unique statues – see ad for brochure)","","","Ft. Lauderdale","FL","","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Stranaham Park ","Found","","","","Ft. Lauderdale","FL","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Spanish River Park ","Found","Boca Raton","","","Ft. Lauderdale","FL","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Dania Beach ","General City Coordinates Used","(bare ass)","","","Ft. Lauderdale","FL","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Golder Garter ","Found","","Coral Center at Oakland Pk. Blvd. at U.S. 1","","Ft. Lauderdale","FL","(G),(D)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Stranaham Park ","Found","","","","Ft. Lauderdale","FL","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Dania Beach","General City Coordinates Used","(bare ass)","","","Ft. Lauderdale","FL","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Ruthie’s Golden Garter","Found","","Coral Center, Oakland Pk. Blvd. at U.S. 1 ","","Ft. Lauderdale","FL","(D)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Spanish River Park","Found","","","","Ft. Lauderdale","FL","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Everglades","General City Coordinates Used","","U.S. Hwy 1","","Ft. Lauderdale","FL","(YC)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Beach  & Street opp. Marlin Beach Hotel","Found","","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Ruthie's Golden Garter","Found","","Coral Court- Oakland Pk. Blvd. at U.S. 1","","Ft. Lauderdale","FL","(D),(*)","Bars/Clubs",1976,NA,NA,NA,NA,NA
"Dania 'BA' Beach","General City Coordinates Used","","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Stranahan Park","Found","","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Spanish River Park - Boca Raton","Found","","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Spanish River Park – Boca Raton","Found","","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Stranahan Park ","Found","","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Beach & street opposite Marlin Beach Hotel ","Found","","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Ruthie's Golden Garter","Found","","Coral Court - Oakland Park Blvd. at U.S. 1","","Ft. Lauderdale","FL","(D),(*)","Bars/Clubs",1975,NA,NA,NA,NA,NA
"Dania 'BA' Beach","General City Coordinates Used","","","","Ft. Lauderdale","FL","(BA),Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Stranahan Park","Found","","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Spanish river park - Boca Raton","Found","","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Copa Cabaret ","Found","(Disco) (Liquor) ","624 S.E. 28th St. at US 1","","Ft. Lauderdale","FL","(YC),(D),(*)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"
  The Pitts
  ","Found","(used rear entrance - adjoins the Copa) ","US 1 & S. E. 28th St.  ","","Ft. Lauderdale","FL","(W),(PT),(*)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Beach & street  opp. Marln Beach Hotel    ","Found","","","","Ft. Lauderdale","FL","Cruisy Area,(HOT),(AYOR)","Cruising Areas",1978,NA,NA,NA,NA,NA
"
  Stranahan Park 
  ","Found","","","","Ft. Lauderdale","FL","Cruisy Area,(AYOR)","Cruising Areas",1978,NA,NA,NA,NA,NA
"
  Spanish River park 
  ","Found","","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Spanish River Park","Found","(Boca Raton)","","","Ft. Lauderdale","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Cosmopolitan","General City Coordinates Used","(Escort & Modeling Service) (305-463-0013)","","","Ft. Lauderdale","FL","","Business",1980,NA,NA,NA,NA,NA
"Beach & Street opposite Marlin Beach Hotel","Found","","","","Ft. Lauderdale","FL","Cruisy Area,(AYOR)","Cruising Areas",1980,NA,NA,NA,NA,NA
"Stranahan Beach Park","Found","","","","Ft. Lauderdale","FL","Cruisy Area,(AYOR)","Cruising Areas",1980,NA,NA,NA,NA,NA
"Waffle House","General City Coordinates Used","(after hours)","","","Ft. Myers","FL","(M),(C),(R)","Restaurant",1974,NA,NA,NA,NA,NA
"Bradford Hotel Bar","General City Coordinates Used","","","","Ft. Myers","FL","(M)","Bars/Clubs,Hotels",1974,NA,NA,NA,NA,NA
"Bradford Hotel Lounge","General City Coordinates Used","","","","Ft. Myers","FL","(M)","Hotels,Bars/Clubs",1971,NA,NA,NA,NA,NA
"Calypso Lounge","Found","","","","Ft. Myers","FL","(M)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Bradford Hotel Lounge ","General City Coordinates Used","","","","Ft. Myers","FL","(M)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Bradford Hotel Lounge","General City Coordinates Used","","","","Ft. Myers","FL","","Bars/Clubs,Hotels",1968,NA,NA,NA,NA,NA
"Bradford Hotel Lounge","General City Coordinates Used","","","","Ft. Myers","FL","(M)","Bars/Clubs,Hotels",1966,NA,NA,NA,NA,NA
"
  City Park
  ","Found","","","","Ft. Myers","FL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"
  Jud Park 
  ","Found","","","","Ft. Myers","FL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Bradford Hotel Lounge","General City Coordinates Used","","Main St. ","","Ft. Myers","FL","(M)","Hotels,Bars/Clubs",1972,NA,NA,NA,NA,NA
"Bradford Hotel Lounge","General City Coordinates Used","","Main St. ","","Ft. Myers","FL","(M)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Bradford Hotel Bar","General City Coordinates Used","","S. 1st St","","Ft. Myers","FL","(M)","Hotels,Bars/Clubs",1976,NA,NA,NA,NA,NA
"Red Lion","Found","","1514 Jackson","","Ft. Myers","FL","(D),(*)","Bars/Clubs",1975,NA,NA,NA,NA,NA
"Waffle House","General City Coordinates Used","","S. 1st at Hanson","","Ft. Myers","FL","(M),(C),(AH),(R)","Restaurant",1975,NA,NA,NA,NA,NA
"Bradford Hotel Bar","General City Coordinates Used","","S. 1st St.","","Ft. Myers","FL","(M)","Bars/Clubs,Hotels",1975,NA,NA,NA,NA,NA
"Bowman's 'B.A.' Beach -Sanibel Island","Found","","","","Ft. Myers","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"City Park","Found","","","","Ft. Myers","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Sunset Park","Found","","","Neighborhood. Google Coordinates for general area.","Ft. Myers","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Jud Park","Found","","","","Ft. Myers","FL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Palm Beach Mall","Found","","","","West Palm Beach","FL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Riviera Beach","Found","","","","West Palm Beach","FL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Air Force ‘B.A.’ Beach ","General City Coordinates Used","","","","West Palm Beach","FL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Citadel","Found","(Some G, B) (WE*)","59th & Broadway ","","West Palm Beach","FL","(YC),(D)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Cloud Lake Adult Book Store ","Found","","1320 Southern Bl.","","West Palm Beach","FL","","Book Store",1979,NA,NA,NA,NA,NA
"US 1, betw. 25th & 36th Sts. ","Found","","","Location pinpointed at approx. Halfway between 25th and 36th","West Palm Beach","FL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Palm Beach Mall","Found","","","","West Palm Beach","FL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Palm Beach Mall","Found","","","","West Palm Beach","FL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Riviera Beach","Found","","","","West Palm Beach","FL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
