"title","description","streetaddress","city","state","amenityfeatures","type","unclear_address","Year","notes","full.address","lon","lat","geoAddress","status"
"'Rest Stop'","(on I-20E in Minden)","","Shreveport","LA","Cruisy Area","Cruising Areas","checked",1985,"",", LA",-93.286835,32.615428,"unclear_coded_by_hand","General Coordinates Used"
"Union 76 Truck Plaza","","","Slidell","LA","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"Found Matchbox with Address on it: https://www.ebay.ca/itm/185398552395?hash=item2b2a9d674b:g:BdsAAOSwKqJhIALS",", LA",-89.751132,30.286028,"unclear_coded_by_hand","Found"
"'Rest Stop'","2 mi. N. on I-59S","","Slidell","LA","Cruisy Area","Cruising Areas","checked",1985,"",", LA",-89.781174,30.275195,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","(on I-95 at Sidney (southbound) & Augusta (northbound)- Also woods in back )","","Augusta","ME","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", ME",-69.77949,44.310624,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stops'","(on I-95 southbound at Herman & northbound at Carmel)","","Bangor","ME","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", ME",-68.771226,44.801613,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","(on US 1 betw. Bath & Brunswick)","","Brunswick","ME","Cruisy Area","Cruising Areas","checked",1985,"",", ME",-69.966996,43.914016,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","1 mi. S. on US 1- aka 'The Country Store'","","Caribou","ME","","Business","checked",1985,"Business??",", ME",-67.998036,46.864,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","(on Rt. 3)","","Liberty","ME","Cruisy Area","Cruising Areas","checked",1985,"",", ME",-69.302651,44.389369,"unclear_coded_by_hand","General Coordinates Used"
"Arrows","","Berwick Rd.","Ogunquit","ME","(M),(PE),(R)","Restaurant","checked",1985,"","Berwick Rd., ME",-70.621817,43.248343,"unclear_coded_by_hand","Found"
"Front Porch & Lounge","at Ogunquit Beach Rd.","Main St.","Ogunquit","ME","(R),(*)","Restaurant,Bars/Clubs","checked",1985,"","Main St., ME",-70.599825,43.248925,"unclear_coded_by_hand","Found"
"Ogunquit Beach","(Cl. 11pm)","","Ogunquit","ME","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", ME",-70.59172,43.25592,"unclear_coded_by_hand","Found"
"The Inn at Two Village Square","(207)646-5779","P.O. Box 864, Ogonquit 03907","Ogunquit","ME","(H),(*)","Hotel","checked",1985,"","P.O. Box 864, Ogonquit 03907, ME",-70.600812,43.248697,"unclear_coded_by_hand","Found"
"'Rest Stop'","(on I-95S & US 1S)","","Ogunquit","ME","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", ME",-70.598622,43.246835,"unclear_coded_by_hand","General Coordinates Used"
"Admiral Loft Guest House","(207)646-5496 (1/2 mi. N. on Main St.)","","Ogunquit","ME","(H)","Hotel","checked",1985,"",", ME",-70.598622,43.246835,"unclear_coded_by_hand","General Coordinates Used"
"Old Orchard Beach","(AYOR- Cops harrassing)","","Old Orchard Beach","ME","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", ME",-70.377291,43.517766,"unclear_coded_by_hand","Found"
"Eastland Hotel","downstairs T-Room","","Portland","ME","Cruisy Area","Cruising Areas,Hotel","checked",1985,"",", ME",-70.264009,43.654916,"unclear_coded_by_hand","Found"
"State Theatre II","","","Portland","ME","Cruisy Area","Cruising Areas,Theatre","checked",1985,"",", ME",-70.263684,43.653982,"unclear_coded_by_hand","Found"
"The Oaks","off Park Ave.","","Portland","ME","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", ME",-70.272969,43.656371,"unclear_coded_by_hand","Found"
"'Rest Stop'","(on Rt. 3)","","South China","ME","Cruisy Area","Cruising Areas","checked",1985,"",", ME",-69.570923,44.394979,"unclear_coded_by_hand","General Coordinates Used"
"Buccaneer Motel","","US Hwy. 1","Wells","ME","(M),(H)","Hotel","checked",1985,"","US Hwy. 1, ME",-70.580521,43.322233,"unclear_coded_by_hand","General Coordinates Used"
"Annapolis Gay People","(301)267-6238","","Annapolis","MD","","Organization","checked",1985,"",", MD",-76.492183,38.978445,"unclear_coded_by_hand","General Coordinates Used"
"Atlantis","(Go go boys) (nr. Centre St.)","615 Fallsway","Baltimore","MD","(D),(*)","Bars/Clubs","checked",1985,"","615 Fallsway, MD",-76.610097,39.297548,"unclear_coded_by_hand","Found"
"Dignity","(Church)","Mt. Royal & Lafayette","Baltimore","MD","","Religious Institution","checked",1985,"","Mt. Royal & Lafayette, MD",-76.621818,39.308557,"unclear_coded_by_hand","Found"
"Fayette News Center","(Books, etc.)","205 W. Fayette","Baltimore","MD","(M)","Book Store","checked",1985,"","205 W. Fayette, MD",-76.618233,39.29037,"unclear_coded_by_hand","Found"
"Harbor Place","","","Baltimore","MD","Cruisy Area","Cruising Areas","checked",1985,"Probably refers to the mall: https://www.harborplace.com/",", MD",-76.610966,39.286212,"unclear_coded_by_hand","Found"
"Hippopotamus","(Unisex)(Disco) (at Charles)","1 W. Eager","Baltimore","MD","(*),(YC),(D),(PT)","Bars/Clubs","checked",1985,"","1 W. Eager, MD",-76.616357,39.300842,"unclear_coded_by_hand","Found"
"M.C.C.","(Park Ave. at Wilson)","","Baltimore","MD","(MCC)","Religious Institution","checked",1985,"",", MD",-76.627035,39.309151,"unclear_coded_by_hand","Found"
"Open House","","29th & Howard","Baltimore","MD","(M),(R),(C),(AH)","Restaurant","checked",1985,"","29th & Howard, MD",-76.620074,39.323093,"unclear_coded_by_hand","Found"
"Patterson Park at Eastern Ave.","(Sure suicide)","","Baltimore","MD","Cruisy Area,(RT)","Cruising Areas","checked",1985,"",", MD",-76.579999,39.286191,"unclear_coded_by_hand","Found"
"Wyman Park","(nr. Baltimore Art Museum)","","Baltimore","MD","Cruisy Area,(RT),(AYOR)","Cruising Areas","checked",1985,"",", MD",-76.627553,39.33087,"unclear_coded_by_hand","Found"
"B&W Men Together","(301)669-1782","","Baltimore","MD","","Organization","checked",1985,"",", MD",-76.612189,39.290385,"unclear_coded_by_hand","General Coordinates Used"
"Drinkery","(Some OC) (at Park )","302 W. Read","Baltimore","MD","(OC)","Bars/Clubs","checked",1985,"","302 W. Read, MD",-76.612189,39.290385,"unclear_coded_by_hand","General Coordinates Used"
"Gay Switchboard","(7:30-11pm)(301)837-8888","","Baltimore","MD","","Hotline","checked",1985,"",", MD",-76.612189,39.290385,"unclear_coded_by_hand","General Coordinates Used"
"Jack's La Sauna Health Spa for Men","(301)467-6565","","Baltimore","MD","","Business","checked",1985,"",", MD",-76.612189,39.290385,"unclear_coded_by_hand","General Coordinates Used"
"Jewish Gays of Baltimore c/o Gay Community Center","(301)685-0736","","Baltimore","MD","","Religious Institution,Community Center/Support Groups","checked",1985,"",", MD",-76.612189,39.290385,"unclear_coded_by_hand","General Coordinates Used"
"Mt. Vernon Square","('Meat Rack')","","Baltimore","MD","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MD",-76.613833,39.299319,"unclear_coded_by_hand","General Coordinates Used"
"Park Ave. N. of Monument Square","","","Baltimore","MD","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MD",-76.612189,39.290385,"unclear_coded_by_hand","General Coordinates Used"
"The Gay Paper","(Publication)","P.O. Box 22575, Baltimore 21203","Baltimore","MD","","Publications","checked",1985,"","P.O. Box 22575, Baltimore 21203, MD",-76.612189,39.290385,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop' & woods","(Known locally as 'Ruth Ann's'- AYOR) (behind on I-95 Northbound)","","Burtonsville","MD","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MD",-76.932475,39.111219,"unclear_coded_by_hand","General Coordinates Used"
"Greenbelt Park","","","Cumberland","MD","Cruisy Area","Cruising Areas","checked",1985,"",", MD",-76.895521,38.995757,"unclear_coded_by_hand","Found"
"The Bistro","","N. Center St.","Cumberland","MD","(M)","Bars/Clubs","checked",1985,"","N. Center St., MD",-78.767249,39.656698,"unclear_coded_by_hand","Found"
"Deer Park Lodge","(Disco)(Some L) (5 mi. E. off I-70, exit 32) (South Mtn.)","","Hagerstown","MD","(D),(L),(R)","Restaurant","checked",1985,"",", MD",-77.615977,39.553701,"unclear_coded_by_hand","Found"
"Greyhound Bus Depot","","","Hagerstown","MD","Cruisy Area","Cruising Areas","checked",1985,"",", MD",-77.719993,39.641763,"unclear_coded_by_hand","General Coordinates Used"
"S. Potomac & Summit Sts.","","","Hagerstown","MD","Cruisy Area","Cruising Areas","checked",1985,"",", MD",-77.719993,39.641763,"unclear_coded_by_hand","General Coordinates Used"
"Gay People on Laurel","(301)776-6891","","Laurel","MD","","Organization","checked",1985,"",", MD",-76.848306,39.099275,"unclear_coded_by_hand","General Coordinates Used"
"B.J.'s on the Water","","75th & Bay","Ocean City","MD","(M)","Bars/Clubs","checked",1985,"","75th & Bay, MD",-75.064719,38.395557,"unclear_coded_by_hand","Found"
"White Flint Mall","","","Rockville","MD","Cruisy Area","Cruising Areas","checked",1985,"",", MD",-77.107365,39.041796,"unclear_coded_by_hand","Found"
"Salisbury City Park","","","Salisbury","MD","Cruisy Area","Cruising Areas","checked",1985,"",", MD",-75.583372,38.360076,"unclear_coded_by_hand","Found"
"Towson Books","","","Towson","MD","(M)","Book Store","checked",1985,"",", MD",-76.601912,39.401496,"unclear_coded_by_hand","General Coordinates Used"
"U. of Mass.","(Goodell downstairs T-Room)","","Amherst","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-72.529264,42.388671,"unclear_coded_by_hand","Found"
"'Rest Stop'","(on Rt. 125 nr. Jct. 28)","","Andover","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.136795,42.658336,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stops'","(AYOR- Many arrests) (on I-95 N. at Attleboro & S. at N. Attleboro)","","Attleboro","MA","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MA",-71.285608,41.944544,"unclear_coded_by_hand","Found"
"King's Men, Ltd.","(Erotica)","P.O. Box 554, Avon 02322","Avon","MA","","Erotic Shop","checked",1985,"","P.O. Box 554, Avon 02322, MA",-71.041158,42.130655,"unclear_coded_by_hand","General Coordinates Used"
"'L' St. Beach","","","Boston","MA","Cruisy Area,(OC)","Cruising Areas","checked",1985,"",", MA",-71.035301,42.328987,"unclear_coded_by_hand","Found"
"Back Bay Fens","","","Boston","MA","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MA",-71.094564,42.34348,"unclear_coded_by_hand","Found"
"Blue Hills","(Milton)","","Boston","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.067605,42.215952,"unclear_coded_by_hand","Found"
"Boston College","(Devlin Hall basement T-Room)","","Boston","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.169771,42.335222,"unclear_coded_by_hand","Found"
"Boston Eagle","(Some SM,W) (at Berkeley)","520 Tremont St.","Boston","MA","(SM),(W),(*)","Bars/Clubs","checked",1985,"","520 Tremont St., MA",-71.070076,42.344708,"unclear_coded_by_hand","Found"
"Boston U.","( School of Mgmt. T-Rooms)","","Boston","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.099644,42.349641,"unclear_coded_by_hand","Found"
"Chandler Inn","(Bed & breakfast) (at Berkeley)","26 Chandler","Boston","MA","(H),(*)","Hotel,Restaurant","checked",1985,"","26 Chandler, MA",-71.070646,42.346924,"unclear_coded_by_hand","Found"
"Chuck's Sub Shop","(Next to Sporters)","","Boston","MA","(M),(R),(AH)","Restaurant","checked",1985,"If the location was next to Sporters, then this is its whereabouts: https://ncph.org/history-at-work/make-queerness-relevant-again/",", MA",-71.125694,42.358118,"unclear_coded_by_hand","Found"
"Commonwealth & St. James","betw. Arlington & Berkeley","","Boston","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.155006,42.365759,"unclear_coded_by_hand","Found"
"Fritz","(Men's cruise bar) (Chandler Inn, Berkeley at Chandler)","","Boston","MA","(*)","Bars/Clubs,Cruising Areas","checked",1985,"Shows the address of where Fritz Lounge was: https://foursquare.com/v/fritz-lounge/3fd66200f964a52080ec1ee3",", MA",-71.070646,42.346924,"unclear_coded_by_hand","Found"
"Metropolitan Health Club","(Gym)(Both sexes) (at Berkeley)","Columbus Ave.","Boston","MA","","Gym","checked",1985,"","Columbus Ave., MA",-71.072321,42.348423,"unclear_coded_by_hand","Found"
"Nantasket Beach","(Very M)","","Boston","MA","Cruisy Area,(M)","Cruising Areas","checked",1985,"",", MA",-70.87449,42.291766,"unclear_coded_by_hand","Found"
"Revere Beach","","","Boston","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.985881,42.420226,"unclear_coded_by_hand","Found"
"Sporters","(Cruisy)(Small disco room)(Opp. Holiday Inn- no sign, open 4pm) (nr. Blossom St.)","228 Cambridge","Boston","MA","(*),(YC),(PT)","Bars/Clubs,Cruising Areas","checked",1985,"","228 Cambridge, MA",-71.066653,42.360979,"unclear_coded_by_hand","Found"
"State Theatre balcony","","","Boston","MA","Cruisy Area","Cruising Areas,Theatre","checked",1985,"",", MA",-71.06298,42.352575,"unclear_coded_by_hand","Found"
"Storrow Drive","(The Esplanade)","","Boston","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.078888,42.355619,"unclear_coded_by_hand","Found"
"Bay Windows","(Publication)","P.O. Box 2783, Boston 02208","Boston","MA","","Publications","checked",1985,"","P.O. Box 2783, Boston 02208, MA",-71.05888,42.360083,"unclear_coded_by_hand","General Coordinates Used"
"Gay Hotline","(617)426-9371","","Boston","MA","","Hotline","checked",1985,"",", MA",-71.05888,42.360083,"unclear_coded_by_hand","General Coordinates Used"
"New England Connection","(Publication)","P.O. Box 1210, Boston 02205","Boston","MA","","Publications","checked",1985,"","P.O. Box 1210, Boston 02205, MA",-71.05888,42.360083,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","(on Sandwich Rd. )","","Bourne","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.598932,41.741277,"unclear_coded_by_hand","General Coordinates Used"
"Harvard Square Theatre","","","Cambridge","MA","Cruisy Area","Cruising Areas,Theatre","checked",1985,"",", MA",-71.121526,42.373528,"unclear_coded_by_hand","Found"
"Harvard U.","( Lamont Library T-Rooms)","","Cambridge","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.115489,42.372753,"unclear_coded_by_hand","Found"
"Harvard U.","(Science Center basement T-Rooms)","","Cambridge","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.116918,42.376431,"unclear_coded_by_hand","Found"
"M.I.T.","(Library Room #4-266, T-rooms)","","Cambridge","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.089555,42.359089,"unclear_coded_by_hand","Found"
"Bird Sanctuary","nr. Mt. Auburn Hospital","","Cambridge","MA","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MA",-71.109733,42.373616,"unclear_coded_by_hand","General Coordinates Used"
"Marquis","","Central Square","Cambridge","MA","(L)","Bars/Clubs","checked",1985,"","Central Square, MA",-71.109733,42.373616,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","(on Rt. 6E betw. exits 8&9)","","Dennis","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.193943,41.735306,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","(on Rt. 3S)","","Duxbury","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.672277,42.041753,"unclear_coded_by_hand","General Coordinates Used"
"City Hall","(Downstairs) (T-Room)","","Fitchburg","MA","Cruisy Area,(*)","Cruising Areas","checked",1985,"",", MA",-71.801357,42.582242,"unclear_coded_by_hand","Found"
"Green River","(off Leyden Rd. past covered bridge)","","Greenfield","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-72.59941,42.587915,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","(on Rt. 6E betw. exits 9 & 10)","","Harwich","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.062223,41.67165,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stops'","(on I-495)","","Haverhill","MA","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MA",-71.07728,42.776202,"unclear_coded_by_hand","General Coordinates Used"
"Holyoke House","(basement T-Room)","","Holyoke","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-72.602703,42.204461,"unclear_coded_by_hand","Found"
"Holyoke Mall at Lakeside","","","Holyoke","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-72.602703,42.204461,"unclear_coded_by_hand","Found"
"Mountain Park","(Nights) (T-Room)","","Holyoke","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-72.631479,42.243702,"unclear_coded_by_hand","Found"
"'Rest Stop'","(Mass arrests) (on I-91S betw. Northampton & Holyoke)","","Holyoke","MA","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MA",-72.616201,42.204259,"unclear_coded_by_hand","General Coordinates Used"
"Mallory Dock","(Next to Duval Street)","","Hyannis","MA","(R)","Restaurant","checked",1985,"Address found here: https://www.gaybarmaps.com/bars/massachusetts/hyannis/mallory-dock",", MA",-70.270944,41.667324,"unclear_coded_by_hand","Found"
"Crane's Beach","(1/2 mi. to the right)","","Ipswich","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.756247,42.685461,"unclear_coded_by_hand","Found"
"The Common","(nr. Haverhill St.)","","Lawrence","MA","Cruisy Area","Cruising Areas","checked",1985,"Seems to be this park: https://www.cityoflawrence.com/facilities/facility/details/Campagnone-Common-2",", MA",-71.159983,42.70824,"unclear_coded_by_hand","Found"
"Sears Town Mall","(T-Room)","","Leominster","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.741193,42.529646,"unclear_coded_by_hand","Found"
"T-Room behind K Jewelers","","","Leominster","MA","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MA",-71.759794,42.525091,"unclear_coded_by_hand","General Coordinates Used"
"Moody St.","","","Lowell","MA","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MA",-71.3181,42.648632,"unclear_coded_by_hand","Found"
"'Rest Stops'","(on I-495 (nr. Chelmsford) & Rt. 3 (N. Chelmsford))","","Lowell","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.316172,42.633425,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","(S. on Rt. 3)","","Marshfield-Pembroke","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.744678,42.087995,"unclear_coded_by_hand","General Coordinates Used"
"Beachwalk","(Oak Bluffs) (betw. steamship dock & SeaView Bar)","","Martha's Vineyard","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.645473,41.380498,"unclear_coded_by_hand","General Coordinates Used"
"The Compound","(Reservations essential) (617)693-0648","P.O. Box 149, West Tisbury 02575","Martha's Vineyard","MA","(H),(*)","Hotel","checked",1985,"","P.O. Box 149, West Tisbury 02575, MA",-70.645473,41.380498,"unclear_coded_by_hand","General Coordinates Used"
"Titticut Follies Guest House","","P.O. Box 389, Oak Bluffs 02557","Martha's Vineyard","MA","(H)","Hotel","checked",1985,"","P.O. Box 389, Oak Bluffs 02557, MA",-70.645473,41.380498,"unclear_coded_by_hand","General Coordinates Used"
"Swimming hole at Milford Quarries opp. Rt. 495 exit","","","Milford","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.516305,42.139858,"unclear_coded_by_hand","General Coordinates Used"
"Blue Hills","(Wild!) (Wampatuck Rd.,Trails & parking lots)","","Milton","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.093998,42.214182,"unclear_coded_by_hand","Found"
"Club Car","(Best Late)","Lower Main St.","Nantucket","MA","(M)","Bars/Clubs","checked",1985,"","Lower Main St., MA",-70.099451,41.28347,"unclear_coded_by_hand","Found"
"Dunes west of Surfside","","","Nantucket","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.099451,41.28347,"unclear_coded_by_hand","General Coordinates Used"
"Lucy's","","N. Front at Coggeshall","New Bedford","MA","","Bars/Clubs","checked",1985,"","N. Front at Coggeshall, MA",-70.925352,41.656004,"unclear_coded_by_hand","Found"
"Main St. Mall","","","New Bedford","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.934205,41.636215,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","(on Hwy. 91)","","Northhampton","MA","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MA",-72.641201,42.32509,"unclear_coded_by_hand","General Coordinates Used"
"Berkshire Comm. College","(T-Room)","","Pittsfield","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-73.314339,42.457745,"unclear_coded_by_hand","Found"
"Berkshire Hilton Inn Lounge","(at West St.)","Berkshire Common","Pittsfield","MA","(M),(OC),(*)","Bars/Clubs","checked",1985,"","Berkshire Common, MA",-73.290513,42.453865,"unclear_coded_by_hand","Found"
"Durham Mall","(T-Room)","","Pittsfield","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-73.25312,42.449833,"unclear_coded_by_hand","Found"
"Eagle's Nest Lounge","(Holiday Inn)","Lenox Rd.","Pittsfield","MA","(M)","Bars/Clubs","checked",1985,"","Lenox Rd., MA",-73.290513,42.453865,"unclear_coded_by_hand","Found"
"Park Square","(Old Town Hall & church steps)","","Pittsfield","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-73.252944,42.448672,"unclear_coded_by_hand","Found"
"West River","(Rt. 9 nr. Carrington)","","Pittsfield","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-73.245382,42.450085,"unclear_coded_by_hand","General Coordinates Used"
"'BA' beach","at N. Truro","","Provincetown","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.111248,42.064946,"unclear_coded_by_hand","Found"
"Angel's Landing Guest House","(Some L)","Commercial St.","Provincetown","MA","(H),(L)","Hotel","checked",1985,"","Commercial St., MA",-70.18412,42.053013,"unclear_coded_by_hand","Found"
"Atlantic House Hotel","(Disco)(2 adj. cruise bars- Some W&SM upstairs) (Masonic, an alley off 216 Commercial St.)","Masonic","Provincetown","MA","(*),(YC),(D),(W),(SM)","Bars/Clubs,Hotel","checked",1985,"","Masonic, MA",-70.188507,42.049893,"unclear_coded_by_hand","Found"
"Back Street Bar","(Disco) (Gifford House) (at Carver)","Bradford","Provincetown","MA","(R),(D),(*)","Restaurant,Bars/Clubs","checked",1985,"","Bradford, MA",-70.190297,42.049547,"unclear_coded_by_hand","Found"
"Beach & bushes behind 'Boatslip' & vicinty","(AYOR- Sure suicide, dozens of arrests)","","Provincetown","MA","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MA",-70.190006,42.046798,"unclear_coded_by_hand","Found"
"Captain's House","","305-A Commercial St.","Provincetown","MA","","Bars/Clubs","checked",1985,"","305-A Commercial St., MA",-70.184534,42.053071,"unclear_coded_by_hand","Found"
"Commercial St.","(Natch!)","","Provincetown","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.178642,42.058441,"unclear_coded_by_hand","Found"
"George's Inn","","9 Court St.","Provincetown","MA","(H),(*)","Hotel","checked",1985,"","9 Court St., MA",-70.190133,42.048898,"unclear_coded_by_hand","Found"
"Herring Cove Beach","","","Provincetown","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.220304,42.047881,"unclear_coded_by_hand","Found"
"Moors Motel","","Bradford St. Ext.","Provincetown","MA","(M),(H),(R)","Hotel,Restaurant","checked",1985,"","Bradford St. Ext., MA",-70.198441,42.038446,"unclear_coded_by_hand","Found"
"Plain & Fancy","(Downstairs)","Commercial St.","Provincetown","MA","(R),(M),(*)","Restaurant","checked",1985,"","Commercial St., MA",-70.188871,42.048664,"unclear_coded_by_hand","Found"
"Provincetwon Inn","1 mi. W. on Commercial","","Provincetown","MA","(M),(H)","Hotel","checked",1985,"",", MA",-70.195854,42.037252,"unclear_coded_by_hand","Found"
"Town Hall Sqaure","(Late nights)","","Provincetown","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.187581,42.051254,"unclear_coded_by_hand","Found"
"Vorelli's","","Commercial St.","Provincetown","MA","(M),(R)","Restaurant","checked",1985,"","Commercial St., MA",-70.188464,42.049977,"unclear_coded_by_hand","Found"
"Weathering Heights","(Bar & R)","Shank Painter Rd.","Provincetown","MA","(R)","Bars/Clubs,Restaurant","checked",1985,"Address found here: https://buildingprovincetown.wordpress.com/2010/01/02/68-shank-painter-road-1/","Shank Painter Rd., MA",-70.195766,42.051232,"unclear_coded_by_hand","Found"
"White Dory Guest House","","Commercial St.","Provincetown","MA","(L)","Hotel","checked",1985,"","Commercial St., MA",-70.168604,42.060574,"unclear_coded_by_hand","Found"
"Dunes Motel & Apts","(P.O. Box 361)","Bradford St. W.","Provincetown","MA","(H)","Hotel","checked",1985,"","Bradford St. W., MA",-70.178642,42.058441,"unclear_coded_by_hand","General Coordinates Used"
"East End Beach & bushes behind the Bull Pen","","","Provincetown","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.178642,42.058441,"unclear_coded_by_hand","General Coordinates Used"
"Peaked Hill Inn","","Box 1035","Provincetown","MA","(M),(H)","Hotel","checked",1985,"","Box 1035, MA",-70.184601,42.054714,"unclear_coded_by_hand","General Coordinates Used"
"Town Beach","(E. & W. ends late at night )","","Provincetown","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-70.178642,42.058441,"unclear_coded_by_hand","General Coordinates Used"
"W. side of Sandy Nook Beach","","","Sandwich","MA","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MA",-70.493932,41.758962,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","(on Rt. I-95 E. & W.)","","Seekonk","MA","Cruisy Area,(AYOR)","Cruising Areas","checked",1985,"",", MA",-71.336997,41.808434,"unclear_coded_by_hand","General Coordinates Used"
"Area around the Post Office","","","Springfield","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-72.592921,42.103738,"unclear_coded_by_hand","Found"
"Bay State West","(Mezzanine T-Room)","","Springfield","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-72.590914,42.101942,"unclear_coded_by_hand","Found"
"Forest Park","(King Phillip Stockade & picnic area nr. Rec. Dept. Hdq. Bldg.)","","Springfield","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-72.584116,42.072369,"unclear_coded_by_hand","Found"
"Pub","(Cocktail hr. 5-8pm)(Tue. night pizza) (betw. Taylor & Worthington)","382 Dwight St.","Springfield","MA","(*),(D),(OC),(S)","Bars/Clubs","checked",1985,"","382 Dwight St., MA",-72.591385,42.105398,"unclear_coded_by_hand","Found"
"Springfield Bus Terminal","","","Springfield","MA","Cruisy Area,(AH)","Cruising Areas","checked",1985,"",", MA",-72.593763,42.106419,"unclear_coded_by_hand","Found"
"Downtown Mall","T-Room","","Springfield","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-72.589811,42.101483,"unclear_coded_by_hand","General Coordinates Used"
"Liberty St.","","","Springfield","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-72.589811,42.101483,"unclear_coded_by_hand","General Coordinates Used"
"Red Lion Inn","(Downstairs)","Rt. 7","Stockbridge","MA","(M)","Bars/Clubs","checked",1985,"","Rt. 7, MA",-73.312008,42.281582,"unclear_coded_by_hand","Found"
"Spot Pond Rt. 28 turnoff","","","Stoneham","MA","Cruisy Area","Cruising Areas","checked",1985,"",", MA",-71.095831,42.457241,"unclear_coded_by_hand","Found"
