"title","description","streetaddress","city","state","amenityfeatures","unclear_address","Year","type","notes","full.address","lon","lat","geoAddress"
"Wesley United Methodist Church","224-1947 8:30am & 11am Sun, reconciling congregation","1343 E Barstow Ave","Fresno","CA","",NA,1998,"Spiritual Groups","","1343 E Barstow Ave, Fresno, CA",-119.7637006,36.8154067,"1343 e barstow ave, fresno, ca 93710, usa"
"Out West B&B","864-2700 nr. world's largest natural hot spring, gift shop, gay-owned","1344 Broadway","Thermopolis","WY","(GF),(NS)",NA,1998,"Accommodations","","1344 Broadway, Thermopolis, WY",-108.2253975,43.6467408,"1344 broadway st, thermopolis, wy 82443, usa"
"Ziegfield's","554-5141 8pm-3am Th-Sun; also 'Secrets' strip bar (enter on 'O' St. SE)","1345 Half St SE","Washington","DC","(MW),(D),(A),(E),(WC)",NA,1998,"Bars & Nightclubs","","1345 Half St SE, Washington, DC",-77.0074599,38.8742408,"1345 half st se, washington, dc 20003, usa"
"Powerhouse","Noon-2am, clsd Mon-Tue, 552-8689","1347 Folsom St","San Francisco","CA","(M),(NH),(L)",NA,1998,"Bars & Nightclubs","Listed under ""S.F.-South of Market""","1347 Folsom St, San Francisco, CA",-122.412193,37.773088,"1347 folsom st, san francisco, ca 94103, usa"
"Blaze Travel","628-0555","1349 E Broadway","Long Beach","CA","(TA)",NA,1998,"Travel Agents","","1349 E Broadway, Long Beach, CA",-118.1740649,33.7682444,"1349 e broadway, long beach, ca 90802, usa"
"Bijou Theatre","943-5397 24hrs","1349 N Wells St","Chicago","IL","",NA,1998,"Erotica","Listed under ""Chicago - Near North""","1349 N Wells St, Chicago, IL",-87.6342733,41.9071744,"1349 n wells st, chicago, il 60610, usa"
"Villa Appia","Condado 725-8711 Italian","1350 Ashford Ave","Condado","PR","(*),(NS)",NA,1998,"Restaurants","Listed under ""San Juan, PR""","1350 Ashford Ave, Condado, PR",-66.068976,18.4549375,"1350 ashford ave, san juan, 00907, puerto rico"
"Barbara's Bookstore","(312) 642-5044 9am-10pm, 10am-9pm Sun, women's/lesbigay; other locations: 700 E. Grand Ave., 222-0897 & Oak Park, (708) 848-9140","1350 N Wells St","Chicago","IL","(WC)",NA,1998,"Bookstores & Retail Shops","Listed under ""Chicago-Overview""","1350 N Wells St, Chicago, IL",-87.6350708,41.9070914,"1350 n wells st, chicago, il 60610, usa"
"Hayat's Magazines & Gifts","486-9925","1350 S State St","Salt Lake City","UT","(*),(NS)",NA,1998,"Erotica","","1350 S State St, Salt Lake City, UT",-111.8885817,40.7403753,"1350 s state st, salt lake city, ut 84115, usa"
"Cafe Matisse","Condado  723-7910","1351 Ashford Ave","Condado","PR","(*),(E)",NA,1998,"Cafes","Listed under ""San Juan, PR""","1351 Ashford Ave, Condado, PR",-66.0688762,18.4552618,"1351 ashford ave, san juan, 00907, puerto rico"
"Sushi Rock Cafe","532-2133 full bar","1351 Collins Ave","Miami Beach","FL","",NA,1998,"Restaurants","Listed under ""Miami Beach/South Beach""","1351 Collins Ave, Miami Beach, FL",-80.1306894,25.7849853,"1351 collins ave, miami beach, fl 33139, usa"
"Kimo's","Birthplace of the rainbow flag, great drag shows Fri-Sat. 885-4535, 8am-2am","1351 Polk St","San Francisco","CA","(M),(NH),(S)",NA,1998,"Bars & Nightclubs","Listed under ""S.F.-Polk Street Area""","1351 Polk St, San Francisco, CA",-122.4206305,37.7895017,"1351 polk st, san francisco, ca 94109, usa"
"Lone Star","Noon-2am, patio, bear bar, 863-9999","1354 Harrison St","San Francisco","CA","(M),(L)",NA,1998,"Bars & Nightclubs","Listed under ""S.F.-South of Market""","1354 Harrison St, San Francisco, CA",-122.410901,37.7721717,"1354 harrison st, san francisco, ca 94103, usa"
"Cini-Mini I","454-2444","1358 Plainfield NE","Grand Rapids","MI","",NA,1998,"Erotica","","1358 Plainfield NE, Grand Rapids, MI",-85.6650868,42.9879161,"1358 plainfield ave ne, grand rapids, mi 49505, usa"
"FTM International","#200, 94103 553-5987 info & support for female-to-male transgendered people, newsletter & resource guide","1360 Mission St","San Francisco","CA","",NA,1998,"Info Lines & Services","Listed under ""S.F.-Overview""","1360 Mission St, San Francisco, CA",-122.4155529,37.7758598,"1360 mission st, san francisco, ca 94103, usa"
"Cafe Zev","Minneapolis 874-8477 7am-1am","1362 La Salle Ave","Minneapolis","MN","(E)",NA,1998,"Cafes","Listed under ""Minneapolis/St Paul, MN""","1362 La Salle Ave, Minneapolis, MN",-93.2797456,44.9692908,"1362 la salle ave, minneapolis, mn 55403, usa"
"The Blom House B&B","467-0809/(800) 797-2566","1372 Minden Dr","San Diego","CA","(NS),(GF)",NA,1998,"Accommodations","","1372 Minden Dr, San Diego, CA",-117.1627584,32.772481,"1372 minden dr, san diego, ca 92111, usa"
"Sunshine Lounge","272-9843 7am-midnight, til 3am Fri-Sat, beer & set-ups only","1379 Lamar","Memphis","TN","(GF),(NH),(WC)",NA,1998,"Bars & Nightclubs","","1379 Lamar, Memphis, TN",-90.0160225,35.12552,"1379 lamar ave, memphis, tn 38104, usa"
"First MCC of Atlanta","325-4143, 9am, 11am and 7:30pm Sun, 7:30pm Wed","1379 Tullie Rd NE","Atlanta","GA","(WC)",NA,1998,"Spiritual Groups","","1379 Tullie Rd NE, Atlanta, GA",-84.3320558,33.8305314,"1379 tullie rd ne, atlanta, ga 30329, usa"
"B.J.'s Carousel","777-9880 noon-2am","1380 S Broadway","Denver","CO","(*),(M),(NH),(S),(WC)",NA,1998,"Bars & Nightclubs","","1380 S Broadway, Denver, CO",-104.9871082,39.6914568,"1380 s broadway, denver, co 80210, usa"
"Pipeline","726-5263 2pm-3am, beer & set-ups only, courtyard","1382 Poplar","Memphis","TN","(M),(L),(WC)",NA,1998,"Bars & Nightclubs","","1382 Poplar, Memphis, TN",-90.0143183,35.1440877,"1382 poplar ave, memphis, tn 38104, usa"
"Easy Going","843-3533 10am-7pm, til 6pm Sat, noon-6pm Sun, travel books & accessories; also 1617 Locust, Walnut Creek, 947-6660","1385 Shattuck","Berkeley","CA","",NA,1998,"Bookstores & Retail Shops","Listed under ""East Bay""","1385 Shattuck, Berkeley, CA",-122.2691549,37.8822454,"1385 shattuck ave., berkeley, ca 94709, usa"
"The White Swan Guesthouse","Mt Vernon  4445-6805 farmhouse B&B; also cabin","1388 Moore Rd","Mt Vernon","WA","(GF),(NS)",NA,1998,"Accommodations","Listed under ""La Conner, WA""","1388 Moore Rd, Mt Vernon, WA",-122.3951308,48.3687817,"moore rd, washington 98273, usa"
"My Boyfriend's Closet","563-5999, opens 11am, clsd Mon","1390 Larkin St","San Francisco","CA","",NA,1998,"Bookstores & Retail Shops","Listed under ""S.F.-Polk Street Area""","1390 Larkin St, San Francisco, CA",-122.4188954,37.7905741,"1390 larkin st, san francisco, ca 94109, usa"
"La Riga","552-1525 11am-7pm, leather","1391 Haight St","San Francisco","CA","",NA,1998,"Bookstores & Retail Shops","Listed under ""S.F.-Haight, Fillmore & West""","1391 Haight St, San Francisco, CA",-122.4449766,37.7701381,"1391 haight st, san francisco, ca 94117, usa"
"Magnolia's","637-9052, noon-4am","1398 S 2nd St","Louisville","KY","(GF),(YC)",NA,1998,"Bars & Nightclubs","","1398 S 2nd St, Louisville, KY",-85.7582734,38.2288939,"1398 s 2nd st, louisville, ky 40208, usa"
"Phone Booth","648-4683, 10am-2am, downscale piano bar wknds","1398 S Van Ness Ave","San Francisco","CA","(MW),(OC),(NH)",NA,1998,"Bars & Nightclubs","Listed under ""S.F.-Mission District""","1398 S Van Ness Ave, San Francisco, CA",-122.4163974,37.7508634,"1398 s van ness ave, san francisco, ca 94110, usa"
"Chloe's Cafe","Noe Valley 648-4116 8am-3:30pm, til 4pm wknds, come early for the excellent weekend brunch","1399 Church St","Noe Valley","CA","(*)",NA,1998,"Restaurants","Listed under ""S.F.-Castro & Noe Valley""","1399 Church St, Noe Valley, CA",-122.4269718,37.7486499,"1399 church st, san francisco, ca 94131, usa"
"Worldwide Vacations","#216 630-0242/(800) 841-8222","1400 E Oakland Park Blvd","Fort Lauderdale","FL","(TA)",NA,1998,"Travel Agents","","1400 E Oakland Park Blvd, Fort Lauderdale, FL",-80.1417594,26.166189,"1400 e oakland park blvd, fort lauderdale, fl 33334, usa"
"The Winterhaven","531-5571/(800) 395-2322 classic Deco architecture","1400 Ocean Dr","Miami Beach","FL","(GF),(F),(TA)",NA,1998,"Accommodations","Listed under ""Miami Beach/South Beach""","1400 Ocean Dr, Miami Beach, FL",-80.129993,25.7853424,"1400 ocean dr, miami beach, fl 33139, usa"
"California Rivera 800","#104 (800) 621-0500 extensive reservation & accommodation services","1400 S Coast Hwy","Laguna Beach","CA","(TA)",NA,1998,"Accommodations","","1400 S Coast Hwy, Laguna Beach, CA",-117.7743293,33.5317662,"1400 s coast hwy, laguna beach, ca 92651, usa"
"Wild Ginger Asian Restaurant & Satay Bar","623-4450 5pm-midnight","1400 Western Ave","Seattle","WA","(*),(NS)",NA,1998,"Restaurants","","1400 Western Ave, Seattle, WA",-122.3402159,47.6075922,"1400 western ave, seattle, wa 98101, usa"
"The Triangle","242-8131 8am-3am, from noon Sun","1401 4th Ave S","Nashville","TN","(MW),(NH),(F),(WC)",NA,1998,"Bars & Nightclubs","","1401 4th Ave S, Nashville, TN",-86.76354,36.1399265,"1401 4th ave s, nashville, tn 37210, usa"
"Twin Maples","393-1832/(888) 835-5738 patio","1401 Madison St","Denver","CO","(GF)",NA,1998,"Accommodations","","1401 Madison St, Denver, CO",-104.9464061,39.7385627,"1401 madison st, denver, co 80206, usa"
"The Coast Inn","494-7588/(800) 653-2697 oceanside accommodations w/ 2 bars & restaurant","1401 S Coast Hwy","Laguna Beach","CA","(MW),(SW)",NA,1998,"Accommodations","","1401 S Coast Hwy, Laguna Beach, CA",-117.7749439,33.5315726,"1401 s coast hwy, laguna beach, ca 92651, usa"
"Boom Boom Room","(at the Coast Inn) 10am-2am","1401 S Coast Hwy","Laguna Beach","CA","(*),(MW),(D),(E),(S),(V),(YC),(WC)",NA,1998,"Bars & Nightclubs","","1401 S Coast Hwy, Laguna Beach, CA",-117.7749439,33.5315726,"1401 s coast hwy, laguna beach, ca 92651, usa"
"Pegasus","299-4222 2pm-2am","1402 N Main","San Antonio","TX","(M),(E)",NA,1998,"Bars & Nightclubs","","1402 N Main, San Antonio, TX",-98.4938682,29.44208,"1402 n main ave, san antonio, tx 78212, usa"
"Snick's Place","385-9298 24hrs","1402 S 3rd St","Las Vegas","NV","(M),(NH),(WC)",NA,1998,"Bars & Nightclubs","","1402 S 3rd St, Las Vegas, NV",-115.1514666,36.1545348,"1402 s 3rd st, las vegas, nv 89104, usa"
"Eagle","396-8551 9am-2am, patio","1402-6 San Marco Blvd","Jacksonville","FL","(M),(L),(F),(WC)",NA,1998,"Bars & Nightclubs","","1402-6 San Marco Blvd, Jacksonville, FL",-81.6607817,30.3119785,"1402 san marco blvd, jacksonville, fl 32207, usa"
"Airline Bookstore","Kenner 468-2931 24hrs","1404 26th St","Kenner","LA","",NA,1998,"Erotica","Listed under ""New Orleans, LA""","1404 26th St, Kenner, LA",-90.2487,30.0032758,"1404 26th st, kenner, la 70062, usa"
"South Beach Seafood & Raw Bar","294-2727 7am-10pm, full bar","1405 Duval St","Key West","FL","",NA,1998,"Restaurants","","1405 Duval St, Key West, FL",-81.7958007,24.5470479,"1405 duval st, key west, fl 33040, usa"
"Tangerine","621-7335 lounge & restaurant","1405 Washington Ave","St. Louis","MO","(GF),(D)",NA,1998,"Bars & Nightclubs","","1405 Washington Ave, St. Louis, MO",-90.1998082,38.6326914,"1405 washington ave, st. louis, mo 63103, usa"
"Exotic Travel","930-0911/(800) 414-7015 7am-7pm, clsd Sun","1406 17th St S","Birmingham","AL","(TA)",NA,1998,"Travel Agents","","1406 17th St S, Birmingham, AL",-86.7992801,33.494805,"1406 17th st s, birmingham, al 35205, usa"
"An Elegant Victorian Mansion","444-3144 full brkfst","1406 C St","Eureka","CA","(GF),(NS)",NA,1998,"Accommodations","","1406 C St, Eureka, CA",-124.1689428,40.7938874,"1406 c st, eureka, ca 95501, usa"
"Ivanhoe Inn","963-8832/(800) 428-1787 kitchens, private/shared baths","1406 Castillo St","Santa Barbara","CA","(GF),(NS)",NA,1998,"Accommodations","","1406 Castillo St, Santa Barbara, CA",-119.7115566,34.4213343,"1406 castillo st, santa barbara, ca 93101, usa"
"MCC","322-4100 11am Sun & 7pm Wed","1407 26th St","Wichita Falls","TX","(*),(NS)",NA,1998,"Spiritual Groups","","1407 26th St, Wichita Falls, TX",-98.4924572,33.8879925,"1407 26th st, wichita falls, tx 76301, usa"
"Midnight Videos","299-7186 24hrs","1407 University Ave","San Diego","CA","",NA,1998,"Erotica","","1407 University Ave, San Diego, CA",-117.1509009,32.7482094,"1407 university ave, san diego, ca 92103, usa"
"Pink Fairy Travel","#6-A 332-5545/(800) 243-3477","1409 East Blvd","Charlotte","NC","(TA)",NA,1998,"Travel Agents","","1409 East Blvd, Charlotte, NC",-80.8428821,35.2011901,"key man bldg, 1409 east blvd, charlotte, nc 28203, usa"
"Remo's","443-4224 10am-2:30am, clsd Sun","1409 S HIgh St","Columbus","OH","(MW),(NH),(F),(WC)",NA,1998,"Bars & Nightclubs","","1409 S HIgh St, Columbus, OH",-82.996209,39.9331755,"1409 s high st, columbus, oh 43207, usa"
"Giovanni’s Pizza & Italian Restaurant","212-6626 10am-7pm, clsd Sun","1410 Guadalupe","San Antonio","TX","(*),(NS)",NA,1998,"Restaurants","","1410 Guadalupe, San Antonio, TX",-98.5155082,29.418269,"1410 guadalupe st, san antonio, tx 78207, usa"
"321 News & Video","866-0075","1410 N Chester St","Gastonia","NC","",NA,1998,"Erotica","","1410 N Chester St, Gastonia, NC",-81.1874517,35.2786831,"1410 n chester st, gastonia, nc 28052, usa"
"It's Your World Travel","328-0616/(800) 955-6077","1411 E Olive Wy","Seattle","WA","(TA)",NA,1998,"Travel Agents","","1411 E Olive Wy, Seattle, WA",-122.3263489,47.6172918,"1411 e olive wy, seattle, wa 98122, usa"
"The Travel Partnership","526-4471","1411-A Bonnie Brae","Houston","TX","(TA)",NA,1998,"Travel Agents","","1411-A Bonnie Brae, Houston, TX",-95.3972754,29.7332398,"1411 bonnie brae st # a, houston, tx 77006, usa"
"Fourteen Twelve Thalia - A B&B","522-0453 1-bdrm apt in the Lower Garden District, patio","1412 Thalia","New Orleans","LA","(GF)",NA,1998,"Accommodations","","1412 Thalia, New Orleans, LA",-90.073343,29.9387758,"1412 thalia st, new orleans, la 70130, usa"
"Sea Wolf","323-2158 2pm-2am","1413 14th Ave","Seattle","WA","(M),(NH),(BW),(WC)",NA,1998,"Bars & Nightclubs","","1413 14th Ave, Seattle, WA",-122.3144323,47.6133397,"1413 14th ave, seattle, wa 98122, usa"
"Crescent Tavern","720-8188 2pm-2am, piano bar Sun","1413 E Olive Wy","Seattle","WA","(M),(NH),(WC)",NA,1998,"Bars & Nightclubs","","1413 E Olive Wy, Seattle, WA",-122.3263006,47.6174305,"1413 e olive wy, seattle, wa 98122, usa"
"Diversions","Neenah  725-3374 7pm-2am, from 3pm Sun, clsd Mon","1413 Green Valley","Neenah","WI","(MW),(D),(E)",NA,1998,"Bars & Nightclubs","Listed under ""Appleton, WI""","1413 Green Valley, Neenah, WI",-88.4990526,44.1281896,"1413 green valley rd, neenah, wi 54956, usa"
"Newton Street Station","294-4288/(800) 248-2457","1414 Newton St","Key West","FL","(MO),(SW),(N),(TA)",NA,1998,"Accommodations","","1414 Newton St, Key West, FL",-81.7904508,24.5597896,"formerly ellie’s nest women’s guest house, 1414 newton st, key west, fl 33040, usa"
"Lattice Inn B&B","832-9931 full brkfst, hot tub","1414 S Hull St","Montgomery","AL","(GF),(SW)",NA,1998,"Accommodations","","1414 S Hull St, Montgomery, AL",-86.3032493,32.3601037,"1414 s hull st, montgomery, al 36104, usa"
"14th St. Gym","363-2023 6pm-4am","1414 W 200 S","Salt Lake City","UT","(MO)",NA,1998,"Men's Clubs","","1414 W 200 S, Salt Lake City, UT",-111.9314219,40.7659068,"1414 w 200 s, salt lake city, ut 84104, usa"
"Badlands","9pm-2am, til 5am Fri-Sat, clsd Mon & Wed; also 'Annex' upstiars","1415 22nd St NW","Washington","DC","(M),(D),(V),(YC),(WC)",NA,1998,"Bars & Nightclubs","","1415 22nd St NW, Washington, DC",-77.0485758,38.9090941,"1415 22nd st nw, washington, dc 20037, usa"
"Villa Paradiso Guesthouse","532-0616 studios","1415 Collins Ave","Miami Beach","FL","(GF)",NA,1998,"Accommodations","Listed under ""Miami Beach/South Beach""","1415 Collins Ave, Miami Beach, FL",-80.1304399,25.7858135,"1415 collins ave, miami beach, fl 33139, usa"
"Backdoor","385-2018 24hrs","1415 E Charleston","Las Vegas","NV","(MW),(NH),(D),(WC)",NA,1998,"Bars & Nightclubs","","1415 E Charleston, Las Vegas, NV",-115.1332846,36.159256,"1415 e charleston blvd, las vegas, nv 89104, usa"
"Stanford Inn B&B","724-3044 full brkfst","1415 E Superior St","Duluth","MN","(GF)",NA,1998,"Accommodations","","1415 E Superior St, Duluth, MN",-92.0804967,46.8009514,"1415 e superior st, duluth, mn 55805, usa"
"Club Uneque 1","732-6047 9pm-2:30am Sun only","1415 Locust St","Philadelphia","PA","(M),(D),(MR-AF)",NA,1998,"Bars & Nightclubs","","1415 Locust St, Philadelphia, PA",-75.1658005,39.9484718,"1415 locust st, philadelphia, pa 19102, usa"
"The Georgian","Santa Monica 395-9945/(800) 538-8147","1415 Ocean Ave","Santa Monica","CA","(GF),(F),(WC)",NA,1998,"Accommodations","Listed under ""L.A-West L.A. & Santa Monica""","1415 Ocean Ave, Santa Monica, CA",-118.4972395,34.0138477,"1415 ocean ave, santa monica, ca 90401, usa"
"Town House","St Paul 646-7087 2pm-1am, from noon wknds","1415 University Ave","St. Paul","MN","(*),(MW),(D),(CW),(K)",NA,1998,"Bars & Nightclubs","Listed under ""Minneapolis/St Paul, MN""","1415 University Ave, St. Paul, MN",-93.1600555,44.9560147,"1415 university ave w, st paul, mn 55104, usa"
"The Max","","1417 Jackson","Omaha","NE","(MW),(D),(S),(V),(WC)",NA,1998,"Bars & Nightclubs","","1417 Jackson, Omaha, NE",-95.935441,41.2541892,"1417 jackson st, omaha, ne 68102, usa"
"Jewelry by Poncé","494-1399/(800)969-RING 11am-7pm Wed-Sun, by appt. Mon-Tue, lesbigay commitment rings & other jewelry","1417 S Coast Hwy","Laguna Beach","CA","",NA,1998,"Bookstores & Retail Shops","","1417 S Coast Hwy, Laguna Beach, CA",-117.7748436,33.531417,"1417 s coast hwy, laguna beach, ca 92651, usa"
"Silver Dollar Saloon","227-2623 2pm-2am, 2-story patio bar. 'Trash Disco' Sun","1418 N Main Ave","San Antonio","TX","(M),(D),(CW),(V)",NA,1998,"Bars & Nightclubs","","1418 N Main Ave, San Antonio, TX",-98.4939005,29.4424292,"1418 n main ave, san antonio, tx 78212, usa"
"Penguin Hotel & Bar","534-9334/(800) 235-3296","1418 Ocean Dr","Miami Beach","FL","(MW),(F)",NA,1998,"Accommodations","Listed under ""Miami Beach/South Beach""","1418 Ocean Dr, Miami Beach, FL",-80.1298663,25.7858594,"1418 ocean dr, miami beach, fl 33139, usa"
"Cleveland Lesbian/Gay Community Center","522-1999 noon-7pm, til 5pm Tue, clsd wknds","1418 W 29th St","Cleveland","OH","(WC)",NA,1998,"Info Lines & Services","","1418 W 29th St, Cleveland, OH",-81.7110188,41.4894773,"1418 w 29th st, cleveland, oh 44113, usa"
"Hidden Valley Farm B&B","329-8084 hot tub, 30 min. N. of Baltimore","1419 Mt Carmel Rd","Parkton","MD","(MW)",NA,1998,"Accommodations","","1419 Mt Carmel Rd, Parkton, MD",-76.698946,39.585723,"1419 mt carmel rd, parkton, md 21120, usa"
"Jo's Outpost","520-8446 11am-2am","1419 Richmond","Houston","TX","(M),(NH)",NA,1998,"Bars & Nightclubs","","1419 Richmond, Houston, TX",-95.3982499,29.7340576,"1419 richmond ave., houston, tx 77006, usa"
"Dignity Las Vegas","593-5395 5:30pm Sat","1420 E Harmon Ave","Las Vegas","NV","",NA,1998,"Spiritual Groups","","1420 E Harmon Ave, Las Vegas, NV",-115.1342647,36.1082053,"1420 e harmon ave, las vegas, nv 89119, usa"
"Mira Loma Hotel","320-1178","1420 Indian Canyon Dr","Palm Springs","CA","(MW),(SW),(NS)",NA,1998,"Accommodations","","1420 Indian Canyon Dr, Palm Springs, CA",-116.5452718,33.8422293,"1420 indian canyon dr, palm springs, ca 92262, usa"
"The Front Porch","531-8300 8am-midnight, healthy home cooking, full bar","1420 Ocean Dr","Miami Beach","FL","",NA,1998,"Restaurants","Listed under ""Miami Beach/South Beach""","1420 Ocean Dr, Miami Beach, FL",-80.1299261,25.7860081,"1420 ocean dr, miami beach, fl 33139, usa"
"Club 15","also a cafe","1421 Farnam","Omaha","NE","(MW),(D),(S),(WC)",NA,1998,"Bars & Nightclubs","","1421 Farnam, Omaha, NE",-95.935638,41.2572745,"1421 farnam st, omaha, ne 68102, usa"
"Playhouse Square Travel","#1160 1160 Henna Bldg.,  575-0813/(800) 575-0813","1422 Euclid Ave","Cleveland","OH","(TA)",NA,1998,"Travel Agents","","1422 Euclid Ave, Cleveland, OH",-81.6811931,41.50077,"1422 euclid ave, cleveland, oh 44115, usa"
"Showbox","628-3151","1426 1st Ave","Seattle","WA","(GF)",NA,1998,"Bars & Nightclubs","","1426 1st Ave, Seattle, WA",-122.3393269,47.6085565,"1426 1st ave, seattle, wa 98134, usa"
"4th St. Books & Video","821-8824","1427 4th St S","St. Petersburg","FL","",NA,1998,"Erotica","","1427 4th St S, St. Petersburg, FL",-82.638585,27.7566135,"1427 4th st s, st. petersburg, fl 33701, usa"
"Commander's Palace","899-8221 lunch & dinner, upscale Creole","1427 Washington Ave","New Orleans","LA","",NA,1998,"Restaurants","","1427 Washington Ave, New Orleans, LA",-90.0844687,29.9293378,"1427 washington ave, new orleans, la 70130, usa"
"Island House","864-2422/(800) 382-2422","1428 Collins Ave","Miami Beach","FL","(MO),(N),(TA)",NA,1998,"Accommodations","Listed under ""Miami Beach/South Beach""","1428 Collins Ave, Miami Beach, FL",-80.130973,25.7863997,"1428 collins ave, miami beach, fl 33139, usa"
"Sundance","788-5243 11am-7pm, 10am-6pm Sat, clsd Sun-Mon, New Age books & gifts, lesbigay titles","1428 E Sangamon Ave","Springfield","IL","",NA,1998,"Bookstores & Retail Shops","","1428 E Sangamon Ave, Springfield, IL",-89.6349841,39.8304501,"1428 e sangamon ave, springfield, il 62702, usa"
"Tricks","(behind Market St. News)232-1267 9pm-2am, til 3am Fri, clsd Mon-Tue","1429 Market St","Wheeling","WV","(MW),(D),(S)",NA,1998,"Bars & Nightclubs","","1429 Market St, Wheeling, WV",-80.722379,40.064945,"1429 market st, wheeling, wv 26003, usa"
"Pleasuredome","247-2711, 9pm-3am, clsd Sun-Mon & Wed","1430 E 7th Ave","Tampa","FL","(GF),(D),(S),(V),(WC)",NA,1998,"Bars & Nightclubs","","1430 E 7th Ave, Tampa, FL",-82.4431492,27.9604931,"1430 e 7th ave, tampa, fl 33605, usa"
"The Saint","225-7330 from 9pm Fri-Sat only","1430 N Main","San Antonio","TX","(M),(D),(A),(S),(18+)",NA,1998,"Bars & Nightclubs","","1430 N Main, San Antonio, TX",-98.4938462,29.4426895,"1430 n main ave, san antonio, tx 78212, usa"
"St. Andrew's Episcopal Church","Torrance 328-3781 8am & 10am Sun","1432 Engracia Ave","Torrance","CA","",NA,1998,"Spiritual Groups","Listed under ""L.A-West L.A. & Santa Monica""","1432 Engracia Ave, Torrance, CA",-118.3210749,33.8335751,"1432 engracia ave, torrance, ca 90501, usa"
"St. Stephen's Episcopal Church","223-6424 7:45 am & 10am Sun, 12:15pm Wed","1432 SE 13th Ave","Portland","OR","(*),(NS)",NA,1998,"Spiritual Groups","","1432 SE 13th Ave, Portland, OR",-122.6523462,45.512593,"1432 se 13th ave, portland, or 97214, usa"
"Stage Door","234-4050 6pm for dinner, full bar from 5pm","1433 P St NW","Washington","DC","(TG)",NA,1998,"Restaurants","","1433 P St NW, Washington, DC",-77.0333054,38.9098444,"1433 p st nw, washington, dc 20005, usa"
"City Spirit","575-0022 11am-11pm, full bar","1434 Blake St","Denver","CO","(E),(WC)",NA,1998,"Restaurants","","1434 Blake St, Denver, CO",-105.000686,39.748979,"1434 blake st, denver, co 80202, usa"
"Bearfacts Book Store","885-9176 24hrs","1434 E Baseline","San Bernardino","CA","",NA,1998,"Erotica","","1434 E Baseline, San Bernardino, CA",-117.2561066,34.1214973,"1434 e baseline st, san bernardino, ca 92404, usa"
"Tha Falcon","7am-2am","1435 E Braodway","Long Beach","CA","(M),(NH)",NA,1998,"Bars & Nightclubs","","1435 E Braodway, Long Beach, CA",-118.1734759,33.7682248,"1435 e broadway, long beach, ca 90802, usa"
"Inn Kahoots","432-4146 noon-2am","1435 E Broadway","Long Beach","CA","(M),(NH)",NA,1998,"Bars & Nightclubs","","1435 E Broadway, Long Beach, CA",-118.1734759,33.7682248,"1435 e broadway, long beach, ca 90802, usa"
"Nightingales","493-0251 4pm-2am, closed Mon","1437 E Mulberry St","Fort Collins","CO","(*),(MW),(D),(S),(V),(WC)",NA,1998,"Bars & Nightclubs","","1437 E Mulberry St, Fort Collins, CO",-105.0504902,40.5805824,"1437 e mulberry st, fort collins, co 80524, usa"
"Traxx","864-4213 noon-2am","1437 Haight St","San Francisco","CA","(M),(NH),(WC)",NA,1998,"Bars & Nightclubs","Listed under ""S.F.-Haight, Fillmore & West""","1437 Haight St, San Francisco, CA",-122.4460345,37.7699782,"1437 haight st, san francisco, ca 94117, usa"
"Market St. News","232-2414 24hrs","1437 Market St","Wheeling","WV","(*),(NS)",NA,1998,"Erotica","","1437 Market St, Wheeling, WV",-80.7225043,40.0647874,"1437 market st, wheeling, wv 26003, usa"
"Mentone B&B","943-3019 suite in Victorian home","1437 Pauger St","New Orleans","LA","(GF),(NS)",NA,1998,"Accommodations","","1437 Pauger St, New Orleans, LA",-90.0599523,29.9647577,"1437 pauger st, new orleans, la 70116, usa"
"Liquid","532-9154 11pm-5am, clsd Tue, lounge (decorated by Madonna's brother) open 9pm nightly, more gay Sun","1439 Washington Ave","Miami Beach","FL","(*),(GF),(D)",NA,1998,"Bars & Nightclubs","Listed under ""Miami Beach/South Beach""","1439 Washington Ave, Miami Beach, FL",-80.1314715,25.7867765,"1439 washington ave, miami beach, fl 33139, usa"
"Chute","234-1654 24hrs.","1440 E Indian School Rd","Phoenix","AZ","(MO),(L)",NA,1998,"Men's Clubs","","1440 E Indian School Rd, Phoenix, AZ",-112.0504668,33.4950177,"1440 e indian school rd, phoenix, az 85014, usa"
"Leap of Faith","494-8595 11am-11pm, til midnight Fri-Sat, from 8:30am wknds,patio","1440 Pacific Coast Hwy","Laguna Beach","CA","(MW),(E),(BW)",NA,1998,"Restaurants","","1440 Pacific Coast Hwy, Laguna Beach, CA",-117.7467805,33.5053016,"coast hwy, laguna beach, ca 92651, usa"
"Cafe Eleven","260-8023 dinner, clsd Mon, country French, some veggie","1440 University Ave","San Diego","CA","(WC)",NA,1998,"Restaurants","","1440 University Ave, San Diego, CA",-117.1502594,32.7488029,"1440 university ave, san diego, ca 92103, usa"
"Ron Paul Charcuterie","284-5439 8am-10pm, til midnight Fri-Sat, 9am-4pm Sun, fancy French deli plus","1441 NE Broadway","Portland","OR","(BW)",NA,1998,"Restaurants","","1441 NE Broadway, Portland, OR",-122.6506526,45.5351772,"1441 ne broadway, portland, or 97232, usa"
