"title","description","streetaddress","city","state","type","amenityfeatures","Year","unclear_address","notes","full.address","lon","lat","geoAddress","status"
"Sears Tower","1st floor T-Room","","Chicago","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.635915,41.878876,"unclear_coded_by_hand","Found"
"U.I.C.","Douglas Hall","","Chicago","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.649095,41.872794,"unclear_coded_by_hand","Found"
"U.I.C.","(2nd floor T-Room) (Stevenson)","","Chicago","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.650344,41.872837,"unclear_coded_by_hand","Found"
"U.I.C.","(2nd floor T-Room) (Lincoln)","","Chicago","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.649326,41.872467,"unclear_coded_by_hand","Found"
"Washington","'Bughouse Square'","","Chicago","IL","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IL",-87.630585,41.899273,"unclear_coded_by_hand","Found"
"Water Tower Place","1st floor T-Room","","Chicago","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.622893,41.89793,"unclear_coded_by_hand","Found"
"Chicago Profile Escorts","(312) 975-6116","","Chicago","IL","Escort Service","",1983,"checked","",", IL",-87.629798,41.878114,"unclear_coded_by_hand","General Coordinates Used"
"Clark & Diversity","","","Chicago","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.629798,41.878114,"unclear_coded_by_hand","General Coordinates Used"
"Gay Horizons Community Center","(312) 929-HELP","","Chicago","IL","Community Center/Support Groups","",1983,"checked","",", IL",-87.629798,41.878114,"unclear_coded_by_hand","General Coordinates Used"
"Hubbard Ave.","betw. Clark & LaSalle (Some hustlers)","","Chicago","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.629798,41.878114,"unclear_coded_by_hand","General Coordinates Used"
"Pine Grove","betw. Surf & Oakdale","","Chicago","IL","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IL",-87.629798,41.878114,"unclear_coded_by_hand","General Coordinates Used"
"Weibolt's Dept. Store","(Downtown) (2nd floor T-Room)","","Chicago","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.629798,41.878114,"unclear_coded_by_hand","General Coordinates Used"
"Prairie St.","(Downtown)","","Decatur","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-88.9548,39.840315,"unclear_coded_by_hand","General Coordinates Used"
"Monks Mound St. Park","","","East St. Louis","IL","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IL",-90.060521,38.659368,"unclear_coded_by_hand","Found"
"Northwestern U.","T-Rooms at Deering Library (1st floor)","","Evanston","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.675528,42.053207,"unclear_coded_by_hand","Found"
"Triangular Park","Sheridan & Church","","Evanston","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.674137,42.046554,"unclear_coded_by_hand","Found"
"Northwestern U.","Music Bldg. (3rd floor)","","Evanston","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.675267,42.056459,"unclear_coded_by_hand","General Coordinates Used"
"Dunlap Motor Inn","T-Room","","Jacksonville","IL","Cruising Areas","Cruisy Area",1983,"checked","Noted in this newspaper article that this hotel used to be located where the Morgan County Center is located: https://www.myjournalcourier.com/news/article/Doting-on-the-Dunlap-12643920.php",", IL",-90.22901,39.733936,"unclear_coded_by_hand","General Coordinates Used"
"Airie Crown Forest Preserve","(Summers)","","La Grange","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.87216,41.768373,"unclear_coded_by_hand","Found"
"'Rest Stop'","","US 51 South","La Salle","IL","Cruising Areas","Cruisy Area",1983,"checked","","US 51 South, IL",-89.041825,41.36215,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","6 mi. N.","US 67","Macomb","IL","Cruising Areas","Cruisy Area",1983,"checked","","US 67, IL",-90.671797,40.459208,"unclear_coded_by_hand","General Coordinates Used"
"Illinois State University","(Williams Hall) (downstairs) T-Room","","Normal","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-88.989917,40.508237,"unclear_coded_by_hand","Found"
"Illinois State University","(Media Center)","","Normal","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-88.9927,40.511678,"unclear_coded_by_hand","General Coordinates Used"
"Illinois State University","(2nd floor) (Theatre Bldg.)","","Normal","IL","Cruising Areas,Theatre","Cruisy Area",1983,"checked","",", IL",-88.9927,40.511678,"unclear_coded_by_hand","General Coordinates Used"
"Bradley Park","","","Peoria","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-89.623074,40.703639,"unclear_coded_by_hand","Found"
"Detweiller Park","(Days)","","Peoria","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-89.579344,40.792304,"unclear_coded_by_hand","Found"
"'Rest Stop'","betw. Peoria & Bloomington","I-74","Peoria","IL","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","","I-74, IL",-89.588986,40.693649,"unclear_coded_by_hand","General Coordinates Used"
"Parking lot","opp. Sears by river","","Peoria","IL","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IL",-89.588986,40.693649,"unclear_coded_by_hand","General Coordinates Used"
"W. Main St.","betw. 600-1600 blks. - by car or on foot","","Peoria","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-89.588986,40.693649,"unclear_coded_by_hand","General Coordinates Used"
"Downtown Square Park","","","Quincy","IL","Cruising Areas","(AYOR),Cruisy Area,(RT)",1983,"checked","",", IL",-91.409247,39.932637,"unclear_coded_by_hand","Found"
"7th St.","","7th St.","Rockford","IL","Cruising Areas","Cruisy Area",1983,"checked","","7th St., IL",-89.093995,42.271131,"unclear_coded_by_hand","General Coordinates Used"
"Market St.","","Market St.","Rockford","IL","Cruising Areas","Cruisy Area",1983,"checked","","Market St., IL",-89.093995,42.271131,"unclear_coded_by_hand","General Coordinates Used"
"Amtrak Station","","","Springfield","IL","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IL",-89.651328,39.802343,"unclear_coded_by_hand","Found"
"Douglass Park","","","Springfield","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-89.666926,39.806621,"unclear_coded_by_hand","Found"
"Lake Springfield","","","Springfield","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-89.601617,39.707881,"unclear_coded_by_hand","Found"
"Adult Book Store","","Roosevelt Rd.","Villa Park","IL","Cruising Areas,Book Store","Cruisy Area",1983,"checked","","Roosevelt Rd., IL",-87.988954,41.889752,"unclear_coded_by_hand","General Coordinates Used"
"Illinois Beach St. Park","Trails & bird sancturary  South end","","Waukegan","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.805302,42.423663,"unclear_coded_by_hand","Found"
"RR Station","at Great Lakes Naval Base ('seafood')","","Waukegan","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-87.846443,42.30698,"unclear_coded_by_hand","Found"
"'Rest Stop'","N. nr. Zion","I-94","Waukegan","IL","Cruising Areas","Cruisy Area",1983,"checked","","I-94, IL",-87.844794,42.363633,"unclear_coded_by_hand","General Coordinates Used"
"Belk Park","","","Wood River","IL","Cruising Areas","Cruisy Area",1983,"checked","",", IL",-90.043022,38.864477,"unclear_coded_by_hand","Found"
"Outpost","at Rogers Ave.","Lake Shore County Rd.","Beverly Shores","IN","Restaurant","(M),(R)",1983,"checked","","Lake Shore County Rd., IN",-86.977532,41.692538,"unclear_coded_by_hand","General Coordinates Used"
"The Dunes","","Lake Shore County Rd.","Beverly Shores","IN","Cruising Areas","Cruisy Area",1983,"checked","","Lake Shore County Rd., IN",-86.977532,41.692538,"unclear_coded_by_hand","General Coordinates Used"
"U. of Indiana","(T-Rooms) (Student Union Bldg.)","","Bloomington","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-86.525569,39.167135,"unclear_coded_by_hand","Found"
"Block","around Monroe Public Library","","Bloomington","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-86.526386,39.165325,"unclear_coded_by_hand","General Coordinates Used"
"Doc Johnson's","(Books 'n' things)","14th & College","Bloomington","IN","Book Store","(M)",1983,"checked","","14th & College, IN",-86.526386,39.165325,"unclear_coded_by_hand","General Coordinates Used"
"Kirkwood Ave.","","","Bloomington","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-86.526386,39.165325,"unclear_coded_by_hand","General Coordinates Used"
"Mesker Park","","","Evansville","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-87.606021,37.99634,"unclear_coded_by_hand","Found"
"Studio Art Theatre","","W. Franklin St.","Evansville","IN","Theatre","",1983,"checked","Found on Cinema Treasures: http://cinematreasures.org/theaters/20280","W. Franklin St., IN",-87.596296,37.980841,"unclear_coded_by_hand","Found"
"Main St.","","","Evansville","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-87.57109,37.971559,"unclear_coded_by_hand","General Coordinates Used"
"The Levee","","","Evansville","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-87.57109,37.971559,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","10 mi. S.","Hwy. 41","Farmersbury","IN","Cruising Areas","Cruisy Area",1983,"checked","","Hwy. 41, IN",-87.381963,39.248651,"unclear_coded_by_hand","General Coordinates Used"
"Pearl St.","from Harrison to Ewing","","Ft. Wayne","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-85.144793,41.080146,"unclear_coded_by_hand","Found"
"Swinney Park","(days)","","Ft. Wayne","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-85.162008,41.074159,"unclear_coded_by_hand","Found"
"Arcola 'Rest Stop'","5 mi. W.","Hwy 30","Ft. Wayne","IN","Cruising Areas","Cruisy Area",1983,"checked","","Hwy 30, IN",-85.139351,41.079273,"unclear_coded_by_hand","General Coordinates Used"
"Helpline","(219) 744-0484","","Ft. Wayne","IN","Hotlines","",1983,"checked","",", IN",-85.139351,41.079273,"unclear_coded_by_hand","General Coordinates Used"
"Marquette Park","W. section","","Gary","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-87.263387,41.620781,"unclear_coded_by_hand","Found"
"Miller Beach","","","Gary","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-87.261078,41.600963,"unclear_coded_by_hand","Found"
"American Legion Park","nr. Library","","Indianapolis","IN","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IN",-86.156793,39.777298,"unclear_coded_by_hand","Found"
"Glendale Shopping Center","(Sundays only)","","Indianapolis","IN","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IN",-86.119534,39.866162,"unclear_coded_by_hand","Found"
"Holiday Park","","","Indianapolis","IN","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IN",-86.163494,39.870893,"unclear_coded_by_hand","Found"
"Gay Switchboard","(317) 546-9339","","Indianapolis","IN","Hotlines","",1983,"checked","",", IN",-86.158068,39.768403,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","3 mi. N.E.","US 40","Knightstown","IN","Cruising Areas","Cruisy Area",1983,"checked","","US 40, IN",-85.526363,39.795601,"unclear_coded_by_hand","General Coordinates Used"
"Court House Square","T-Rooms","","Lafayette","IN","Cruising Areas","Cruisy Area",1983,"checked","Found on Google search",", IN",-86.89347,40.418677,"unclear_coded_by_hand","Found"
"Gemini & Paradise Book Stores","","","Lafayette","IN","Cruising Areas,Book Store","Cruisy Area",1983,"checked","",", IN",-86.875287,40.416702,"unclear_coded_by_hand","General Coordinates Used"
"Old Soldiers Home","'Rest Stop' 1/2 mi. S. of I-65","U.S. 43N","Lafayette","IN","Cruising Areas","Cruisy Area",1983,"checked","","U.S. 43N, IN",-86.875287,40.416702,"unclear_coded_by_hand","General Coordinates Used"
"Purdue U.","(T-Room) (Union Hall)","","Lafayette","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-86.921195,40.423705,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","10 mi. S., just off Ind. 3","Ind. 36","Muncie","IN","Cruising Areas","Cruisy Area",1983,"checked","","Ind. 36, IN",-85.38636,40.193377,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","","I-40","New Lebanon","IN","Cruising Areas","Cruisy Area",1983,"checked","","I-40, IN",-87.471132,39.040876,"unclear_coded_by_hand","General Coordinates Used"
"North Billage Mall","T-Rooms","","South Bend","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-86.25169,41.729656,"unclear_coded_by_hand","Found"
"Notre Dame U.","(downstairs T-Room) (Library)","","South Bend","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-86.234153,41.702389,"unclear_coded_by_hand","Found"
"Potawatami Park","","","South Bend","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-86.219471,41.668408,"unclear_coded_by_hand","Found"
"Scottsdale Shopping Cener","T-Rooms","","South Bend","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-87.739941,41.748329,"unclear_coded_by_hand","Found"
"George Rogers Clark Memorial Park","","","Vincennes","IN","Cruising Areas","Cruisy Area",1983,"checked","",", IN",-87.53566,38.679196,"unclear_coded_by_hand","Found"
"Iowa St. U.","(T-Rooms) (Old Physics Bldg.)","","Ames","IA","Cruising Areas","Cruisy Area",1983,"checked","",", IA",-93.647275,42.029523,"unclear_coded_by_hand","Found"
"Iowa St. U.","(T-Rooms) (Memorial Union)","","Ames","IA","Cruising Areas","Cruisy Area",1983,"checked","",", IA",-93.645601,42.023186,"unclear_coded_by_hand","Found"
"Ellis Park","","","Cedar Rapids","IA","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IA",-91.690986,41.998318,"unclear_coded_by_hand","Found"
"'Rest Stop'","betw. Cedar Rapids & Iowa City (Summers only)","","Cedar Rapids","IA","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IA",-91.665623,41.97788,"unclear_coded_by_hand","General Coordinates Used"
"Coachman Lounge","(Cruisy) Next to Cherokee Bowl","","Cherokee","IA","Bars/Clubs,Cruising Areas","(M)",1983,"checked","",", IA",-86.369836,39.672571,"unclear_coded_by_hand","Found"
"Credit Island Park","best by car days (AYOR nights)","","Davenport","IA","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IA",-90.615846,41.493904,"unclear_coded_by_hand","Found"
"Le Clair Park","on riverfront from Main to Ripley ('The Levee')(Best Late)","","Davenport","IA","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IA",-90.578256,41.519003,"unclear_coded_by_hand","Found"
"M.C.C.","Bell & Cassady","","Des Moines","IA","Religious Institution","(MCC)",1983,"checked","",", IA",-93.642437,41.562614,"unclear_coded_by_hand","Found"
"Margo Frankel Woods","","","Des Moines","IA","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", IA",-93.617981,41.675252,"unclear_coded_by_hand","Found"
"'Gay Loop' Keo & Park","betw. 4th & 5th Sts. (AH*)","","Des Moines","IA","Cruising Areas","Cruisy Area,(AH),(*)",1983,"checked","",", IA",-93.624959,41.586835,"unclear_coded_by_hand","General Coordinates Used"
"2nd Ave.","North of town","","Des Moines","IA","Cruising Areas","Cruisy Area",1983,"checked","",", IA",-93.624959,41.586835,"unclear_coded_by_hand","General Coordinates Used"
"Gay Info Line","(515) 279-2110","","Des Moines","IA","Hotlines","",1983,"checked","",", IA",-93.624959,41.586835,"unclear_coded_by_hand","General Coordinates Used"
"U. of Iowa","(2nd & 3rd floor T-Rooms) (Main Library)","","Iowa City","IA","Cruising Areas","Cruisy Area",1983,"checked","",", IA",-91.538441,41.659548,"unclear_coded_by_hand","Found"
"Court House Square","","","Marshalltown","IA","Cruising Areas","Cruisy Area",1983,"checked","",", IA",-92.912082,42.04847,"unclear_coded_by_hand","Found"
"Central Park","T-Rooms","","Mason City","IA","Cruising Areas","Cruisy Area",1983,"checked","",", IA",-93.201901,43.15224,"unclear_coded_by_hand","Found"
"Crossroads Mall","T-Rooms","","Waterloo","IA","Cruising Areas","Cruisy Area",1983,"checked","",", IA",-92.322097,42.462126,"unclear_coded_by_hand","Found"
"'Rest Stop'","7 mi. E.","US 54","Augusta","KS","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","","US 54, KS",-96.976702,37.686684,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","1 mi. E.","US 56","Great Bend","KS","Cruising Areas","Cruisy Area",1983,"checked","","US 56, KS",-98.764807,38.364457,"unclear_coded_by_hand","General Coordinates Used"
"Roadside Park","2 mi. N.","","Hamilton","KS","Cruising Areas","Cruisy Area",1983,"checked","",", KS",-96.164165,37.979471,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","2 mi. W. of town","I-70","Junction City","KS","Cruising Areas","Cruisy Area",1983,"checked","","I-70, KS",-96.831398,39.028609,"unclear_coded_by_hand","General Coordinates Used"
"K.U. Student Union","T-Rooms on all floors except basement","","Lawrence","KS","Cruising Areas","Cruisy Area",1983,"checked","",", KS",-95.243482,38.959214,"unclear_coded_by_hand","Found"
"Memorial Drive","","","Lawrence","KS","Cruising Areas","Cruisy Area",1983,"checked","",", KS",-95.23525,38.971669,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","3 mi. W.","US 56","Lyons","KS","Cruising Areas","Cruisy Area",1983,"checked","","US 56, KS",-98.201727,38.34501,"unclear_coded_by_hand","General Coordinates Used"
"City Park","","","Manhattan","KS","Cruising Areas","Cruisy Area",1983,"checked","",", KS",-96.573931,39.180345,"unclear_coded_by_hand","Found"
"'Rest Stop'","10 mi. E. of Junction City","I-70","Manhattan","KS","Cruising Areas","Cruisy Area",1983,"checked","","I-70, KS",-96.571669,39.183608,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","7 mi. W.","Hwy. 160","Parsons","KS","Cruising Areas","Cruisy Area",1983,"checked","","Hwy. 160, KS",-95.261084,37.340338,"unclear_coded_by_hand","General Coordinates Used"
"Oakdale Park","(after 10pm)","","Salina","KS","Cruising Areas","Cruisy Area",1983,"checked","",", KS",-97.602652,38.835324,"unclear_coded_by_hand","Found"
"Gage Park","","","Topeka","KS","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", KS",-95.728666,39.054246,"unclear_coded_by_hand","Found"
"Poor Richard's","","9th & Quincy","Topeka","KS","Restaurant","(M),(R),(C),(AH)",1983,"checked","","9th & Quincy, KS",-95.673696,39.046985,"unclear_coded_by_hand","Found"
"Gay Info","(913) 235-0235","","Topeka","KS","Hotlines","",1983,"checked","",", KS",-95.675158,39.047345,"unclear_coded_by_hand","General Coordinates Used"
"Kansas Ave.","(Downtown) by automobile","","Topeka","KS","Cruising Areas","Cruisy Area",1983,"checked","",", KS",-95.679358,39.029698,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","","Old Hwy. 75","Wakarusa","KS","Cruising Areas","Cruisy Area",1983,"checked","","Old Hwy. 75, KS",-95.696034,38.885694,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","","Hwy. 50 E.","Walton","KS","Cruising Areas","Cruisy Area",1983,"checked","","Hwy. 50 E., KS",-97.2567,38.117789,"unclear_coded_by_hand","General Coordinates Used"
"Circle Cinema","(Left balcony)","","Wichita","KS","Cruising Areas","(M),Cruisy Area",1983,"checked","",", KS",-97.351854,37.647408,"unclear_coded_by_hand","Found"
"Oak Park","Riverside area (Cl. 12 midnight)","","Wichita","KS","Cruising Areas","Cruisy Area,(YC),(AYOR)",1983,"checked","",", KS",-97.354499,37.705634,"unclear_coded_by_hand","Found"
"Trailways Bus Depot & vicinity","('Hustlers')","","Wichita","KS","Cruising Areas","Cruisy Area",1983,"checked","",", KS",-97.33388,37.688737,"unclear_coded_by_hand","General Coordinates Used"
"Island Park","(Days)","","Winfield","KS","Cruising Areas","Cruisy Area",1983,"checked","Found in Google search",", KS",-96.9971,37.249228,"unclear_coded_by_hand","Found"
"Roadside Park","S. of Bowling Green Mall","U.S. 31 W. Bypass","Bowling Green","KY","Cruising Areas","Cruisy Area",1983,"checked","","U.S. 31 W. Bypass, KY",-86.480804,36.968522,"unclear_coded_by_hand","General Coordinates Used"
"Campbellsville College","(Basement) (Library)","","Campbellsville","KY","Cruising Areas","Cruisy Area",1983,"checked","",", KY",-84.84867,37.747992,"unclear_coded_by_hand","Found"
"Cardinal Park","","Hwy. 68","Campbellsville","KY","Cruising Areas","Cruisy Area",1983,"checked","","Hwy. 68, KY",-85.754776,38.21564,"unclear_coded_by_hand","Found"
"'Rest Stop'","","I-75 S.","Covington","KY","Cruising Areas","Cruisy Area",1983,"checked","","I-75 S., KY",-84.508554,39.083671,"unclear_coded_by_hand","General Coordinates Used"
"Madison","betw. 5th & 7th, including Mall","","Covington","KY","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", KY",-84.508554,39.083671,"unclear_coded_by_hand","General Coordinates Used"
"White Castle","","13th & Madison","Covington","KY","Cruising Areas,Restaurant","Cruisy Area,(R),(RT)",1983,"checked","","13th & Madison, KY",-84.508554,39.083671,"unclear_coded_by_hand","General Coordinates Used"
"Florence Mall","(Y'All)","","Florence","KY","Business","(AYOR)",1983,"checked","",", KY",-84.650344,38.995817,"unclear_coded_by_hand","Found"
"U. of KY","(T-Room) (Fine Arts Bldg.)","","Lexington","KY","Cruising Areas","Cruisy Area",1983,"checked","",", KY",-84.501987,38.036957,"unclear_coded_by_hand","Found"
"Grehound Bus Depot","","","Lexington","KY","Cruising Areas","Cruisy Area",1983,"checked","",", KY",-84.503716,38.040584,"unclear_coded_by_hand","General Coordinates Used"
"Main St.","at the Esplanade","","Lexington","KY","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", KY",-84.503716,38.040584,"unclear_coded_by_hand","General Coordinates Used"
"400 E. Oak","(Breakfast & lunch)(AH - WE)","Preston & Oak","Louisville","KY","Restaurant","(R),(AH),(WE)",1983,"checked","","Preston & Oak, KY",-85.748999,38.233847,"unclear_coded_by_hand","Found"
"Central Park","","4th & Magnolia","Louisville","KY","Cruising Areas","Cruisy Area",1983,"checked","","4th & Magnolia, KY",-85.762809,38.229611,"unclear_coded_by_hand","Found"
"Cherokee Park","","","Louisville","KY","Cruising Areas","Cruisy Area",1983,"checked","",", KY",-85.699366,38.239966,"unclear_coded_by_hand","Found"
"Iriquois Park","","","Louisville","KY","Cruising Areas","Cruisy Area",1983,"checked","",", KY",-85.79229,38.162326,"unclear_coded_by_hand","Found"
"Public Library","","York St.","Louisville","KY","Cruising Areas","Cruisy Area",1983,"checked","","York St., KY",-85.757825,38.244455,"unclear_coded_by_hand","Found"
"'The Falls'","across Ohio River in Jeffersonville, Indiana","","Louisville","KY","Cruising Areas","Cruisy Area,(*)",1983,"checked","",", KY",-85.758456,38.252665,"unclear_coded_by_hand","General Coordinates Used"
"James Taylor Park","by riverfront","","Newport","KY","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", KY",-84.50237,39.092394,"unclear_coded_by_hand","Found"
"Green River Dam","below dam","Hwy. 55","Reed","KY","Cruising Areas","Cruisy Area",1983,"checked","","Hwy. 55, KY",-87.408467,37.859484,"unclear_coded_by_hand","Found"
"Roy's Pub","at the Bridge","Summers Dr.","Abbeyville","LA","Bars/Clubs","(M),(L),(WE)",1983,"checked","","Summers Dr., LA",-92.146972,29.985066,"unclear_coded_by_hand","Found"
"City Park","","","Alexandria","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-92.458139,31.286142,"unclear_coded_by_hand","Found"
"Trail ways Bus Depot","","","Alexandria","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-92.445137,31.311294,"unclear_coded_by_hand","General Coordinates Used"
"'Rest Stop'","westbound","I-20","Arcadia","LA","Cruising Areas","Cruisy Area",1983,"checked","","I-20, LA",-92.920158,32.549041,"unclear_coded_by_hand","General Coordinates Used"
"Highland Road Park","T-Room","","Baton Rouge","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-91.070847,30.346092,"unclear_coded_by_hand","Found"
"L.S.U.","(Hill Memorial)","","Baton Rouge","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-91.181289,30.414381,"unclear_coded_by_hand","Found"
"L.S.U.","(1st floor T-Room) (O .K . Ailen Hall)","","Baton Rouge","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-92.018863,30.214298,"unclear_coded_by_hand","Found"
"L.S.U.","(2nd floor) (Library)","","Baton Rouge","LA","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", LA",-91.178732,30.413019,"unclear_coded_by_hand","Found"
"Riverside Mall","","","Baton Rouge","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-91.107741,30.429922,"unclear_coded_by_hand","Found"
"'Rest Stop'","","I-12 E.","Baton Rouge","LA","Cruising Areas","Cruisy Area",1983,"checked","","I-12 E., LA",-91.187147,30.451468,"unclear_coded_by_hand","General Coordinates Used"
"City Park","opp. old Courthouse","","Houma","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-90.715423,29.593479,"unclear_coded_by_hand","Found"
"Southland Mall","(1st floor T-Room) (Sears)","","Houma","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-90.756227,29.635044,"unclear_coded_by_hand","Found"
"Greyhound Bus Depot","","","Houma","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-90.719535,29.59577,"unclear_coded_by_hand","General Coordinates Used"
"Garrard Park","","","Lafayette","LA","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","Listed as ""Girard Park""",", LA",-92.020024,30.206572,"unclear_coded_by_hand","Found"
"Northgate Mall","","","Lafayette","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-92.009108,30.247297,"unclear_coded_by_hand","Found"
"U.S.L.","(2nd & 3rd floor T-Rooms) (Wharton Hall)","","Lafayette","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-92.018244,30.21251,"unclear_coded_by_hand","Found"
"U.S.L.","(Library)","","Lafayette","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-92.020169,30.21217,"unclear_coded_by_hand","Found"
"'Rest Stop'","","E. on 1-10","Lafayette","LA","Cruising Areas","Cruisy Area",1983,"checked","","E. on 1-10, LA",-92.019843,30.22409,"unclear_coded_by_hand","General Coordinates Used"
"Greyhound Bus Depot","","","Lafayette","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-92.019843,30.22409,"unclear_coded_by_hand","General Coordinates Used"
"Sambo's","nr. Sale","Ryan","Lake Charles","LA","Restaurant","(M),(R),(C),(AH)",1983,"checked","","Ryan, LA",-93.217376,30.226595,"unclear_coded_by_hand","General Coordinates Used"
"Forsythe Park","","","Monroe","LA","Cruising Areas","Cruisy Area,(AYOR)",1983,"checked","",", LA",-92.128063,32.525213,"unclear_coded_by_hand","Found"
"Louisiana Purchase Gardens","(WE*)","","Monroe","LA","Cruising Areas","Cruisy Area,(WE),(AYOR),(*)",1983,"checked","",", LA",-92.095565,32.467509,"unclear_coded_by_hand","Found"
"McMillan Mall","T-Room (W. Monroe)","W. Monroe","Monroe","LA","Cruising Areas","Cruisy Area",1983,"checked","Newspaper shows the mall was on Thomas Rd, exit off I-20 or Hwy. 80 (https://www.newspapers.com/newspage/82397145/); Cinema in the Mall shows street address (http://cinematreasures.org/theaters/62224/photos/303126)","W. Monroe, LA",-92.157265,32.50138,"unclear_coded_by_hand","Found"
"Northeast Louisiana U.","(T-Rooms) (Library)","","Monroe","LA","Cruising Areas","Cruisy Area",1983,"checked","",", LA",-90.46716,30.514002,"unclear_coded_by_hand","Found"
